Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-6.1205477256E-06	0	0.02431792902	9258.43359375	
0.00208	8.786648234375E-08	-6.12866141940937E-06	0	0.02257984267	9258.43359375	
0.006176	1.21787881875E-07	-6.1328198287125E-06	0	0.0242568095	9258.43359375	
0.010272	6.19911290625E-08	-6.11528547124687E-06	0	0.02502462347	9258.43359375	
0.014368	3.604262990625E-07	-6.15023471514375E-06	0	0.02467318623	9258.43359375	
0.018464	5.864470528125E-07	-6.17941665711562E-06	0	0.02442870815	9258.43359375	
0.02256	7.77906380625E-07	-6.1945370746875E-06	0	0.02533786101	9258.43359375	
0.026656	6.0482495390625E-07	-6.15840033197812E-06	0	0.02408873082	9258.43359375	
0.030752	2.81977348125E-07	-6.10376841545625E-06	0	0.02429118923	9258.43359375	
0.034848	4.379609265625E-08	-6.0697275841125E-06	0	0.0220412269	9258.43359375	
0.038944	-1.556178490625E-07	-6.0591064408875E-06	0	0.02221694552	9258.43359375	
0.04304	-2.1002009359375E-07	-6.06424561844062E-06	0	0.02384043277	9258.43359375	
0.047136	-1.5461209328125E-07	-6.094022752125E-06	0	0.02621645411	9258.43359375	
0.051232	-1.4217729453125E-07	-6.102249666975E-06	0	0.02422242977	9258.43359375	
0.055328	-2.87097559375E-08	-6.11982008209687E-06	0	0.02304969898	9258.4140625	
0.059424	1.4382307671875E-07	-6.14350755840937E-06	0	0.02565873849	9258.4140625	
0.06352	1.2215361125E-07	-6.13546838375625E-06	0	0.02741974466	9258.4140625	
0.067616	-1.6457821875E-08	-6.11330326169062E-06	0	0.0259375963	9258.4140625	
0.071712	-2.9578363203125E-07	-6.0747698867625E-06	0	0.02325597736	9258.4140625	
0.075808	-3.575004640625E-07	-6.06960330539062E-06	0	0.02417277016	9258.4140625	
0.079904	-3.26596331875E-07	-6.08930713184062E-06	0	0.02546392002	9258.4140625	
0.084	-2.313238296875E-07	-6.10887490073437E-06	0	0.02529202137	9258.4140625	
0.088096	-2.08100014375E-07	-6.11347345382812E-06	0	0.02309553862	9258.4140625	
0.092192	-2.90754853125E-07	-6.0984833245875E-06	0	0.0247916053	9258.4140625	
0.096288	-2.3434109703125E-07	-6.10592586522187E-06	0	0.02537606071	9258.4140625	
0.100384	-7.086006640625E-08	-6.12881165964375E-06	0	0.02655643144	9258.4140625	
0.10448	1.490347203125E-08	-6.1426948188375E-06	0	0.02174708921	9258.4140625	
0.108576	2.386384171875E-08	-6.1335813664125E-06	0	0.02084939626	9258.4140625	
0.112672	-8.073475953125E-08	-6.11520710594062E-06	0	0.02388245244	9258.4140625	
0.116768	-1.4565172359375E-07	-6.09996817887187E-06	0	0.02446308788	9258.4140625	
0.120864	-7.396876609375E-08	-6.11331239629687E-06	0	0.02401615139	9258.4140625	
0.12496	8.640356484375E-08	-6.13339603005937E-06	0	0.02212144627	9258.4140625	
0.129056	1.603723309375E-07	-6.14266837655625E-06	0	0.02422624974	9258.4140625	
0.133152	1.272738225E-07	-6.13374458740312E-06	0	0.0263195933	9258.4140625	
0.137248	5.21164359375E-08	-6.118291958625E-06	0	0.02679326958	9258.4140625	
0.141344	7.634600703125E-08	-6.1178890744125E-06	0	0.02517742227	9258.4140625	
0.14544	1.205078290625E-07	-6.1250890672125E-06	0	0.0249062044	9258.4140625	
0.149536	1.3559416578125E-07	-6.12599820091875E-06	0	0.02507046311	9258.4140625	
0.153632	5.3762218125E-08	-6.11204316679687E-06	0	0.02690786868	9258.4140625	
0.157728	3.904161078125E-08	-6.10997682270937E-06	0	0.02558233909	9258.4140625	
0.161824	1.4345734734375E-07	-6.12520589401875E-06	0	0.02346607571	9258.4140625	
0.16592	1.6850980953125E-07	-6.13069002315E-06	0	0.02329417706	9258.4140625	
0.170016	0.000000178475935	-6.129253486125E-06	0	0.02579625741	9258.4140625	
0.174112	1.1273607984375E-07	-6.11460229885312E-06	0	0.0246006068	9258.4140625	
0.178208	1.6896697125E-07	-6.12273594456562E-06	0	0.02333619673	9258.4140625	
0.182304	2.62227961875E-07	-6.1350505957125E-06	0	0.02292745994	9258.4140625	
0.1864	2.836231303125E-07	-6.1387044382125E-06	0	0.02438668848	9258.4140625	
