Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	0	0	0.00449992466	10984.4140625	
0.00208	0.000000307212675	0	0	0.00409882781	10984.4140625	
0.006176	8.4730352953125E-07	0	0	0.0046603634	10984.4140625	
0.010272	1.37486815296875E-06	0	0	0.00729996267	10984.4140625	
0.014368	1.74114612203125E-06	0	0	0.00723502318	10984.4140625	
0.018464	1.98216178015625E-06	0	0	0.00565737557	10984.4140625	
0.02256	2.2426525275E-06	0	0	0.00493540124	10984.4140625	
0.026656	2.564860106875E-06	0	0	0.00628385065	10984.4140625	
0.030752	2.90910288109375E-06	0	0	0.00645192933	10984.4140625	
0.034848	3.18650861203125E-06	0	0	0.00670404735	10984.4140625	
0.038944	3.38967127984375E-06	0	0	0.00457250409	10984.4140625	
0.04304	3.68243764453125E-06	0	0	0.00815181598	10984.4140625	
0.047136	4.0707508084375E-06	0	0	0.00571085515	10984.4140625	
0.051232	4.5301069034375E-06	0	0	0.00535941791	10984.4140625	
0.055328	5.0070180084375E-06	0	0	0.00624565095	10984.4140625	
0.059424	0.00000541864642	0	0	0.00645192933	10984.4140625	
0.06352	5.6876403753125E-06	0	0	0.00770487949	10984.4140625	
0.067616	5.9286560334375E-06	0	0	0.00793025772	10984.4140625	
0.071712	6.10813772421875E-06	0	0	0.00464508352	10984.4140625	
0.075808	6.260189711875E-06	0	0	0.00368245108	10984.4140625	
0.079904	6.49690804984375E-06	0	0	0.00788441808	10984.4140625	
0.084	6.73353495546875E-06	0	0	0.00440060544	10984.4140625	
0.088096	7.02794710234375E-06	0	0	0.00415230739	10984.4140625	
0.092192	7.4778856659375E-06	0	0	0.00583691416	10984.4140625	
0.096288	7.9248069621875E-06	0	0	0.00666584765	10984.4140625	
0.100384	8.36852812640625E-06	0	0	0.00696380531	10984.4140625	
0.10448	8.75217824078125E-06	0	0	0.00511493983	10984.4140625	
0.108576	9.1203762890625E-06	0	0	0.00381615003	10984.4140625	
0.112672	9.3372538084375E-06	0	0	0.00582545425	10984.4140625	
0.116768	9.47284797421875E-06	0	0	0.00691796567	10984.4140625	
0.120864	9.6579984703125E-06	0	0	0.00576051476	10984.4140625	
0.12496	9.932112636875E-06	0	0	0.00493540124	10984.4140625	
0.129056	1.02822070810938E-05	0	0	0.0071815436	10984.4140625	
0.133152	1.0575064878125E-05	0	0	0.00946206569	10984.4375	
0.137248	1.07321456446875E-05	0	0	0.00807159661	10984.4375	
