Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	9.4398520986E-06	0	0.03163699154	9865.2421875	
0.00208	-3.1086996875E-08	9.43568599699687E-06	0	0.03284792203	9865.2421875	
0.006176	3.209275265625E-08	9.42919273425937E-06	0	0.03121297487	9865.2421875	
0.010272	2.843545890625E-08	9.43645450584375E-06	0	0.03169811106	9865.2421875	
0.014368	-5.970532046875E-08	9.45728910039375E-06	0	0.03043752096	9865.2421875	
0.018464	-1.190449115625E-07	9.46922105961562E-06	0	0.03093793703	9865.2421875	
0.02256	-1.3943432421875E-07	9.46910086742812E-06	0	0.03112511556	9865.2421875	
0.026656	-1.0487289828125E-07	9.460657847025E-06	0	0.03228256647	9865.2421875	
0.030752	-6.610558453125E-08	9.451050164325E-06	0	0.0324315453	9865.2421875	
0.034848	-7.396876609375E-08	9.4475059371E-06	0	0.03251558464	9865.2421875	
0.038944	-2.020654796875E-08	9.41125765604062E-06	0	0.0332719387	9865.2421875	
0.04304	-7.46087925E-08	9.40830477437812E-06	0	0.03165991136	9865.2421875	
0.047136	-6.8391393125E-08	9.40341800041875E-06	0	0.03065907922	9865.2421875	
0.051232	-2.196204896875E-07	9.42453648891562E-06	0	0.03065525925	9865.2421875	
0.055328	-4.0010793625E-07	9.44959704077812E-06	0	0.03056739994	9865.2421875	
0.059424	-6.14059620625E-07	9.47111384618437E-06	0	0.03089973733	9865.2421875	
0.06352	-8.8113349671875E-07	9.49322512215E-06	0	0.03163699154	9865.2421875	
0.067616	-1.16164792734375E-06	9.51687750234375E-06	0	0.03042606105	9865.2421875	
0.071712	-1.427441750625E-06	9.53283974599687E-06	0	0.03289376167	9865.2421875	
0.075808	-1.589825593125E-06	9.53094575750625E-06	0	0.03186236977	9865.2421875	
0.079904	-1.57163055671875E-06	9.50141381588437E-06	0	0.03333687819	9865.2421875	
0.084	-1.52216565875E-06	9.47135855747812E-06	0	0.03195022908	9865.2421875	
0.088096	-1.4623689059375E-06	9.4532068929375E-06	0	0.03148801271	9865.2421875	
0.092192	-1.51384531546875E-06	9.45690977385E-06	0	0.03100287652	9865.2421875	
0.096288	-1.597871639375E-06	9.4719674511E-06	0	0.03166373133	9865.2421875	
0.100384	-0.0000016384676	9.47554268790937E-06	0	0.03056739994	9865.2421875	
0.10448	-1.63782757359375E-06	9.47091793291875E-06	0	0.03019686285	9865.2421875	
0.108576	-1.61643240515625E-06	9.46282635447187E-06	0	0.03191202938	9865.2421875	
0.112672	-1.58004233234375E-06	9.45592275560625E-06	0	0.03276770266	9865.2421875	
0.116768	-1.5527040615625E-06	9.45163742335312E-06	0	0.0312091549	9865.2421875	
0.120864	-1.5285659228125E-06	9.4477818983625E-06	0	0.03117859514	9865.2421875	
0.12496	-1.4060465821875E-06	9.4299761469375E-06	0	0.03183181001	9865.2421875	
0.129056	-1.40266358546875E-06	9.43409946012187E-06	0	0.03177833043	9865.2421875	
0.133152	-1.50031332859375E-06	9.4592915022375E-06	0	0.03127027442	9865.2421875	
0.137248	-1.6569369334375E-06	9.48968690453437E-06	0	0.03049482051	9865.2421875	
0.141344	-1.69195552109375E-06	9.4884443577E-06	0	0.0292609702	9865.2421875	
0.14544	-0.000001536063375	9.45138790437187E-06	0	0.03147273283	9865.2421875	
0.149536	-1.28069283890625E-06	9.403642519425E-06	0	0.03249266482	9865.2421875	
0.153632	-1.09874247484375E-06	9.38322306869062E-06	0	0.03077749829	9865.2421875	
0.157728	-1.013436098125E-06	9.3919108003875E-06	0	0.03120151496	9865.2421875	
