Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	8.286299406E-07	0	0.02501316356	9804.3515625	
0.00208	2.642394734375E-08	8.2939195906875E-07	0	0.02732806538	9804.3515625	
0.006176	-3.831015203125E-08	8.33768156615625E-07	0	0.02253400303	9804.37109375	
0.010272	-8.35691621875E-08	8.39647237275E-07	0	0.02079973665	9804.37109375	
0.014368	-5.41279475E-08	8.420116579875E-07	0	0.02287780033	9804.37109375	
0.018464	-5.79681059375E-08	8.4376790623125E-07	0	0.02401233142	9804.37109375	
0.02256	-0.00000004681336	8.4476982830625E-07	0	0.02134599236	9804.37109375	
0.026656	-1.468403440625E-07	8.4773376765E-07	0	0.01962318589	9804.37109375	
0.030752	-2.166946546875E-07	8.5196982110625E-07	0	0.02113971398	9804.37109375	
0.034848	-2.81245889375E-07	8.537558770125E-07	0	0.02537606071	9804.37109375	
0.038944	-3.7624409453125E-07	8.56458999309375E-07	0	0.02345843577	9804.37109375	
0.04304	-5.5764586453125E-07	8.61421975115625E-07	0	0.01921062913	9804.37109375	
0.047136	-7.0521766734375E-07	8.6563134590625E-07	0	0.02117791368	9804.37109375	
0.051232	-8.177708825E-07	8.684366315625E-07	0	0.02262568231	9804.37109375	
0.055328	-7.2185835390625E-07	8.654039422875E-07	0	0.02193426774	9804.37109375	
0.059424	-5.3350772578125E-07	8.56739527875E-07	0	0.02048649911	9804.37109375	
0.06352	-4.0385666234375E-07	8.5051693794375E-07	0	0.01997080316	9804.37109375	
0.067616	-4.4682986390625E-07	8.49548910065625E-07	0	0.02434084884	9804.37109375	
0.071712	-6.2859736328125E-07	8.551914525E-07	0	0.02455476716	9804.37109375	
0.075808	-7.1765246609375E-07	8.6011500526875E-07	0	0.0226906218	9804.37109375	
0.079904	-7.107950403125E-07	8.6003038996875E-07	0	0.0207042374	9804.37109375	
0.084	-7.7872927171875E-07	8.59607553853125E-07	0	0.02212144627	9804.37109375	
0.088096	-1.0238593853125E-06	8.65427740340625E-07	0	0.02015798169	9804.37109375	
0.092192	-1.277492706875E-06	8.73475809215625E-07	0	0.0178774596	9804.37109375	
0.096288	-1.32677474015625E-06	8.75711383903125E-07	0	0.01958880616	9804.37109375	
0.100384	-1.20571831703125E-06	8.7013037986875E-07	0	0.02189606804	9804.37109375	
0.10448	-1.1215091284375E-06	8.63164761834375E-07	0	0.0221940257	9804.37109375	
