Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	2.5049359566E-06	0	0.02932972966	9689.171875	
0.00208	8.219767703125E-08	2.50198331532187E-06	0	0.02771006238	9689.171875	
0.006176	1.2718239015625E-07	2.4981273095625E-06	0	0.02351573532	9689.171875	
0.010272	8.548924140625E-08	2.50007490376875E-06	0	0.02696516823	9689.171875	
0.014368	-6.30883171875E-08	2.5108792198875E-06	0	0.03085771766	9689.171875	
0.018464	-2.4421579015625E-07	2.52473281180312E-06	0	0.02829069782	9689.171875	
0.02256	-2.7438846359375E-07	2.5263080506125E-06	0	0.02219784567	9689.171875	
0.026656	-2.0846574375E-07	2.51751334786875E-06	0	0.02559761897	9689.171875	
0.030752	-8.347772984375E-08	2.5068484546875E-06	0	0.03140779334	9689.171875	
0.034848	3.65729375E-08	2.49593524444687E-06	0	0.03091119724	9689.171875	
0.038944	2.2812369765625E-07	2.48609102352187E-06	0	0.0260903951	9689.171875	
0.04304	2.9962379046875E-07	2.48190376809375E-06	0	0.02520798203	9689.171875	
0.047136	2.84171724375E-07	2.48526722626875E-06	0	0.03013192336	9689.171875	
0.051232	6.281402015625E-08	2.5031330737875E-06	0	0.03009754363	9689.171875	
0.055328	-1.676869184375E-07	2.52388906264687E-06	0	0.02447454779	9689.171875	
0.059424	-2.4366719609375E-07	2.5296215088375E-06	0	0.02259130258	9689.171875	
0.06352	-1.214221525E-07	2.51824700098125E-06	0	0.02618589435	9689.171875	
0.067616	5.897386171875E-08	2.49994100967188E-06	0	0.03042606105	9689.171875	
0.071712	1.89813545625E-07	2.49155447959687E-06	0	0.02474576566	9689.171875	
0.075808	3.505516059375E-07	2.48181530664375E-06	0	0.02377167331	9689.171875	
0.079904	4.339379034375E-07	2.47870016552812E-06	0	0.02798510022	9689.171875	
0.084	4.8925447140625E-07	2.4786975213E-06	0	0.0308271579	9689.171875	
0.088096	4.5505877484375E-07	2.48556602404687E-06	0	0.02714470682	9689.171875	
0.092192	3.8246149390625E-07	2.49523837014375E-06	0	0.02308407871	9689.171875	
0.096288	3.18550285625E-07	2.50158283495312E-06	0	0.02704920757	9689.171875	
0.100384	2.62959420625E-07	2.50501047575625E-06	0	0.02875673416	9689.171875	
0.10448	9.74668784375E-08	2.51485830244687E-06	0	0.02651823174	9689.171875	
0.108576	-7.8631815625E-09	2.52181887240937E-06	0	0.02274028141	9689.171875	
0.112672	7.3145875E-09	2.51732873266875E-06	0	0.02756490352	9689.171875	
0.116768	6.60141521875E-08	2.51144484432187E-06	0	0.03094557697	9689.171875	
0.120864	1.779273409375E-07	2.50086648951562E-06	0	0.02906615173	9689.171875	
0.12496	1.779273409375E-07	2.498864808825E-06	0	0.02285488051	9689.171875	
0.129056	4.324749859375E-08	2.50775181916875E-06	0	0.02682000937	9689.171875	
0.133152	-1.4327448265625E-07	2.51975925908437E-06	0	0.03169047112	9689.171875	
0.137248	-3.816386028125E-07	2.53430491761562E-06	0	0.02809969932	9689.171875	
0.141344	-4.913574153125E-07	2.54028664240312E-06	0	0.02202212705	9689.171875	
0.14544	-5.4429674234375E-07	2.53846068269062E-06	0	0.02491002437	9689.171875	
0.149536	-4.9638619421875E-07	2.52914482662187E-06	0	0.03007844378	9689.171875	
0.153632	-3.59511975625E-07	2.51710830019687E-06	0	0.02872235443	9689.171875	
0.157728	-9.134091140625E-08	2.4954350045625E-06	0	0.02567783834	9689.171875	
0.161824	1.1730769703125E-07	2.47930497261562E-06	0	0.02572749795	9689.171875	
0.16592	1.67138324375E-07	2.47739776298438E-06	0	0.03154913223	9689.171875	
0.170016	8.475778265625E-08	2.4907542400125E-06	0	0.03093793703	9689.171875	
0.174112	4.416182203125E-08	2.49980158673437E-06	0	0.02445926791	9689.171875	
0.178208	9.96612546875E-09	2.50404773633437E-06	0	0.02285106054	9689.171875	
0.182304	-6.848282546875E-08	2.50979027866875E-06	0	0.02842821674	9689.171875	
0.1864	-1.9831675359375E-07	2.51786262636563E-06	0	0.02928007005	9689.171875	
0.190496	-2.682624965625E-07	2.523264784425E-06	0	0.02635015306	9689.171875	
0.194592	-3.904161078125E-08	2.50872898165312E-06	0	0.02366471415	9689.171875	
0.198688	3.20013203125E-07	2.479560981975E-06	0	0.02782466148	9689.171875	
0.202784	4.6566492671875E-07	2.46886940612812E-06	0	0.03052920024	9689.171875	
0.20688	3.5393460265625E-07	2.47983766439062E-06	0	0.02567401837	9689.171875	
0.210976	6.45512346875E-08	2.5075446078375E-06	0	0.02137655212	9689.171875	
0.215072	-4.818484515625E-08	2.52083906569688E-06	0	0.02561671882	9689.171875	
0.219168	1.135589709375E-07	2.50749244442813E-06	0	0.02792016073	9689.171875	
0.223264	2.0617993515625E-07	2.49855952066875E-06	0	0.02590321657	9689.171875	
0.22736	3.3144224609375E-07	2.48940904905E-06	0	0.02431410905	9689.171875	
0.231456	4.1885156671875E-07	2.48551674525E-06	0	0.02867651479	9689.171875	
0.235552	5.2911897328125E-07	2.481899441175E-06	0	0.03103343628	9689.171875	
0.239648	6.60872980625E-07	2.47459992924375E-06	0	0.02747704421	9689.171875	
0.243744	5.3679929015625E-07	2.48430160223437E-06	0	0.02466554629	9689.171875	
0.24784	2.55644833125E-07	2.50745254062188E-06	0	0.02925715023	9689.171875	
0.251936	-0.0000001170334	2.53512414756563E-06	0	0.03085007772	9689.171875	
0.256032	-3.0456113703125E-07	2.5463541844125E-06	0	0.02683528925	9689.171875	
0.260128	-3.4918012078125E-07	2.54259697663125E-06	0	0.02157137059	9689.171875	
0.264224	-3.2449338796875E-07	2.53095251712187E-06	0	0.02713706688	9689.171875	
0.26832	-1.8423617265625E-07	2.51633642596875E-06	0	0.03251940461	9689.171875	
0.272416	1.92007921875E-08	2.49923932768125E-06	0	0.02886369332	9689.171875	
0.276512	2.87829018125E-07	2.48113165348125E-06	0	0.02496350395	9689.171875	
0.280608	4.2964058328125E-07	2.47191820115625E-06	0	0.02465026641	9689.171875	
0.284704	3.437856125E-07	2.48087708642812E-06	0	0.03090737727	9689.171875	
0.2888	1.4181156515625E-07	2.502318651525E-06	0	0.02863067515	9689.171875	
0.292896	4.4253254375E-08	2.51369796706875E-06	0	0.02122375332	9689.171875	
0.296992	1.9822532125E-07	2.50468739915625E-06	0	0.02260658246	9689.171875	
0.301088	4.9986062328125E-07	2.4817542490125E-06	0	0.0308653576	9689.171875	
0.305184	0.00000071390374	2.46652902385312E-06	0	0.03195022908	9689.171875	
0.30928	7.45722195625E-07	2.46736243648125E-06	0	0.024065811	9689.171875	
0.313376	6.380148946875E-07	2.48138333592188E-06	0	0.02469228608	9689.171875	
0.317472	5.515198975E-07	2.49419606349375E-06	0	0.02892481284	9689.171875	
0.321568	3.9032467546875E-07	2.50555085983125E-06	0	0.03185472983	9689.171875	
0.325664	1.5680646953125E-07	2.52164819950312E-06	0	0.02396649178	9689.171875	
0.32976	-3.812728734375E-08	2.53117318997812E-06	0	0.02061255812	9689.171875	
0.333856	-1.7948169078125E-07	2.53597126210312E-06	0	0.02590703654	9689.171875	
0.337952	-2.5235326875E-07	2.5360426562625E-06	0	0.03042224108	9689.171875	
0.342048	-1.34954139375E-07	2.523610937925E-06	0	0.02588793669	9689.171875	
0.346144	2.733827078125E-08	2.506549416525E-06	0	0.02356539493	9689.171875	
0.35024	1.6850980953125E-07	2.49296914164375E-06	0	0.02938702921	9689.171875	
0.354336	1.98591050625E-07	2.49049294219687E-06	0	0.03209920791	9689.171875	
0.358432	8.6677861875E-08	2.4994946158875E-06	0	0.02851989602	9689.171875	
