Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-6.3727936272E-06	0	0.03913559265	9773.17578125	
0.00208	-0.000000201882615	-6.349484035125E-06	0	0.02909289152	9773.17578125	
0.006176	-5.3167907890625E-07	-6.30042494956875E-06	0	0.0348381264	9773.17578125	
0.010272	-7.429792253125E-07	-6.27835165433437E-06	0	0.03551044112	9773.17578125	
0.014368	-5.1650130984375E-07	-6.32850184456875E-06	0	0.03769928393	9773.17578125	
0.018464	-2.832574009375E-07	-6.37069507160625E-06	0	0.02986834543	9773.17578125	
0.02256	7.95461390625E-09	-6.41096330056875E-06	0	0.03292432143	9773.17578125	
0.026656	8.04604625E-08	-6.40486402782187E-06	0	0.0346853276	9773.17578125	
0.030752	1.90179275E-08	-6.38389241417812E-06	0	0.03764198438	9773.17578125	
0.034848	-4.836770984375E-08	-6.36260012777812E-06	0	0.03245064515	9773.17578125	
0.038944	-3.9526202203125E-07	-6.319780218675E-06	0	0.02442488818	9773.17578125	
0.04304	-6.5968436015625E-07	-6.285003330375E-06	0	0.03950230977	9773.17578125	
0.047136	-9.207237015625E-07	-6.26591633023125E-06	0	0.03308476017	9773.17578125	
0.051232	-8.051532190625E-07	-6.30083961261562E-06	0	0.03397481318	9773.17578125	
0.055328	-5.1192969265625E-07	-6.35125735065937E-06	0	0.03019304288	9773.17578125	
0.059424	-0.000000119959235	-6.41305776962812E-06	0	0.03629735494	9773.17578125	
0.06352	5.68709178125E-08	-6.42135728055937E-06	0	0.03834103889	9773.17578125	
0.067616	-5.385365046875E-08	-6.39370947166875E-06	0	0.03406267249	9773.17578125	
0.071712	-1.7655585578125E-07	-6.35718907549687E-06	0	0.03313059981	9773.17578125	
0.075808	-3.4716860921875E-07	-6.33116530344375E-06	0	0.03304656047	9773.17578125	
0.079904	-4.4984713125E-07	-6.32154680344687E-06	0	0.03830283919	9773.17578125	
0.084	-6.8327390484375E-07	-6.29589803101875E-06	0	0.03122825475	9773.17578125	
0.088096	-8.0890194515625E-07	-6.2955869736375E-06	0	0.03048718057	9773.17578125	
0.092192	-8.3651451296875E-07	-6.30088744910625E-06	0	0.03337889786	9773.17578125	
0.096288	-6.3609481546875E-07	-6.3403061596875E-06	0	0.03668699188	9773.17578125	
0.100384	-3.1992177078125E-07	-6.3886166883E-06	0	0.03441410973	9773.17578125	
0.10448	-2.6762247015625E-07	-6.38826644826562E-06	0	0.03109837577	9773.17578125	
0.108576	-3.6527221328125E-07	-6.366584018025E-06	0	0.0361369162	9773.17578125	
0.112672	-7.1216652546875E-07	-6.30758960586562E-06	0	0.03489924592	9773.17578125	
0.116768	-9.715600846875E-07	-6.27747978020625E-06	0	0.03261872383	9773.17578125	
0.120864	-1.02623662625E-06	-6.283572562575E-06	0	0.02893627275	9773.17578125	
0.12496	-1.0430601775E-06	-6.29963168113125E-06	0	0.03255378434	9773.17578125	
0.129056	-0.00000083093714	-6.33701842259062E-06	0	0.03792848213	9773.17578125	
0.133152	-6.146082146875E-07	-6.36724964235937E-06	0	0.03742424609	9773.17578125	
