Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-8.7276989646E-06	0	0.0194436473	10189.5234375	
0.00208	-9.78326078125E-08	-8.72427324687187E-06	0	0.02096017539	10189.5234375	
0.006176	-4.22417428125E-08	-8.76235421840625E-06	0	0.02148733125	10189.5234375	
0.010272	7.73517628125E-08	-8.79777197145E-06	0	0.01948566697	10189.5234375	
0.014368	3.1535015359375E-07	-8.84311567610625E-06	0	0.01879043243	10189.5234375	
0.018464	3.99742206875E-07	-8.8443632710125E-06	0	0.02094107554	10189.5234375	
0.02256	5.2436449140625E-07	-8.85260484930937E-06	0	0.02285488051	10189.5234375	
0.026656	6.4212935015625E-07	-8.85987551511562E-06	0	0.02034516022	10189.5234375	
0.030752	7.7927786578125E-07	-8.8679055551625E-06	0	0.01869875315	10189.5234375	
0.034848	7.799178921875E-07	-8.85824426674688E-06	0	0.02024966097	10189.5234375	
0.038944	7.0064605015625E-07	-8.83134237057187E-06	0	0.02209470648	10189.5234375	
0.04304	6.6050725125E-07	-8.82245920637812E-06	0	0.0192144491	10189.5234375	
0.047136	5.4758830671875E-07	-8.802227736225E-06	0	0.01648699052	10189.5234375	
0.051232	5.8891572609375E-07	-8.809670036475E-06	0	0.01976834475	10189.5234375	
0.055328	6.4615237328125E-07	-8.82605054894062E-06	0	0.02436758863	10189.5234375	
0.059424	6.577642809375E-07	-8.83159501455E-06	0	0.0227288215	10189.5234375	
0.06352	4.2982344796875E-07	-8.79285226483125E-06	0	0.01826327657	10189.5234375	
0.067616	2.6725674078125E-07	-8.76923329806562E-06	0	0.01805699819	10189.5234375	
0.071712	2.3287817953125E-07	-8.78004458533125E-06	0	0.02092579566	10189.5234375	
0.075808	3.351909721875E-07	-8.8063306167375E-06	0	0.02168214972	10189.5234375	
0.079904	4.6886505875E-07	-8.832181552425E-06	0	0.01775140059	10189.5234375	
0.084	3.89501784375E-07	-8.81594166481875E-06	0	0.01496664246	10189.5234375	
0.088096	0.000000248695975	-8.78871476896875E-06	0	0.02212526624	10189.5234375	
0.092192	1.8734487234375E-07	-8.78246645790937E-06	0	0.02417277016	10189.5234375	
0.096288	3.68289480625E-07	-8.8250536749375E-06	0	0.01952768664	10189.5234375	
0.100384	4.427154084375E-07	-8.83400799290625E-06	0	0.01799587867	10189.5234375	
0.10448	5.4685684796875E-07	-8.84467528993125E-06	0	0.02109769431	10189.5234375	
0.108576	3.969992365625E-07	-8.8128517640625E-06	0	0.02406199103	10189.5234375	
0.112672	3.2211614703125E-07	-8.79350298533437E-06	0	0.01930230841	10189.5234375	
0.116768	4.1135411453125E-07	-8.81389839763125E-06	0	0.01728154428	10189.5234375	
0.120864	5.7273220125E-07	-8.84429091531562E-06	0	0.01959262613	10189.5234375	
0.12496	0.000000670016215	-8.85837527623125E-06	0	0.02246906354	10189.5234375	
0.129056	5.9751036640625E-07	-8.83147434159375E-06	0	0.02126195302	10189.5234375	
0.133152	4.595389596875E-07	-8.80225345735312E-06	0	0.01733502386	10189.5234375	
0.137248	4.3768662953125E-07	-8.79834072088125E-06	0	0.01992114355	10189.5234375	
0.141344	5.9165869640625E-07	-8.82816593144062E-06	0	0.02275174132	10189.5234375	
0.14544	7.232298390625E-07	-8.85624114375E-06	0	0.02166304987	10189.5234375	
0.149536	5.5746299984375E-07	-8.821023871275E-06	0	0.01875223273	10189.5234375	
0.153632	3.7898706484375E-07	-8.78796308702812E-06	0	0.01929848844	10189.5234375	
0.157728	3.0693837796875E-07	-8.77964434534687E-06	0	0.02151407104	10189.5234375	
0.161824	4.046795534375E-07	-8.80822148023125E-06	0	0.02003192268	10189.5234375	
0.16592	3.8630165234375E-07	-8.81026282434375E-06	0	0.01785453978	10189.5234375	
0.170016	3.3948829234375E-07	-8.80579720380937E-06	0	0.0186796533	10189.5234375	
0.174112	2.0581420578125E-07	-8.7820527564E-06	0	0.02333619673	10189.5234375	
0.178208	3.0492686640625E-07	-8.80711306787813E-06	0	0.02148733125	10189.5234375	
0.182304	3.7167247734375E-07	-8.82484237707187E-06	0	0.01928702853	10189.5234375	
0.1864	3.717639096875E-07	-8.81798084547187E-06	0	0.02087995602	10189.5234375	
0.190496	1.2059926140625E-07	-8.78000323921875E-06	0	0.02391683217	10189.54296875	
0.194592	-1.0743300390625E-07	-8.74125736450312E-06	0	0.02252254312	10189.54296875	
0.198688	-2.711883315625E-07	-8.73413693893125E-06	0	0.01880189234	10189.54296875	
0.202784	-9.52725021875E-08	-8.77899338445937E-06	0	0.01641823106	10189.54296875	
0.20688	1.611037896875E-07	-8.8352132801625E-06	0	0.02049413905	10189.54296875	
0.210976	4.079711178125E-07	-8.86727598848437E-06	0	0.02170124957	10189.54296875	
0.215072	4.4134392328125E-07	-8.85765989233125E-06	0	0.01826327657	10189.54296875	
0.219168	4.2762907171875E-07	-8.8325017444125E-06	0	0.01700650644	10189.54296875	
0.223264	5.6880061046875E-07	-8.84538778921875E-06	0	0.02054761863	10189.54296875	
0.22736	6.6535316546875E-07	-8.85598681708125E-06	0	0.02364179433	10189.54296875	
0.231456	6.9260000390625E-07	-8.84868850707187E-06	0	0.01851921456	10189.54296875	
0.235552	6.0281344234375E-07	-8.827535403225E-06	0	0.0172662644	10189.54296875	
0.239648	5.542628678125E-07	-8.811523880775E-06	0	0.01833203603	10189.54296875	
0.243744	6.4926107296875E-07	-8.83050631371562E-06	0	0.02320631775	10189.54296875	
0.24784	7.6592874359375E-07	-8.84743874870625E-06	0	0.02205650678	10189.54296875	
0.251936	8.1383929171875E-07	-8.84741110450312E-06	0	0.01885155195	10189.54296875	
0.256032	7.2514991828125E-07	-8.8302613620375E-06	0	0.02221312555	10189.54296875	
0.260128	6.029048746875E-07	-8.80721451008438E-06	0	0.02447836776	10189.54296875	
0.264224	4.5716171875E-07	-8.79084048799687E-06	0	0.02099837509	10189.54296875	
0.26832	3.3573956625E-07	-8.77699290569062E-06	0	0.01723570464	10189.54296875	
0.272416	2.6990827875E-07	-8.77772078957813E-06	0	0.01901199069	10189.54296875	
0.276512	3.00263816875E-07	-8.79247726520625E-06	0	0.02054761863	10189.54296875	
0.280608	2.881947475E-07	-8.80034769002812E-06	0	0.020245841	10189.54296875	
0.284704	3.730439625E-07	-8.81854166221875E-06	0	0.01896233108	10189.54296875	
0.2888	3.6838091296875E-07	-8.8206132947625E-06	0	0.01955442643	10189.54296875	
0.292896	4.0787968546875E-07	-8.82211882210313E-06	0	0.02278994102	10189.54296875	
0.296992	3.8995894609375E-07	-8.81728877885625E-06	0	0.02223604537	10189.54296875	
0.301088	2.9834373765625E-07	-8.797650817725E-06	0	0.01918770931	10189.54296875	
0.305184	2.41747116875E-07	-8.79079962265312E-06	0	0.01946274715	10189.54296875	
0.30928	2.62959420625E-07	-8.80134143903438E-06	0	0.02264478216	10189.54296875	
0.313376	3.3363662234375E-07	-8.81544094416562E-06	0	0.02146441143	10189.54296875	
0.317472	2.8901763859375E-07	-8.81163325566562E-06	0	0.01927938859	10189.54296875	
0.321568	2.649709321875E-07	-8.80551571370625E-06	0	0.01857651411	10189.54296875	
0.325664	2.379069584375E-07	-8.80086379528125E-06	0	0.02331709688	10189.54296875	
0.32976	3.2485911734375E-07	-8.81333012896875E-06	0	0.02351955529	10189.54296875	
0.333856	3.9654207484375E-07	-8.82902145943125E-06	0	0.01703324623	10189.54296875	
0.337952	4.0769682078125E-07	-8.82457458887812E-06	0	0.01643351094	10189.54296875	
0.342048	3.69752398125E-07	-8.81637051054375E-06	0	0.02279758096	10189.54296875	
0.346144	2.96606523125E-07	-8.80189432309687E-06	0	0.02278230108	10189.54296875	
0.35024	3.2540771140625E-07	-8.80845056654062E-06	0	0.01742288317	10189.54296875	
0.354336	2.8600037125E-07	-8.80369648475625E-06	0	0.01684224773	10189.54296875	
0.358432	2.9916662875E-07	-8.80482340670625E-06	0	0.01975688484	10189.54296875	
0.362528	3.56586140625E-07	-8.81840247966562E-06	0	0.02316429808	10189.54296875	
0.366624	3.496372825E-07	-8.81563854012187E-06	0	0.01930230841	10189.54296875	
0.37072	4.2196026640625E-07	-8.8250479057125E-06	0	0.01779342026	10189.54296875	
0.374816	5.9476739609375E-07	-8.84985725590312E-06	0	0.02054379866	10189.54296875	
0.378912	6.7815369359375E-07	-8.85886854496875E-06	0	0.02368763397	10189.54296875	
0.383008	5.487769271875E-07	-8.8217748320625E-06	0	0.02195718756	10189.54296875	
0.387104	3.739582859375E-07	-8.79119842033125E-06	0	0.01914186967	10189.54296875	
0.3912	2.825259421875E-08	-8.7368518400625E-06	0	0.02029168064	10189.54296875	
0.395296	-4.023023125E-08	-8.74657082072812E-06	0	0.02355775499	10189.56640625	
0.399392	-1.095359478125E-07	-8.7587845104375E-06	0	0.02208324657	10189.56640625	
0.403488	2.65153796875E-08	-8.79475394562187E-06	0	0.01693010704	10189.56640625	
0.407584	8.238054171875E-08	-8.80670345290312E-06	0	0.01935196802	10189.56640625	
0.41168	3.9178759296875E-07	-8.85305821424062E-06	0	0.02157137059	10189.56640625	
0.415776	5.1723276859375E-07	-8.86800267045E-06	0	0.02342405604	10189.56640625	
0.419872	5.5673154109375E-07	-8.85070100505937E-06	0	0.01862617372	10189.56640625	
0.423968	4.23148886875E-07	-8.82343228232812E-06	0	0.01773230074	10189.56640625	
0.428064	1.8661341359375E-07	-8.77276310222812E-06	0	0.02012360196	10189.56640625	
0.43216	3.812728734375E-08	-8.76094556596875E-06	0	0.02133453245	10189.56640625	
0.436256	3.74872609375E-08	-8.76992921083125E-06	0	0.01741524323	10189.56640625	
0.440352	2.514389453125E-07	-8.82066209279062E-06	0	0.0181830572	10189.56640625	
0.444448	4.218688340625E-07	-8.844400770975E-06	0	0.02292745994	10189.56640625	
0.448544	5.0644375203125E-07	-8.85291350284687E-06	0	0.02321395769	10189.56640625	
0.45264	3.5375173796875E-07	-8.81591113600313E-06	0	0.02059727824	10189.56640625	
0.456736	1.7289856203125E-07	-8.78038184460937E-06	0	0.02076153695	10189.56640625	
0.460832	1.10816000625E-07	-8.77711550172187E-06	0	0.02232008471	10189.56640625	
0.464928	5.17507065625E-08	-8.77685684813437E-06	0	0.02087231608	10189.56640625	
0.469024	-2.32238153125E-08	-8.77395492795937E-06	0	0.01582231574	10189.56640625	
0.47312	-1.7619012640625E-07	-8.7536691309375E-06	0	0.01570771664	10189.56640625	
0.477216	-5.24821653125E-08	-8.78521813785E-06	0	0.02049795902	10189.56640625	
0.481312	2.5820493875E-07	-8.84457625156875E-06	0	0.02405435109	10189.56640625	
0.485408	5.7428655109375E-07	-8.8914449547E-06	0	0.02226660513	10189.56640625	
0.489504	5.5636581171875E-07	-8.86719425779687E-06	0	0.01830147627	10189.56640625	
0.4936	3.7222107140625E-07	-8.81222436084375E-06	0	0.02089905587	10189.56640625	
0.497696	1.4162870046875E-07	-8.76870829859062E-06	0	0.02299239943	10189.56640625	
0.501792	1.669554596875E-07	-8.77960396077187E-06	0	0.01895087117	10189.56640625	
0.505888	2.9304066171875E-07	-8.81466594494062E-06	0	0.01820215705	10189.56640625	
0.509984	3.9946790984375E-07	-8.83156208189062E-06	0	0.01982182433	10189.56640625	
0.51408	4.182115403125E-07	-8.83282313832187E-06	0	0.02434466881	10189.56640625	
0.518176	3.8410727609375E-07	-8.81865993133125E-06	0	0.02197246744	10189.56640625	
0.522272	4.1537713765625E-07	-8.8212786787125E-06	0	0.01862617372	10189.56640625	
0.526368	4.076053884375E-07	-8.81500031960625E-06	0	0.02016180166	10189.56640625	
0.530464	4.6529919734375E-07	-8.8228229079375E-06	0	0.02415367031	10189.56640625	
0.53456	3.5503179078125E-07	-8.80516643520937E-06	0	0.02005102253	10189.56640625	
0.538656	2.7713143390625E-07	-8.7935690910375E-06	0	0.01667798902	10189.56640625	
0.542752	3.2906500515625E-07	-8.80470321451875E-06	0	0.01780488017	10189.56640625	
0.546848	5.319533759375E-07	-8.84334908933437E-06	0	0.02221312555	10189.56640625	
0.550944	5.897386171875E-07	-8.847989228925E-06	0	0.02199920723	10189.56640625	
0.55504	5.6514331671875E-07	-8.83137193785E-06	0	0.01741142326	10189.56640625	
0.559136	5.08729560625E-07	-8.81497027155938E-06	0	0.0199402434	10189.56640625	
0.563232	6.06013574375E-07	-8.83058515979062E-06	0	0.02426062947	10189.56640625	
0.567328	8.1694799140625E-07	-8.86520195209687E-06	0	0.02400469148	10189.56640625	
0.571424	7.426134959375E-07	-8.84703514334062E-06	0	0.01825181666	10189.56640625	
0.57552	4.988548675E-07	-8.7968440877625E-06	0	0.0191380497	10189.56640625	
0.579616	2.488788396875E-07	-8.75721792546562E-06	0	0.02338967631	10189.56640625	
0.583712	1.65675406875E-07	-8.7591902792625E-06	0	0.02329799703	10189.56640625	
0.587808	1.742700471875E-07	-8.78157799725937E-06	0	0.0192144491	10189.56640625	
0.591904	1.72258535625E-07	-8.7921825539625E-06	0	0.01914950961	10189.56640625	
0.596	1.4327448265625E-07	-8.79613855962187E-06	0	0.02204886684	10189.56640625	
0.600096	9.63696903125E-08	-8.78822943291562E-06	0	0.02395503187	10189.56640625	
0.604192	2.3342677359375E-07	-8.81641666434375E-06	0	0.01910748994	10189.56640625	
0.608288	3.509173353125E-07	-8.83070006352187E-06	0	0.01610881349	10189.56640625	
0.612384	4.416182203125E-07	-8.8410690435375E-06	0	0.01987912388	10189.56640625	
0.61648	3.5832335515625E-07	-8.81806281654375E-06	0	0.02486036476	10189.56640625	
0.620576	2.850860478125E-07	-8.80198663069687E-06	0	0.02023438109	10189.56640625	
0.624672	0.00000016384676	-8.78433304258125E-06	0	0.01701796635	10189.56640625	
0.628768	2.296780475E-07	-8.79953519084062E-06	0	0.01869493318	10189.56640625	
0.632864	2.3123239734375E-07	-8.80837340315625E-06	0	0.02484126491	10189.56640625	
0.63696	1.578122253125E-07	-8.79484961860313E-06	0	0.02308025874	10189.56640625	
