Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-4.0574882502E-06	0	0.04580526027	11799.98046875	
0.00208	-2.07368555625E-07	-3.9710739135375E-06	0	0.0517987932	11799.98046875	
0.006176	2.1919990090625E-06	-4.07361587830312E-06	0	0.04356293788	11799.98046875	
0.010272	4.65966653453125E-06	-4.30200867875625E-06	0	0.04855945864	11799.98046875	
0.014368	3.2847983815625E-06	-4.11787424750625E-06	0	0.05812848349	11799.98046875	
0.018464	3.42276978828125E-06	-3.98613976385625E-06	0	0.04765794572	11799.98046875	
0.02256	5.33535155484375E-06	-4.14005499455625E-06	0	0.04292882286	11799.98046875	
0.026656	5.89235739296875E-06	-4.15535185425937E-06	0	0.05296388405	11799.98046875	
0.030752	8.02364532578125E-06	-4.25587819604062E-06	0	0.04912099423	11799.98046875	
0.034848	9.39037600015625E-06	-4.38192302191875E-06	0	0.04810488221	11799.98046875	
0.038944	6.6389024796875E-06	-4.08207740830312E-06	0	0.05578684188	11799.98046875	
0.04304	5.30609320484375E-06	-3.85089470679375E-06	0	0.04902549498	11799.98046875	
0.047136	6.80997239484375E-06	-4.01007651876562E-06	0	0.04185159132	11799.98046875	
0.051232	6.33662715125E-06	-4.0277113569E-06	0	0.0555423638	11799.98046875	
0.055328	5.72832776828125E-06	-3.93535640117812E-06	0	0.05151229545	11799.98046875	
0.059424	5.68846326640625E-06	-3.97036574116875E-06	0	0.04555696222	11799.98046875	
0.06352	2.2688021778125E-06	-3.71675517747187E-06	0	0.05213113059	11799.98046875	
0.067616	1.9612237734375E-07	-3.49703183950312E-06	0	0.04674879286	11799.98046875	
0.071712	1.51631398875E-06	-3.71808498383437E-06	0	0.04087749897	11799.98046875	
0.075808	-4.0202801546875E-07	-3.69862082060625E-06	0	0.05330004141	11799.98046875	
0.079904	-4.12862748203125E-06	-3.38655550767187E-06	0	0.05475163001	11799.98046875	
0.084	-6.22901128265625E-06	-3.2847938305875E-06	0	0.04520170501	11799.98046875	
0.088096	-9.55550281296875E-06	-3.14647545929062E-06	0	0.05048472352	11799.98046875	
0.092192	-1.18721241065625E-05	-3.03803662542187E-06	0	0.05062606241	11799.98046875	
0.096288	-1.10079970257813E-05	-3.26313976570312E-06	0	0.04506036612	11799.98046875	
0.100384	-1.23559840696875E-05	-3.33393729105937E-06	0	0.05603131996	11799.98046875	
0.10448	-1.54066242189063E-05	-3.11737212300937E-06	0	0.05741796907	11799.98046875	
0.108576	-1.5278344640625E-05	-3.18769368730312E-06	0	0.04240930694	11799.98046875	
0.112672	-1.49340104340625E-05	-3.36048822604687E-06	0	0.04913245414	11799.98046875	
0.116768	-1.49971901835937E-05	-3.39620838263437E-06	0	0.05152375536	11799.9609375	
0.120864	-1.23896311721875E-05	-3.64355404875E-06	0	0.04612995772	11799.9609375	
0.12496	-1.13126495951563E-05	-3.80276518761562E-06	0	0.04934637246	11799.9609375	
0.129056	-1.2168913494375E-05	-3.65710042943437E-06	0	0.05522912626	11799.9609375	
0.133152	-9.38470719484375E-06	-3.80982167094375E-06	0	0.04152689387	11799.9609375	
0.137248	-5.82561178203125E-06	-4.12835212164375E-06	0	0.04715752965	11799.9609375	
0.141344	-4.0784311253125E-06	-4.1871294667125E-06	0	0.05503430779	11799.9609375	
0.14544	-6.8053093453125E-07	-4.32847307536875E-06	0	0.04791388371	11799.9609375	
0.149536	1.91084455203125E-06	-4.46657125457812E-06	0	0.05169183404	11799.9609375	
0.153632	1.75815253796875E-06	-4.28702696296875E-06	0	0.05331150132	11799.9609375	
0.157728	4.41115342421875E-06	-4.3206187563E-06	0	0.04252390604	11799.9609375	
0.161824	7.65617873625E-06	-4.54021781554688E-06	0	0.04482352798	11799.9609375	
0.16592	7.67163080234375E-06	-4.42304701925625E-06	0	0.05638657717	11799.9609375	
0.170016	8.3965978559375E-06	-4.30640098205625E-06	0	0.04782220443	11799.9609375	
0.174112	9.25286175515625E-06	-4.3186697197875E-06	0	0.04566392138	11799.9609375	
0.178208	7.9346816553125E-06	-4.122943953975E-06	0	0.05080942097	11799.9609375	
0.182304	9.0984325265625E-06	-4.11742064219062E-06	0	0.04646611508	11799.9609375	
0.1864	1.12918030207812E-05	-4.3430985415125E-06	0	0.04405953398	11799.9609375	
0.190496	9.37300385484375E-06	-4.17219053934375E-06	0	0.05534754533	11799.9609375	
0.194592	6.99558005265625E-06	-3.87807857384062E-06	0	0.04850215909	11799.9609375	
0.198688	5.82232021765625E-06	-3.79606014624375E-06	0	0.04406717392	11799.9609375	
0.202784	2.6681786553125E-06	-3.60509663528437E-06	0	0.05208911092	11799.9609375	
0.20688	3.329965959375E-07	-3.42542974764375E-06	0	0.05000722727	11799.9609375	
0.210976	3.117842921875E-08	-3.54519284903437E-06	0	0.04846777936	11799.9609375	
0.215072	-4.0828198778125E-06	-3.34959256386562E-06	0	0.05744088889	11799.9609375	
0.219168	-8.057383860625E-06	-3.05166665986875E-06	0	0.0507674013	11799.9609375	
0.223264	-8.57443376453125E-06	-3.151306464075E-06	0	0.04318094088	11799.9609375	
0.22736	-9.67162188953125E-06	-3.25244218024687E-06	0	0.04961759033	11799.9609375	
0.231456	-1.04344419334375E-05	-3.279310182225E-06	0	0.05203945131	11799.9609375	
0.235552	-9.86600705234375E-06	-3.44449511319375E-06	0	0.04506036612	11799.9609375	
0.239648	-1.18128759478125E-05	-3.39035285964375E-06	0	0.05016766601	11799.9609375	
0.243744	-1.32783535534375E-05	-3.254471745525E-06	0	0.05203181137	11799.9609375	
0.24784	-1.03261860384375E-05	-3.56080725649688E-06	0	0.04229852781	11799.9609375	
0.251936	-7.88667967484375E-06	-3.87875982315937E-06	0	0.05054966301	11799.9609375	
0.256032	-7.747976809375E-06	-3.8545721069625E-06	0	0.05821252283	11799.9609375	
0.260128	-5.8580702640625E-06	-3.92978405098125E-06	0	0.04559134195	11799.9609375	
0.264224	-4.53403849421875E-06	-4.0328776978875E-06	0	0.05036630445	11799.9609375	
0.26832	-4.33892187265625E-06	-3.94907657976562E-06	0	0.05270412609	11799.9609375	
0.272416	-1.16567095046875E-06	-4.12530308623125E-06	0	0.04416649314	11799.9609375	
0.276512	2.646052028125E-07	-4.24799022315937E-06	0	0.0513021971	11799.9609375	
0.280608	-1.6792464253125E-06	-3.9616508460375E-06	0	0.05706271186	11799.9609375	
0.284704	-1.38620576359375E-06	-3.86480142365625E-06	0	0.0472912286	11799.9609375	
0.2888	-4.9894629984375E-07	-3.9487200897375E-06	0	0.04557988204	11799.9609375	
0.292896	-5.2637600296875E-07	-3.90661965106875E-06	0	0.05498082821	11799.9609375	
0.296992	1.62941579796875E-06	-4.03917023967187E-06	0	0.04785658416	11799.9609375	
0.301088	2.99907230734375E-06	-4.17802394697187E-06	0	0.04873899723	11799.9609375	
0.305184	8.5772681671875E-07	-3.93442947902812E-06	0	0.05704361201	11799.9609375	
0.30928	7.1838392484375E-07	-3.80991205546875E-06	0	0.04342923893	11799.9609375	
0.313376	2.5489508790625E-06	-3.99884840499375E-06	0	0.04264996505	11799.9609375	
0.317472	2.02056336453125E-06	-3.96491021777812E-06	0	0.05376989772	11799.98046875	
0.321568	2.30162638921875E-06	-3.92094680020312E-06	0	0.04880775669	11799.98046875	
0.325664	0.000002846837455	-3.99385826575312E-06	0	0.0483226205	11799.98046875	
0.32976	1.6960699765625E-07	-3.76220248779375E-06	0	0.05228010942	11799.98046875	
0.333856	-4.8687723046875E-07	-3.6333723281625E-06	0	0.0459924388	11799.98046875	
0.337952	1.7187451978125E-06	-3.89080933034062E-06	0	0.04310072151	11799.98046875	
0.342048	9.8445204515625E-07	-3.89876004354375E-06	0	0.05533226545	11799.98046875	
0.346144	-0.000000254547645	-3.74210803673437E-06	0	0.05102715926	11799.98046875	
0.35024	-4.6621352078125E-07	-3.74962774075312E-06	0	0.04532776402	11799.98046875	
0.354336	-0.000002864392465	-3.59173943710312E-06	0	0.05199361167	11799.98046875	
0.358432	-3.868319599375E-06	-3.48382488155625E-06	0	0.04817746164	11799.98046875	
0.362528	-0.000001922273595	-3.7332529975125E-06	0	0.04292118292	11799.98046875	
0.366624	-0.000002829282445	-3.75867172209375E-06	0	0.05645151666	11799.98046875	
0.37072	-4.81638157171875E-06	-3.55334764857187E-06	0	0.05440401274	11799.98046875	
0.374816	-4.3082920375E-06	-3.61931032299375E-06	0	0.04437659149	11799.98046875	
0.378912	-4.77944290484375E-06	-3.66017494559062E-06	0	0.05008744664	11799.98046875	
0.383008	-4.61477325375E-06	-3.65330740438125E-06	0	0.05029754499	11799.98046875	
0.387104	-1.8964896740625E-06	-3.91974776294062E-06	0	0.04600389871	11799.98046875	
0.3912	-2.101115259375E-06	-3.95972464604062E-06	0	0.05287602474	11799.98046875	
0.395296	-4.36068277046875E-06	-3.68493549775312E-06	0	0.05453771169	11799.98046875	
0.399392	-3.82251199515625E-06	-3.68821554255E-06	0	0.04068650047	11799.98046875	
0.403488	-3.19912627546875E-06	-3.79924115267812E-06	0	0.04836846014	11799.98046875	
0.407584	-3.30939368203125E-06	-3.77710511712187E-06	0	0.05600840014	11799.98046875	
0.41168	-1.444265301875E-06	-3.9169451215125E-06	0	0.04799028311	11799.98046875	
0.415776	-1.20882701671875E-06	-3.9760883316E-06	0	0.05246346798	11799.98046875	
0.419872	-3.05740614265625E-06	-3.74794216551562E-06	0	0.05359799907	11799.98046875	
0.423968	-1.2963277696875E-06	-3.831325014825E-06	0	0.04422379269	11799.98046875	
0.428064	1.0377571015625E-06	-4.09183509085312E-06	0	0.04677171268	11799.98046875	
0.43216	4.661220884375E-07	-4.00966089418125E-06	0	0.05558820344	11799.98046875	
0.436256	8.2919992546875E-07	-3.95174941363125E-06	0	0.04705821043	11799.98046875	
0.440352	9.74668784375E-07	-3.96987920319375E-06	0	0.0477878247	11799.98046875	
0.444448	-9.4458754328125E-07	-3.76669743522187E-06	0	0.05310140297	11799.98046875	
0.448544	2.550962390625E-07	-3.80215725553125E-06	0	0.04570594105	11799.98046875	
0.45264	2.78310911140625E-06	-4.08795240242812E-06	0	0.04875045714	11799.98046875	
0.456736	1.745626306875E-06	-4.0007988838125E-06	0	0.05759750766	11799.98046875	
0.460832	1.11611462015625E-06	-3.85725046966875E-06	0	0.05162689455	11799.98046875	
