Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-3.443688864E-07	0	0.06914909694	10399.99609375	
0.00208	1.57675076796875E-06	-3.82305627309375E-07	0	0.0582163428	10399.99609375	
0.006176	0.000002934612505	-4.450716703125E-07	0	0.0746804135	10399.99609375	
0.010272	2.53276735421875E-06	-4.46926235765625E-07	0	0.07302636649	10399.99609375	
0.014368	4.51483770203125E-06	-4.65877659121875E-07	0	0.05509542731	10399.99609375	
0.018464	6.18091786984375E-06	-5.10756460396875E-07	0	0.06587538265	10399.99609375	
0.02256	7.44341567234375E-06	-5.27146828621875E-07	0	0.06890461886	10399.99609375	
0.026656	1.11627005514063E-05	-5.851840302E-07	0	0.06441615411	10399.99609375	
0.030752	1.23406234359375E-05	-6.26309229459375E-07	0	0.07018048884	10399.99609375	
0.034848	1.17672512082813E-05	-6.01378244775E-07	0	0.07122334065	10399.99609375	
0.038944	1.37735511271875E-05	-5.96182096125E-07	0	0.06061910393	10399.99609375	
0.04304	1.6615451235625E-05	-6.45639738975E-07	0	0.06586010277	10399.99609375	
0.047136	1.7078464624375E-05	-6.55756796165625E-07	0	0.07217069321	10399.99609375	
0.051232	1.86279685539063E-05	-6.5624501683125E-07	0	0.06456131297	10399.99609375	
0.055328	1.86923369239062E-05	-6.56189968809375E-07	0	0.06451547333	10399.99609375	
0.059424	1.64195117229688E-05	-5.93449646934375E-07	0	0.07053956602	10399.99609375	
0.06352	1.63073242371875E-05	-5.45811233034375E-07	0	0.06496240982	10399.99609375	
0.067616	1.68949599104688E-05	-5.465148381E-07	0	0.0638316987	10399.99609375	
0.071712	1.47695236476562E-05	-5.150350618875E-07	0	0.07534890825	10399.99609375	
0.075808	1.32650958635938E-05	-4.601774244375E-07	0	0.0686830606	10399.99609375	
0.079904	1.19660251235938E-05	-4.333082205375E-07	0	0.06302186506	10399.99609375	
0.084	9.1170847246875E-06	-3.80662840490625E-07	0	0.06987107127	10399.99609375	
0.088096	8.46124052296875E-06	-3.4798859431875E-07	0	0.06254436881	10399.99609375	
0.092192	8.51994008765625E-06	-3.667236717375E-07	0	0.05935469386	10399.99609375	
0.096288	5.2257241746875E-06	-3.3828187325625E-07	0	0.0747568129	10399.99609375	
0.100384	2.12113894265625E-06	-2.6832040475625E-07	0	0.06895809844	10399.99609375	
0.10448	1.2315936703125E-06	-2.51136527709375E-07	0	0.0564591566	10399.99609375	
0.108576	-1.43923652296875E-06	-2.3207717176875E-07	0	0.07198351468	10399.99609375	
0.112672	-2.11162997890625E-06	-2.1612814925625E-07	0	0.06985197142	10399.99609375	
0.116768	-1.56157299890625E-06	-2.56927387303125E-07	0	0.0616925155	10399.99609375	
0.120864	-3.6245609709375E-06	-2.61464882765625E-07	0	0.07465749368	10399.99609375	
0.12496	-5.24556499328125E-06	-2.3326563211875E-07	0	0.06976411211	10399.99609375	
0.129056	-3.68390056203125E-06	-2.6405310133125E-07	0	0.05852576037	10399.99609375	
