Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00966"
"","0.02000","0.00089","0.05472"
"","0.04000","0.01639","0.10741"
"","0.06000","0.04925","0.17239"
"","0.08000","0.09256","0.28651"
"","0.10000","0.14159","0.39141"
"","0.12000","0.19086","0.52496"
"","0.14000","0.23880","0.64418"
"","0.16000","0.28590","0.77096"
"","0.18000","0.33259","0.88682"
"","0.20000","0.37909","1.00955"
"","0.22000","0.42548","1.12047"
"","0.24000","0.47182","1.24290"
"","0.26000","0.51809","1.35382"
"","0.28000","0.56434","1.47388"
"","0.30000","0.61057","1.58315"
"","0.32000","0.65677","1.70030"
"","0.34000","0.70299","1.81124"
"","0.36000","0.74916","1.92492"
"","0.38000","0.79535","2.03703"
"","0.40000","0.84155","2.15121"
"","0.42000","0.88776","2.25794"
"","0.44000","0.93394","2.37140"
"","0.46000","0.98010","2.47773"
"","0.48000","1.02629","2.58903"
"","0.50000","1.07248","2.69702"
"","0.52000","1.11873","2.80597"
"","0.54000","1.16502","2.91252"
"","0.56000","1.21123","3.02136"
"","0.58000","1.25749","3.12666"
"","0.60000","1.30374","3.23631"
"","0.62000","1.34990","3.34080"
"","0.64000","1.39603","3.44967"
"","0.66000","1.44217","3.55128"
"","0.68000","1.48835","3.65728"
"","0.70000","1.53448","3.76101"
"","0.72000","1.58067","3.86496"
"","0.74000","1.62690","3.97022"
"","0.76000","1.67311","4.07406"
"","0.78000","1.71938","4.17689"
"","0.80000","1.76567","4.28054"
"","0.82000","1.81191","4.38200"
"","0.84000","1.85805","4.48547"
"","0.86000","1.90422","4.58691"
"","0.88000","1.95043","4.68825"
"","0.90000","1.99659","4.78959"
"","0.92000","2.04267","4.88960"
"","0.94000","2.08882","4.99207"
"","0.96000","2.13507","5.09216"
"","0.98000","2.18135","5.19202"
"","1.00000","2.22759","5.29331"
"","1.02000","2.27384","5.39202"
"","1.04000","2.32008","5.48986"
"","1.06000","2.36630","5.59018"
"","1.08000","2.41246","5.68767"
"","1.10000","2.45860","5.78708"
"","1.12000","2.50474","5.88416"
"","1.14000","2.55093","5.98220"
"","1.16000","2.59715","6.07965"
"","1.18000","2.64345","6.17637"
"","1.20000","2.68969","6.27499"
"","1.22000","2.73589","6.37193"
"","1.24000","2.78204","6.46674"
"","1.26000","2.82822","6.56595"
"","1.28000","2.87445","6.66038"
"","1.30000","2.92069","6.75880"
"","1.32000","2.96684","6.85475"
"","1.34000","3.01298","6.94873"
"","1.36000","3.05915","7.04480"
"","1.38000","3.10536","7.13834"
"","1.40000","3.15158","7.23441"
"","1.42000","3.19776","7.33081"
"","1.44000","3.24393","7.42393"
"","1.46000","3.29017","7.52052"
"","1.48000","3.33641","7.61428"
"","1.50000","3.38260","7.71152"
"","1.52000","3.42881","7.80702"
"","1.54000","3.47505","7.90142"
"","1.56000","3.52125","7.99829"
"","1.58000","3.56740","8.09113"
"","1.60000","3.61353","8.18605"
"","1.62000","3.65977","8.28171"
"","1.64000","3.70597","8.37416"
"","1.66000","3.75213","8.46986"
"","1.68000","3.79830","8.56321"
"","1.70000","3.84455","8.65781"
"","1.72000","3.89076","8.75116"
"","1.74000","3.93691","8.84485"
"","1.76000","3.98305","8.94013"
"","1.78000","4.02928","9.03347"
"","1.80000","4.07556","9.12666"
"","1.82000","4.12176","9.22229"
"","1.84000","4.16794","9.31613"
"","1.86000","4.21415","9.40999"
"","1.88000","4.26040","9.50594"
"","1.90000","4.30663","9.59937"
"","1.92000","4.35283","9.69582"
"","1.94000","4.39901","9.78972"
"","1.96000","4.44519","9.88419"
"","1.98000","4.49136","9.97889"
"","2.00000","4.53759","10.07224"
"","2.02000","4.58380","10.16805"
"","2.04000","4.63002","10.26372"
"","2.06000","4.67620","10.35711"
"","2.08000","4.72241","10.45237"
"","2.10000","4.76860","10.54731"
"","2.12000","4.81478","10.64415"
"","2.14000","4.86095","10.73967"
"","2.16000","4.90714","10.83503"
"","2.18000","4.95332","10.93336"
"","2.20000","4.99954","11.02673"
"","2.22000","5.04574","11.12550"
"","2.24000","5.09189","11.22217"
