Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00049"
"","0.02000","0.00191","0.09361"
"","0.04000","0.03603","0.22140"
"","0.06000","0.11207","0.38198"
"","0.07500","0.18320","0.64549"
"","0.08900","0.25582","0.90038"
"","0.10300","0.33055","1.17121"
"","0.11400","0.38902","1.42235"
"","0.12600","0.45197","1.67756"
"","0.13900","0.51919","1.93604"
"","0.15100","0.58062","2.20234"
"","0.16300","0.64175","2.46559"
"","0.17600","0.70780","2.73059"
"","0.18800","0.76868","3.00124"
"","0.19900","0.82445","3.26117"
"","0.21100","0.88528","3.52352"
"","0.22300","0.94611","3.79533"
"","0.23400","1.00187","4.06363"
"","0.24500","1.05763","4.31976"
"","0.25700","1.11846","4.58679"
"","0.26800","1.17421","4.84710"
"","0.27900","1.22994","5.10972"
"","0.29100","1.29070","5.37644"
"","0.30300","1.35141","5.64871"
"","0.31400","1.40704","5.91590"
"","0.32500","1.46270","6.17440"
"","0.33600","1.51839","6.43194"
"","0.34700","1.57408","6.70370"
"","0.35700","1.62470","6.95622"
"","0.36800","1.68036","7.22296"
"","0.37900","1.73600","7.48725"
"","0.38900","1.78658","7.74001"
"","0.39900","1.83718","7.99323"
"","0.41000","1.89285","8.26112"
"","0.42100","1.94853","8.53054"
"","0.43200","2.00421","8.78099"
"","0.44700","2.08016","9.03140"
"","0.46300","2.16118","9.29722"
"","0.47600","2.22697","9.55969"
"","0.48900","2.29274","9.82533"
"","0.50200","2.35850","10.07716"
"","0.52200","2.45966","10.32689"
"","0.54200","2.56084","10.41945"
"","0.56200","2.66205","10.67507"
"","0.57700","2.73797","10.93848"
"","0.59000","2.80376","11.20635"
"","0.60200","2.86447","11.46345"
"","0.61400","2.92519","11.72473"
"","0.62600","2.98593","11.99652"
"","0.63800","3.04666","12.26552"
"","0.65000","3.10736","12.52683"
"","0.66400","3.17814","12.79341"
"","0.68300","3.27420","13.05009"
"","0.70300","3.37537","13.31030"
"","0.71800","3.45131","13.57414"
"","0.73200","3.52219","13.83994"
"","0.74500","3.58798","14.10770"
"","0.75700","3.64873","14.36195"
"","0.77000","3.71452","14.63039"
"","0.78200","3.77522","14.88222"
"","0.79400","3.83590","15.13434"
"","0.80700","3.90161","15.40305"
"","0.82000","3.96731","15.66811"
"","0.83300","4.03305","15.93293"
"","0.84600","4.09886","16.19263"
"","0.85900","4.16471","16.45329"
"","0.87200","4.23057","16.71939"
"","0.88500","4.29639","16.98881"
"","0.89800","4.36220","17.25811"
"","0.91000","4.42292","17.51033"
"","0.92300","4.48867","17.77967"
"","0.93600","4.55440","18.04811"
"","0.94900","4.62012","18.31641"
"","0.96200","4.68585","18.57991"
"","0.97500","4.75163","18.83750"
"","0.98800","4.81745","19.09944"
"","1.00100","4.88326","19.35932"
"","1.01400","4.94905","19.61010"
"","1.03100","5.03425","19.86539"
"","1.03700","5.06168","19.89500"
"","1.03800","5.06591","19.89853"
"","1.03900","5.07001","19.90036"
"","1.05200","5.10968","19.61855"
"","1.05800","5.11748","19.35695"
"","1.06400","5.11702","19.08504"
"","1.07100","5.10594","18.81144"
"","1.07800","5.08580","18.54570"
"","1.08500","5.05951","18.28072"
"","1.09200","5.02922","18.01826"
"","1.09900","4.99621","17.76032"
"","1.10600","4.96126","17.50882"
"","1.11400","4.91967","17.23760"
"","1.12200","4.87707","16.98090"
"","1.13000","4.83409","16.73084"
"","1.13900","4.78588","16.44919"
"","1.14700","4.74343","16.19528"
"","1.15500","4.70145","15.94182"
"","1.16400","4.65475","15.66377"
"","1.17300","4.60848","15.39115"
"","1.18200","4.56249","15.11937"
"","1.19100","4.51668","14.85014"
"","1.20000","4.47095","14.58533"
"","1.20900","4.42527","14.32606"
"","1.21800","4.37962","14.06999"
"","1.22700","4.33398","13.81536"
"","1.23600","4.28833","13.56429"
"","1.24600","4.23760","13.29199"
"","1.25600","4.18688","13.02121"
"","1.26600","4.13618","12.75128"
"","1.27600","4.08547","12.48593"
"","1.28600","4.03478","12.22676"
"","1.29600","3.98409","11.97056"
"","1.30600","3.93342","11.71312"
"","1.31600","3.88278","11.46079"
"","1.32700","3.82712","11.19246"
"","1.33800","3.77148","10.92689"
"","1.34900","3.71585","10.65970"
"","1.36000","3.66022","10.39886"
"","1.37100","3.60458","10.14572"
"","1.38200","3.54890","9.89262"
"","1.39300","3.49320","9.63825"
"","1.40500","3.43244","9.36813"
"","1.41700","3.37168","9.10615"
"","1.42900","3.31094","8.84172"
"","1.44100","3.25022","8.58628"
"","1.45400","3.18448","8.31651"
"","1.46700","3.11871","8.05245"
"","1.48000","3.05291","7.79618"
"","1.49300","2.98711","7.54616"
"","1.50700","2.91630","7.27785"
"","1.52100","2.84554","7.01840"
"","1.53500","2.77479","6.76341"
"","1.54900","2.70394","6.51000"
"","1.56400","2.62794","6.25041"
"","1.57900","2.55196","5.98872"
"","1.59400","2.47600","5.72852"
"","1.61000","2.39500","5.46543"
"","1.62600","2.31410","5.19853"
"","1.64200","2.23329","4.93890"
"","1.65800","2.15241","4.68524"
"","1.67400","2.07133","4.43198"
"","1.69100","1.98517","4.16968"
"","1.70800","1.89911","3.90725"
"","1.72500","1.81308","3.64828"
"","1.74200","1.72706","3.39151"
"","1.75900","1.64108","3.14092"
"","1.77700","1.55003","2.87812"
"","1.79500","1.45896","2.62256"
"","1.81400","1.36288","2.35839"
"","1.83200","1.27186","2.10795"
"","1.85100","1.17578","1.85042"
"","1.87000","1.07960","1.59636"
"","1.89000","0.97826","1.33619"
"","1.91000","0.87700","1.08038"
"","1.93000","0.77585","0.82431"
"","1.95000","0.67469","0.57081"
"","1.97000","0.57351","0.33107"
"","1.99000","0.47229","0.14090"
"","2.01000","0.37106","0.03013"
"","2.03000","0.26978","-0.03048"
"","2.05000","0.16849","-0.06660"
"","2.07000","0.06729","-0.08140"
"","2.08400","-0.00007","0.03559"
"","2.08500","-0.00433","0.04484"
"","2.08600","-0.00848","0.05248"
"","2.10600","-0.05746","0.20411"
"","2.12600","-0.02243","0.08853"
"","2.14600","0.06329","0.01735"
"","2.16600","0.16624","0.01158"
"","2.18600","0.27353","0.09978"
"","2.20600","0.37891","0.32087"
"","2.22500","0.47685","0.57736"
"","2.24200","0.56355","0.83896"
"","2.26000","0.65502","1.09622"
"","2.27800","0.74634","1.35618"
"","2.29800","0.84772","1.59830"
"","2.31700","0.94398","1.84869"
"","2.33600","1.04028","2.10858"
"","2.35400","1.13153","2.37332"
"","2.37200","1.22272","2.63655"
"","2.38900","1.30880","2.88698"
"","2.40600","1.39479","3.14873"
"","2.42300","1.48078","3.40976"
"","2.43900","1.56174","3.66549"
"","2.45500","1.64272","3.91559"
"","2.47100","1.72368","4.17111"
"","2.48700","1.80454","4.42300"
"","2.50400","1.89051","4.68794"
"","2.52000","1.97161","4.94592"
"","2.53600","2.05270","5.19981"
"","2.55200","2.13370","5.46539"
"","2.56700","2.20960","5.71607"
"","2.58200","2.28547","5.96873"
"","2.59700","2.36135","6.22815"
"","2.61200","2.43720","6.48510"
"","2.62700","2.51309","6.74656"
"","2.64200","2.58898","7.01284"
"","2.65700","2.66487","7.27958"
"","2.67100","2.73569","7.53979"
"","2.68500","2.80652","7.80558"
"","2.69900","2.87736","8.07349"
"","2.71200","2.94314","8.33121"
"","2.72500","3.00894","8.58799"
"","2.73800","3.07475","8.85161"
"","2.75100","3.14053","9.11887"
"","2.76400","3.20627","9.38743"
"","2.77600","3.26695","9.63799"
"","2.78800","3.32763","9.89340"
"","2.80000","3.38836","10.14729"
"","2.81200","3.44913","10.40265"
"","2.82400","3.50988","10.66245"
"","2.83600","3.57061","10.92635"
"","2.84800","3.63135","11.18905"
"","2.86000","3.69210","11.45648"
"","2.87200","3.75282","11.72722"
"","2.88300","3.80843","11.97918"
"","2.89400","3.86402","12.23140"
"","2.90500","3.91960","12.48624"
"","2.91600","3.97521","12.74505"
"","2.92700","4.03087","13.00466"
"","2.93800","4.08656","13.26751"
"","2.94900","4.14228","13.53274"
"","2.96000","4.19800","13.80031"
"","2.97100","4.25370","14.07164"
"","2.98200","4.30938","14.34585"
"","2.99300","4.36505","14.62002"
"","3.00300","4.41566","14.87220"
"","3.01300","4.46624","15.12403"
"","3.02300","4.51681","15.37648"
"","3.03300","4.56737","15.63038"
"","3.04300","4.61793","15.88583"
"","3.05300","4.66849","16.14098"
"","3.06300","4.71907","16.39627"
"","3.07300","4.76966","16.65261"
"","3.08300","4.82029","16.91065"
"","3.09300","4.87092","17.16752"
"","3.10300","4.92155","17.42367"
"","3.11300","4.97216","17.67848"
"","3.12600","5.03696","17.93252"
"","3.13200","5.06408","18.00153"
"","3.13300","5.06824","18.01304"
"","3.13400","5.07227","18.02434"
"","3.15400","5.11854","18.05886"
"","3.17400","5.08187","17.84774"
"","3.18500","5.03755","17.59617"
"","3.19400","4.99555","17.33096"
"","3.20200","4.95550","17.06989"
"","3.21000","4.91377","16.80665"
"","3.21800","4.87111","16.54772"
"","3.22600","4.82814","16.29072"
"","3.23400","4.78531","16.03041"
"","3.24200","4.74288","15.76546"
"","3.25000","4.70091","15.50541"
"","3.25900","4.65420","15.22581"
"","3.26800","4.60792","14.95371"
"","3.27700","4.56192","14.68016"
"","3.28600","4.51610","14.40951"
"","3.29500","4.47037","14.14641"
"","3.30400","4.42469","13.89460"
"","3.31300","4.37904","13.64225"
"","3.32200","4.33338","13.38745"
"","3.33100","4.28774","13.13514"
"","3.34100","4.23702","12.86644"
"","3.35100","4.18631","12.60046"
"","3.36100","4.13559","12.33147"
"","3.37100","4.08489","12.06515"
"","3.38100","4.03419","11.80937"
"","3.39100","3.98351","11.55780"
"","3.40100","3.93283","11.30423"
"","3.41100","3.88219","11.05412"
"","3.42200","3.82653","10.78903"
"","3.43300","3.77088","10.52783"
"","3.44400","3.71524","10.26472"
"","3.45500","3.65960","10.00671"
"","3.46600","3.60396","9.75566"
"","3.47700","3.54828","9.50428"
"","3.48800","3.49257","9.25396"
"","3.50000","3.43180","8.99017"
"","3.51200","3.37105","8.73110"
"","3.52400","3.31030","8.47015"
"","3.53700","3.24453","8.20001"
"","3.55000","3.17879","7.93556"
"","3.56300","3.11303","7.66868"
"","3.57600","3.04724","7.41034"
"","3.58900","2.98144","7.15835"
"","3.60200","2.91569","6.90520"
"","3.61600","2.84497","6.64215"
"","3.63000","2.77432","6.39204"
"","3.64500","2.69848","6.12557"
"","3.66000","2.62234","5.86872"
"","3.67500","2.54620","5.61490"
"","3.69000","2.47020","5.36054"
"","3.70600","2.38923","5.10159"
"","3.72200","2.30837","4.84085"
"","3.73800","2.22761","4.58814"
"","3.75500","2.14178","4.32367"
"","3.77200","2.05559","4.06121"
"","3.78900","1.96932","3.80604"
"","3.80600","1.88325","3.54762"
"","3.82400","1.79220","3.28387"
"","3.84200","1.70115","3.02217"
"","3.86000","1.61010","2.76985"
"","3.87800","1.51905","2.51892"
