Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	0	0	-0.00384670979	10349.98046875	
0.00208	-3.6929523640625E-07	0	0	0.0066849475	10349.9609375	
0.006176	-2.2154056890625E-07	0	0	-0.00480934223	10349.9609375	
0.010272	-5.7684665671875E-07	0	0	-0.00333865378	10349.9609375	
0.014368	-2.104041094375E-06	0	0	0.00191762494	10349.9609375	
0.018464	-1.18889476578125E-06	0	0	-0.00410646775	10349.9609375	
0.02256	1.80304581875E-07	0	0	-0.00280385798	10349.9609375	
0.026656	-7.089663934375E-07	0	0	0.00957284482	10349.9609375	
0.030752	-8.7345317984375E-07	0	0	-0.00078691382	10349.9609375	
0.034848	1.2645093140625E-07	0	0	-0.00522571896	10349.9609375	
0.038944	-0.000000102404225	0	0	0.00665438774	10349.9609375	
0.04304	1.1942892740625E-06	0	0	-0.00237984131	10349.9609375	
0.047136	0.00000334715524	0	0	-0.00678808669	10349.9609375	
0.051232	2.49674301078125E-06	0	0	0.00836191433	10349.9609375	
0.055328	1.89493532421875E-06	0	0	-0.0012223904	10349.9609375	
0.059424	2.75586227296875E-06	0	0	-0.01011910053	10349.9609375	
0.06352	2.46821611953125E-06	0	0	0.00304833606	10349.9609375	
0.067616	0.00000277954325	0	0	0.00308271579	10349.9609375	
0.071712	4.31569805734375E-06	0	0	-0.00212772329	10349.9609375	
0.075808	2.9044398315625E-06	0	0	0.00800283715	10349.9609375	
0.079904	0.00000142195581	0	0	0.00249444041	10349.9609375	
0.084	2.54154485921875E-06	0	0	-0.00972946359	10349.9609375	
0.088096	2.5412705621875E-06	0	0	0.00473294283	10349.9609375	
0.092192	1.37687966453125E-06	0	0	0.00730378264	10349.9609375	
0.096288	1.165579518125E-06	0	0	-0.00699436507	10349.9609375	
0.100384	-5.345134815625E-07	0	0	0.00377795033	10349.9609375	
0.10448	-2.391504383125E-06	0	0	0.00330809402	10349.9609375	
0.108576	-1.14281286453125E-06	0	0	-0.00769723955	10349.9609375	
0.112672	-3.3235656953125E-07	0	0	0.00090533289	10349.9609375	
0.116768	-1.50799364546875E-06	0	0	0.00856819271	10349.9609375	
0.120864	-1.16695100328125E-06	0	0	-0.00898838941	10349.9609375	
0.12496	-1.512290965625E-06	0	0	-0.00029795766	10349.9609375	
0.129056	-2.33161619796875E-06	0	0	0.00088241307	10349.9609375	
0.133152	-4.2616615421875E-07	0	0	-0.00702110486	10349.9609375	
0.137248	3.94621995625E-07	0	0	0.00734580231	10349.9609375	
0.141344	-1.53834918359375E-06	0	0	0.00688358594	10349.9609375	
0.14544	-1.3716680209375E-06	0	0	-0.00356403201	10349.9609375	
0.149536	3.776155796875E-08	0	0	-0.0033615736	10349.9609375	
0.153632	7.0430334390625E-07	0	0	0.00477878247	10349.9609375	
0.157728	2.66570998203125E-06	0	0	-0.00088241307	10349.9609375	
0.161824	3.90516683390625E-06	0	0	-0.00059973529	10349.9609375	
0.16592	3.04734858484375E-06	0	0	0.00524863878	10349.9609375	
0.170016	4.06096754765625E-06	0	0	-0.00325079447	10349.9609375	
0.174112	6.53165234046875E-06	0	0	-0.00712424405	10349.9609375	
0.178208	6.720277265625E-06	0	0	0.00424398667	10349.9609375	
0.182304	7.4243063125E-06	0	0	0.00220030272	10349.9609375	
0.1864	8.6917414615625E-06	0	0	-0.0061501517	10349.9609375	
0.190496	7.96659154328125E-06	0	0	0.00535559794	10349.9609375	
0.194592	8.7286801284375E-06	0	0	0.00115745091	10349.9609375	
0.198688	1.11230189142187E-05	0	0	-0.01045143792	10349.9609375	
0.202784	0.00001095432624	0	0	0.00924814737	10349.9609375	
0.20688	1.01872088759375E-05	0	0	0.003055976	10349.9609375	
0.210976	1.06885324167187E-05	0	0	-0.00461452376	10349.9609375	
0.215072	9.703166048125E-06	0	0	0.00315147525	10349.9609375	
0.219168	9.3694379934375E-06	0	0	0.00060737523	10349.9609375	
0.223264	1.09303709659375E-05	0	0	-0.00679190666	10349.9609375	
0.22736	1.03580044940625E-05	0	0	0.00721592333	10349.9609375	
0.231456	8.7700075478125E-06	0	0	0.00368627105	10349.9609375	
0.235552	9.27681702921875E-06	0	0	-0.01350359395	10349.9609375	
0.239648	9.0881921040625E-06	0	0	0.00159674746	10349.9609375	
0.243744	8.5092425034375E-06	0	0	0.00201312419	10349.9609375	
0.24784	9.44925842953125E-06	0	0	-0.00381997	10349.9609375	
0.251936	8.79679722453125E-06	0	0	0.00355639207	10349.9609375	
0.256032	7.01514657421875E-06	0	0	0.00662000801	10349.9609375	
0.260128	7.611925481875E-06	0	0	-0.00429746625	10349.9609375	
0.264224	8.22589367015625E-06	0	0	-0.00256319987	10349.9609375	
0.26832	7.86235867140625E-06	0	0	0.00937038641	10349.9609375	
0.272416	8.6840611446875E-06	0	0	-0.00067613469	10349.9609375	
0.276512	8.68287252421875E-06	0	0	-0.00121093049	10349.9609375	
0.280608	6.96339586765625E-06	0	0	0.00266251909	10349.9609375	
0.284704	8.08490499609375E-06	0	0	-0.00781183865	10349.9609375	
0.2888	9.59518445015625E-06	0	0	-0.00330809402	10349.9609375	
0.292896	8.7994487625E-06	0	0	0.00759792033	10349.9609375	
0.296992	8.576719573125E-06	0	0	-0.00198256443	10349.9609375	
0.301088	8.35225316921875E-06	0	0	-0.00110397133	10349.9609375	
0.305184	7.863547291875E-06	0	0	-0.00124531022	10349.9609375	
0.30928	1.00757528489063E-05	0	0	-0.0010313919	10349.9609375	
0.313376	1.252623109375E-05	0	0	0.00060737523	10349.9609375	
0.317472	1.1380400961875E-05	0	0	0.00750624105	10349.9609375	
0.321568	1.0844241698125E-05	0	0	-0.00357549192	10349.9609375	
0.325664	1.1901199591875E-05	0	0	-0.00731524255	10349.9609375	
0.32976	1.16535093726563E-05	0	0	0.00480170229	10349.9609375	
0.333856	1.16860592870313E-05	0	0	-0.00135608935	10349.9609375	
0.337952	1.18780672089063E-05	0	0	-0.00369391099	10349.9609375	
0.342048	9.8383030521875E-06	0	0	0.00539761761	10349.9609375	
0.346144	8.4470685096875E-06	0	0	0.00230344191	10349.9609375	
0.35024	9.409119630625E-06	0	0	-0.00755208069	10349.9609375	
0.354336	8.8376674821875E-06	0	0	0.00301395633	10349.9609375	
0.358432	7.59958211546875E-06	0	0	0.00316293516	10349.9609375	
0.362528	7.43966694625E-06	0	0	-0.00720828339	10349.9609375	
0.366624	5.29310981203125E-06	0	0	0.00606611236	10349.9609375	
0.37072	3.13804946984375E-06	0	0	0.00058827538	10349.9609375	
0.374816	3.32548577453125E-06	0	0	-0.00863695217	10349.9609375	
0.378912	2.47534784234375E-06	0	0	0.00387726955	10349.9609375	
0.383008	6.129624325E-07	0	0	0.0066467478	10349.9609375	
0.387104	2.8024013359375E-07	0	0	-0.00257465978	10349.9609375	
0.3912	-7.0631485546875E-07	0	0	-0.00027121787	10349.9609375	
0.395296	-1.9330626115625E-06	0	0	0.00273891849	10349.9609375	
0.399392	-8.2206820265625E-07	0	0	-0.0101611202	10349.9609375	
0.403488	-7.9372417609375E-07	0	0	0.00412938757	10349.9609375	
0.407584	-3.0331765715625E-06	0	0	0.00631059044	10349.9609375	
0.41168	-3.94429987703125E-06	0	0	-0.00589039374	10349.9609375	
0.415776	-4.83960538703125E-06	0	0	-0.00337685348	10349.9609375	
0.419872	-5.8950089309375E-06	0	0	0.00409118787	10349.9609375	
0.423968	-4.78310019859375E-06	0	0	-0.00079455376	10349.9609375	
