Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-5.333994666E-07	0	-0.00669640741	8649.9921875	
0.00208	-4.939175209375E-07	-5.240715913125E-07	0	0.0013751892	8649.9921875	
0.006176	5.7702952140625E-07	-5.27715578053125E-07	0	0.00024447808	8649.9921875	
0.010272	3.87334837828125E-06	-6.0132391790625E-07	0	-0.00443880514	8649.9921875	
0.014368	4.81126136046875E-06	-6.54238047684375E-07	0	0.00749478114	8649.9921875	
0.018464	4.3318815821875E-06	-6.3667388255625E-07	0	0.00497742091	8649.9921875	
0.02256	5.71589296953125E-06	-6.3988541780625E-07	0	-0.00946970563	8649.9921875	
0.026656	6.75355863875E-06	-6.625849143375E-07	0	-0.00406826805	8649.9921875	
0.030752	8.13500992046875E-06	-6.7414019124375E-07	0	0.00461834373	8649.9921875	
0.034848	1.08125146748437E-05	-7.23500959190625E-07	0	-0.00495832106	8649.9921875	
0.038944	1.0923970701875E-05	-7.38745174715625E-07	0	0.00263959927	8649.9921875	
0.04304	9.546633875625E-06	-6.85889698725E-07	0	0.0027121787	8649.9921875	
0.047136	1.10809600360937E-05	-6.72647163890625E-07	0	-0.0098173229	8649.9921875	
0.051232	1.30218858292188E-05	-7.13411065434375E-07	0	-0.00056917553	8649.9921875	
0.055328	1.33455563260938E-05	-7.20268270115625E-07	0	0.00776981898	8649.9921875	
0.059424	1.45559376926562E-05	-7.2564158205E-07	0	-0.00063411502	8649.9921875	
0.06352	1.39428838278125E-05	-7.1956514581875E-07	0	-0.00021773829	8649.9921875	
0.067616	1.14650673121875E-05	-6.473618526375E-07	0	0.00303687615	8649.9921875	
0.071712	1.15254126590625E-05	-6.06224153390625E-07	0	-0.00754062078	8649.9921875	
0.075808	1.21588559365625E-05	-6.2519600941875E-07	0	-0.00291081714	8649.9921875	
0.079904	9.8642698378125E-06	-5.912619087375E-07	0	0.00880885082	8649.9921875	
0.084	7.9200524803125E-06	-5.31226151465625E-07	0	-0.00092825271	8649.9921875	
0.088096	5.9257301984375E-06	-4.88024271590625E-07	0	-0.00532885815	8649.9921875	
0.092192	3.22820176078125E-06	-4.3116062653125E-07	0	0.00238366128	8649.9921875	
0.096288	3.08172714609375E-06	-4.15740690028125E-07	0	-0.00135990932	8649.9921875	
0.100384	3.4003688640625E-06	-4.5439425714375E-07	0	-0.00387344958	8649.9921875	
0.10448	0.000000956748045	-4.39465666303125E-07	0	0.00833135457	8649.9921875	
0.108576	-8.7199026234375E-07	-3.94807057115625E-07	0	-0.00027121787	8649.9921875	
0.112672	-9.711943553125E-07	-4.02116905575E-07	0	-0.00888525022	8649.9921875	
0.116768	-1.8125547825E-06	-4.1094141598125E-07	0	0.00310945558	8649.9921875	
0.120864	-1.0940794253125E-06	-4.2955101275625E-07	0	0.00280003801	8649.9921875	
0.12496	1.07570152421875E-06	-4.992158469375E-07	0	-0.00089769295	8649.9921875	
0.129056	5.597488084375E-07	-5.28744903946875E-07	0	0.00602791266	8649.9921875	
0.133152	3.136129390625E-07	-5.1486054283125E-07	0	0.00118037073	8649.9921875	
0.137248	2.708226021875E-06	-5.56431414721875E-07	0	-0.00784239841	8649.9921875	
0.141344	4.82424475328125E-06	-6.22176541284375E-07	0	-0.00070669445	8649.9921875	
0.14544	6.76736492265625E-06	-6.6713058286875E-07	0	0.00700582498	8649.97265625	
0.149536	8.89517842640625E-06	-7.13274527109375E-07	0	-0.00430892616	8649.97265625	
0.153632	8.6379792434375E-06	-7.151733232875E-07	0	0.00271599867	8649.97265625	
0.157728	8.32372627796875E-06	-6.743656717875E-07	0	-0.00088241307	8649.97265625	
0.161824	1.13039635225E-05	-7.025502589875E-07	0	-0.00866369196	8649.97265625	
0.16592	1.29993020403125E-05	-7.54190832346875E-07	0	0.00018717853	8649.97265625	
0.170016	1.24398275289063E-05	-7.37481714440625E-07	0	0.00818237574	8649.97265625	
0.174112	1.24210838984375E-05	-7.09434627103125E-07	0	-0.00292609702	8649.97265625	
0.178208	1.096822395625E-05	-6.69551493909375E-07	0	-0.00553131656	8649.97265625	
0.182304	0.00000966695884	-6.11389052071875E-07	0	0.00422106685	8649.97265625	
0.1864	1.05810079804687E-05	-6.08391458915625E-07	0	-0.00490102151	8649.97265625	
