Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","-0.00067"
"","0.02000","0.00164","0.07885"
"","0.04000","0.03089","0.21496"
"","0.06000","0.09612","0.36037"
"","0.08000","0.17975","0.62172"
"","0.10000","0.27199","0.86104"
"","0.11800","0.35540","1.12085"
"","0.13800","0.44604","1.36697"
"","0.15700","0.53067","1.62424"
"","0.17700","0.61913","1.85797"
"","0.19700","0.70741","2.11360"
"","0.21700","0.79563","2.34256"
"","0.23700","0.88380","2.59575"
"","0.25700","0.97195","2.82558"
"","0.27700","1.06007","3.07787"
"","0.29700","1.14815","3.30896"
"","0.31700","1.23620","3.56006"
"","0.33700","1.32422","3.79524"
"","0.35700","1.41218","4.04772"
"","0.37700","1.50014","4.28711"
"","0.39700","1.58818","4.54017"
"","0.41700","1.67628","4.78724"
"","0.43700","1.76430","5.04521"
"","0.45700","1.85227","5.29845"
"","0.47600","1.93585","5.54982"
"","0.49600","2.02382","5.80854"
"","0.51500","2.10741","6.06363"
"","0.53500","2.19540","6.32596"
"","0.55400","2.27903","6.58489"
"","0.57300","2.36266","6.84069"
"","0.59200","2.44627","7.10148"
"","0.61100","2.52990","7.35837"
"","0.63000","2.61350","7.61935"
"","0.64900","2.69709","7.87730"
"","0.66800","2.78063","8.13850"
"","0.68700","2.86417","8.39771"
"","0.70600","2.94774","8.65853"
"","0.72500","3.03134","8.91940"
"","0.74400","3.11492","9.17826"
"","0.76300","3.19855","9.43678"
"","0.78200","3.28221","9.69564"
"","0.80100","3.36581","9.95413"
"","0.82000","3.44938","10.21160"
"","0.83900","3.53305","10.46941"
"","0.85800","3.61673","10.72359"
"","0.87700","3.70033","10.97829"
"","0.89600","3.78392","11.22912"
"","0.91500","3.86748","11.48188"
"","0.93500","3.95541","11.74411"
"","0.95500","4.04333","12.00579"
"","0.97500","4.13137","12.26353"
"","0.99500","4.21947","12.52114"
"","1.01500","4.30744","12.77499"
"","1.03500","4.39539","13.02745"
"","1.05500","4.48341","13.27611"
"","1.07500","4.57140","13.52212"
"","1.09500","4.65937","13.76615"
"","1.11500","4.74737","14.00897"
"","1.13500","4.83540","14.25096"
"","1.15500","4.92345","14.48877"
"","1.17500","5.01145","14.72419"
"","1.19500","5.09942","14.95648"
"","1.21500","5.18730","15.18595"
"","1.23500","5.27405","15.34210"
"","1.24000","5.29350","15.33913"
"","1.24100","5.29712","15.33918"
"","1.24200","5.30062","15.33932"
"","1.26200","5.34103","15.18691"
"","1.27900","5.31846","14.93458"
"","1.29100","5.27929","14.66423"
"","1.30100","5.23965","14.38717"
"","1.31000","5.20073","14.11980"
"","1.31900","5.15990","13.85478"
"","1.32800","5.11810","13.59793"
"","1.33700","5.07608","13.34585"
"","1.34600","5.03433","13.09360"
"","1.35600","4.98848","12.81801"
"","1.36600","4.94320","12.55866"
"","1.37700","4.89390","12.28527"
"","1.38800","4.84493","12.01362"
"","1.39900","4.79616","11.75090"
"","1.41100","4.74307","11.48214"
"","1.42300","4.69005","11.21649"
"","1.43500","4.63706","10.95279"
"","1.44800","4.57968","10.68367"
"","1.46100","4.52233","10.41924"
"","1.47400","4.46501","10.15298"
"","1.48700","4.40773","9.90086"
"","1.50100","4.34611","9.63586"
"","1.51500","4.28450","9.36939"
"","1.53000","4.21843","9.10167"
"","1.54500","4.15233","8.83546"
"","1.56000","4.08623","8.57433"
"","1.57500","4.02015","8.32161"
"","1.59000","3.95417","8.07137"
"","1.60600","3.88388","7.81185"
"","1.62200","3.81356","7.55705"
"","1.63900","3.73873","7.29403"
"","1.65600","3.66388","7.03804"
"","1.67300","3.58909","6.78331"
"","1.69100","3.50988","6.52165"
"","1.70900","3.43064","6.26145"
"","1.72700","3.35142","6.00941"
"","1.74600","3.26781","5.74772"
"","1.76500","3.18424","5.49220"
"","1.78400","3.10060","5.23896"
"","1.80400","3.01251","4.97889"
"","1.82400","2.92445","4.72052"
"","1.84400","2.83648","4.46719"
"","1.86400","2.74853","4.22067"
"","1.88400","2.66059","3.97569"
"","1.90400","2.57262","3.73768"
"","1.92400","2.48463","3.50025"
"","1.94400","2.39661","3.26914"
"","1.96400","2.30854","3.04395"
"","1.98400","2.22049","2.82354"
"","2.00400","2.13250","2.60832"
"","2.02400","2.04453","2.39655"
"","2.04400","1.95655","2.18946"
"","2.06400","1.86856","1.99038"
"","2.08400","1.78062","1.79664"
"","2.10400","1.69264","1.60920"
"","2.12400","1.60461","1.42482"
"","2.14400","1.51653","1.24386"
"","2.16400","1.42851","1.06855"
"","2.18400","1.34055","0.89588"
