Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00020"
"","0.02000","0.00155","0.06778"
"","0.04000","0.02921","0.19306"
"","0.06000","0.09211","0.29083"
"","0.08000","0.17180","0.50454"
"","0.10000","0.25937","0.69486"
"","0.12000","0.34747","0.93152"
"","0.14000","0.43370","1.13068"
"","0.16000","0.51861","1.35481"
"","0.18000","0.60300","1.54656"
"","0.20000","0.68718","1.76317"
"","0.22000","0.77131","1.95483"
"","0.24000","0.85540","2.16709"
"","0.26000","0.93947","2.35915"
"","0.28000","1.02357","2.57238"
"","0.30000","1.10766","2.76834"
"","0.32000","1.19172","2.98326"
"","0.34000","1.27575","3.18167"
"","0.36000","1.35976","3.39545"
"","0.38000","1.44372","3.59811"
"","0.40000","1.52767","3.81614"
"","0.42000","1.61161","4.02203"
"","0.44000","1.69563","4.24333"
"","0.46000","1.77973","4.45205"
"","0.48000","1.86380","4.67646"
"","0.50000","1.94778","4.88702"
"","0.52000","2.03174","5.11546"
"","0.54000","2.11574","5.33030"
"","0.56000","2.19975","5.55872"
"","0.58000","2.28379","5.77622"
"","0.60000","2.36778","6.00788"
"","0.62000","2.45176","6.22950"
"","0.64000","2.53573","6.46278"
"","0.66000","2.61973","6.68961"
"","0.68000","2.70376","6.92407"
"","0.70000","2.78780","7.15350"
"","0.72000","2.87181","7.39059"
"","0.74000","2.95574","7.62275"
"","0.76000","3.03970","7.86137"
"","0.78000","3.12367","8.09561"
"","0.80000","3.20764","8.33675"
"","0.82000","3.29162","8.57406"
"","0.84000","3.37566","8.81876"
"","0.86000","3.45969","9.05889"
"","0.88000","3.54368","9.30650"
"","0.90000","3.62771","9.54813"
"","0.92000","3.71171","9.79557"
"","0.94000","3.79568","10.03928"
"","0.96000","3.87961","10.28895"
"","0.98000","3.96359","10.53644"
"","1.00000","4.04761","10.78838"
"","1.02000","4.13166","11.03653"
"","1.04000","4.21573","11.28679"
"","1.06000","4.29981","11.53562"
"","1.08000","4.38385","11.78516"
"","1.10000","4.46778","12.03344"
"","1.12000","4.55174","12.28361"
"","1.14000","4.63570","12.53016"
"","1.16000","4.71972","12.78154"
"","1.18000","4.80374","13.02871"
"","1.20000","4.88773","13.27874"
"","1.22000","4.97173","13.52438"
"","1.24000","5.05579","13.77106"
"","1.26000","5.13983","14.01146"
"","1.28000","5.22378","14.25564"
"","1.30000","5.30770","14.49464"
"","1.32000","5.39165","14.73380"
"","1.34000","5.47568","14.96886"
"","1.36000","5.55970","15.20483"
"","1.38000","5.64375","15.43798"
"","1.40000","5.72786","15.67039"
"","1.42000","5.81185","15.89741"
"","1.44000","5.89580","16.12447"
"","1.46000","5.97972","16.34747"
"","1.48000","6.06369","16.56955"
"","1.50000","6.14766","16.78690"
"","1.52000","6.23167","17.00541"
"","1.54000","6.31572","17.21835"
"","1.56000","6.39980","17.43318"
"","1.58000","6.48383","17.64067"
"","1.60000","6.56782","17.85031"
"","1.62000","6.65173","18.05343"
"","1.64000","6.73560","18.25866"
"","1.66000","6.81955","18.45730"
"","1.68000","6.90358","18.65766"
"","1.70000","6.98766","18.85530"
"","1.72000","7.07173","19.05150"
"","1.74000","7.15577","19.24389"
"","1.76000","7.23978","19.43504"
"","1.78000","7.32379","19.62416"
"","1.80000","7.40788","19.81060"
"","1.82000","7.49196","19.99496"
"","1.84000","7.57595","20.17546"
"","1.86000","7.65977","20.35449"
"","1.88000","7.74353","20.53307"
"","1.90000","7.82747","20.71038"
"","1.92000","7.91156","20.88829"
"","1.94000","7.99571","21.06207"
"","1.96000","8.07981","21.23527"
"","1.98000","8.16380","21.40640"
"","2.00000","8.24776","21.57691"
"","2.02000","8.33169","21.74447"
"","2.04000","8.41563","21.91133"
"","2.06000","8.49962","22.07709"
"","2.08000","8.58366","22.24025"
"","2.10000","8.66774","22.40294"
"","2.12000","8.75178","22.56441"
"","2.14000","8.83578","22.72508"
"","2.16000","8.91974","22.88507"
"","2.18000","9.00370","23.04276"
"","2.20000","9.08768","23.19955"
"","2.22000","9.17166","23.35528"
"","2.24000","9.25564","23.51145"
"","2.26000","9.33972","23.66483"
"","2.28000","9.42380","23.81690"
"","2.30000","9.50786","23.96706"
"","2.32000","9.59183","24.11738"
"","2.34000","9.67575","24.26385"
"","2.36000","9.75968","24.41272"
"","2.38000","9.84364","24.55669"
"","2.40000","9.92766","24.70367"
"","2.42000","10.01171","24.84596"
"","2.43700","10.08024","24.84853"
"","2.43800","10.08378","24.84344"
"","2.43900","10.08723","24.83852"
"","2.45900","10.12819","24.57253"
"","2.47100","10.11904","24.31021"
"","2.48100","10.09420","24.03774"
"","2.48900","10.06772","23.77528"
"","2.49600","10.04157","23.52509"
"","2.50300","10.01344","23.26491"
"","2.51000","9.98386","23.00469"
"","2.51700","9.95330","22.74771"
"","2.52500","9.91771","22.46492"
"","2.53300","9.88192","22.18626"
"","2.54100","9.84628","21.91001"
"","2.54900","9.81100","21.63768"
"","2.55700","9.77611","21.37538"
"","2.56600","9.73730","21.09499"
"","2.57500","9.69884","20.82411"
"","2.58400","9.66063","20.55652"
"","2.59300","9.62258","20.29389"
"","2.60200","9.58461","20.04096"
"","2.61200","9.54249","19.76994"
"","2.62200","9.50037","19.50182"
"","2.63200","9.45824","19.23707"
"","2.64200","9.41610","18.98088"
"","2.65300","9.36974","18.70732"
"","2.66400","9.32339","18.43728"
"","2.67500","9.27708","18.17092"
"","2.68600","9.23079","17.91409"
"","2.69700","9.18452","17.66331"
"","2.70900","9.13404","17.39166"
"","2.72100","9.08358","17.12915"
"","2.73300","9.03317","16.87357"
"","2.74500","8.98278","16.62118"
"","2.75800","8.92819","16.35367"
"","2.77100","8.87360","16.09561"
"","2.78400","8.81900","15.83793"
"","2.79700","8.76439","15.58631"
"","2.81100","8.70557","15.32619"
"","2.82500","8.64674","15.06677"
"","2.83900","8.58791","14.81390"
"","2.85400","8.52487","14.55510"
"","2.86900","8.46184","14.29545"
"","2.88400","8.39879","14.04434"
"","2.90000","8.33156","13.78511"
"","2.91600","8.26438","13.52439"
"","2.93300","8.19302","13.26159"
"","2.95000","8.12163","13.00126"
"","2.96700","8.05022","12.74677"
"","2.98500","7.97459","12.48349"
"","3.00300","7.89891","12.22490"
"","3.02100","7.82325","11.97359"
"","3.04000","7.74345","11.71323"
"","3.05900","7.66378","11.46297"
"","3.07800","7.58419","11.21271"
"","3.09800","7.50030","10.95984"
"","3.11800","7.41626","10.70642"
"","3.13800","7.33216","10.46359"
"","3.15800","7.24809","10.22158"
"","3.17800","7.16409","9.98738"
"","3.19800","7.08014","9.75344"
"","3.21800","6.99614","9.53032"
"","3.23800","6.91209","9.30357"
"","3.25800","6.82801","9.08805"
"","3.27800","6.74400","8.87022"
