Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	9.2236369302E-06	0	0.00535559794	8949.9921875	
0.00208	1.03163113453125E-06	9.02866765401562E-06	0	-0.00222704251	8949.9921875	
0.006176	2.5544368196875E-06	8.69612063079375E-06	0	-0.0035525721	8949.9921875	
0.010272	1.111451570625E-06	9.00413450547187E-06	0	0.01411860912	8949.9921875	
0.014368	7.6848884921875E-07	9.155254306275E-06	0	0.00105431172	8949.9921875	
0.018464	2.62675980359375E-06	8.76808738575E-06	0	-0.00953082515	8949.9921875	
0.02256	3.57070732046875E-06	8.64727668925312E-06	0	0.00719300351	8949.9921875	
0.026656	5.05657433875E-06	8.5181078280375E-06	0	0.00464508352	8949.9921875	
0.030752	6.65197730484375E-06	8.33817219066562E-06	0	-0.00608139224	8949.9921875	
0.034848	4.94603263515625E-06	8.75312802570937E-06	0	0.00615779164	8949.9921875	
0.038944	3.54976931375E-06	9.13908292821563E-06	0	-0.00268925888	8949.9921875	
0.04304	5.4586937865625E-06	8.73114247077187E-06	0	-0.00897310953	8949.9921875	
0.047136	5.5283652325E-06	8.68177256821875E-06	0	0.00850707319	8949.9921875	
0.051232	4.6650610428125E-06	8.91592786290937E-06	0	0.00608139224	8949.9921875	
0.055328	4.8724295984375E-06	8.86672743134062E-06	0	-0.00262431939	8949.9921875	
0.059424	3.92473335546875E-06	8.99246408445E-06	0	0.0003055976	8949.9921875	
0.06352	3.64293887203125E-06	9.06148540965937E-06	0	-0.00083275346	8949.9921875	
0.067616	5.878368244375E-06	8.618977919475E-06	0	-0.00576433473	8949.9921875	
0.071712	6.0025333671875E-06	8.57884911345E-06	0	0.00211626338	8949.9921875	
0.075808	3.74826893203125E-06	9.07358828217188E-06	0	0.00512257977	8949.9921875	
0.079904	3.23057900171875E-06	9.15221704969687E-06	0	-0.0043165661	8949.9921875	
0.084	2.75074206171875E-06	9.10086806258437E-06	0	0.00207424371	8949.9921875	
0.088096	1.98490475046875E-06	9.1976321485125E-06	0	0.00284587765	8949.9921875	
0.092192	3.6190750303125E-06	8.84687168196562E-06	0	-0.00235310152	8949.9921875	
0.096288	3.8183975396875E-06	0.000008751914325	0	0.00585983398	8949.9921875	
0.100384	2.14097976125E-06	9.11571949004062E-06	0	0.00561153593	8949.9921875	
0.10448	2.49381717578125E-06	9.05120368917187E-06	0	-0.00153562794	8949.9921875	
0.108576	3.44544500953125E-06	8.80906186400625E-06	0	-0.01072265579	8949.9921875	
0.112672	2.97328838640625E-06	8.904431480175E-06	0	0.00850325322	8949.9921875	
0.116768	3.461628534375E-06	8.87765001657187E-06	0	0.00140956893	8949.9921875	
0.120864	3.579393393125E-06	8.80618686688125E-06	0	-0.00620745125	8949.9921875	
0.12496	1.18468887796875E-06	9.270392652675E-06	0	0.01073029573	8949.9921875	
0.129056	1.71609365984375E-06	9.15831752436562E-06	0	-0.00686448609	8949.9921875	
0.133152	3.18467996515625E-06	8.77586021451562E-06	0	-0.00620363128	8949.9921875	
0.137248	2.99724366046875E-06	8.84256543627187E-06	0	0.01147518988	8949.9921875	
0.141344	3.48402945859375E-06	8.82103877510625E-06	0	0.00170752659	8949.9921875	
0.14544	3.78264749328125E-06	8.7751018018125E-06	0	-0.00598207302	8949.9921875	
0.149536	2.234240751875E-06	9.06966713224687E-06	0	0.00357549192	8949.9921875	
0.153632	1.9266623475E-06	9.16070382005625E-06	0	-0.00180684581	8949.9921875	
0.157728	3.3795222896875E-06	8.80317436989375E-06	0	-0.00560389599	8949.9921875	
0.161824	2.1561575303125E-06	8.9937861985125E-06	0	0.00743748159	8949.9921875	
0.16592	7.1180079609375E-07	9.28012004679375E-06	0	0.00731524255	8949.9921875	
0.170016	6.3700913890625E-07	9.19356123912187E-06	0	-0.00723120321	8949.9921875	
0.174112	-3.5887194921875E-07	9.27745658791875E-06	0	0.00063411502	8949.9921875	
0.178208	4.087025765625E-07	9.12447669282187E-06	0	0.00221940257	8949.9921875	
0.182304	3.00291246578125E-06	8.61132912904687E-06	0	-0.00464890349	8949.9921875	
0.1864	2.9380869340625E-06	8.66254734705937E-06	0	0.00577579464	8949.9921875	
0.190496	1.243845604375E-06	9.10731997920937E-06	0	0.00170752659	8949.9921875	
0.194592	2.3743151025E-06	8.92812232186875E-06	0	-0.00926342725	8949.9921875	
0.198688	3.0492686640625E-06	8.7639652744875E-06	0	-0.00161966728	8949.9921875	
0.202784	3.2081780775E-06	8.8279113643875E-06	0	0.00792643775	8949.9921875	
0.20688	4.934054998125E-06	8.57225657196562E-06	0	-0.00246388065	8949.9921875	
0.210976	3.97154671546875E-06	8.7774594917625E-06	0	0.00032469745	8949.9921875	
