Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	0.00000182076741	0	-0.01018404002	9699.96875	
0.00208	-2.2309491875E-07	1.8320741294625E-06	0	0.00098173229	9699.96875	
0.006176	8.119192125E-08	1.86459092386875E-06	0	0.00013369895	9699.96875	
0.010272	1.9484232453125E-06	1.79182945816875E-06	0	-0.00629531056	9699.96875	
0.014368	1.57775652375E-06	1.7963837805375E-06	0	0.00375885048	9699.96875	
0.018464	1.4455453546875E-07	1.927523072475E-06	0	0.00086331322	9699.96875	
0.02256	2.01233445359375E-06	1.88371229897812E-06	0	-0.01061569663	9699.96875	
0.026656	4.01525137578125E-06	1.75229944962187E-06	0	-0.00090915286	9699.96875	
0.030752	4.54299886390625E-06	1.7400703753125E-06	0	0.00437768562	9699.96875	
0.034848	5.9262787925E-06	1.71319468103437E-06	0	-0.00360987165	9699.96875	
0.038944	6.11545231171875E-06	1.71031776083437E-06	0	-0.00358695183	9699.96875	
0.04304	5.52169067140625E-06	1.79681815510312E-06	0	-0.00168460677	9699.96875	
0.047136	7.36478385671875E-06	1.75118550842812E-06	0	-0.00929016704	9699.96875	
0.051232	8.08984234265625E-06	1.68992186776875E-06	0	-0.00032851742	9699.96875	
0.055328	5.81043401296875E-06	1.83141427435312E-06	0	0.00559243608	9699.96875	
0.059424	4.925277493125E-06	1.9394624836125E-06	0	-0.00543963728	9699.96875	
0.06352	4.381072183125E-06	1.95064276089375E-06	0	-0.0017953859	9699.96875	
0.067616	2.629228476875E-06	2.03296503434062E-06	0	0.00269689882	9699.96875	
0.071712	2.59009543375E-06	2.04332415859688E-06	0	-0.00513021971	9699.96875	
0.075808	0.00000225874462	2.00216482475625E-06	0	-0.00459924388	9699.96875	
0.079904	-8.3605735125E-07	2.12854162145625E-06	0	0.00451902451	9699.96875	
0.084	-2.91824611546875E-06	2.24869414553437E-06	0	-0.00387726955	9699.96875	
0.088096	-3.71535328828125E-06	2.2395823758E-06	0	-0.01040941825	9699.96875	
0.092192	-5.77623831640625E-06	2.2791486823875E-06	0	0.00039727688	9699.96875	
0.096288	-6.77376518671875E-06	2.30305178348437E-06	0	-0.00149360827	9699.96875	
0.100384	-7.6267375215625E-06	2.26719725203125E-06	0	-0.00302159627	9699.96875	
0.10448	-1.06456506475E-05	2.36319547334062E-06	0	0.00335393366	9699.96875	
0.108576	-1.16958425478125E-05	2.40958196541563E-06	0	-0.00537469779	9699.96875	
0.112672	-1.02741610348437E-05	2.26575134001562E-06	0	-0.00892344992	9699.96875	
0.116768	-1.060980916875E-05	2.19141078935625E-06	0	0.00228434206	9699.96875	
0.120864	-1.1543516263125E-05	2.2247256598875E-06	0	0.00214300317	9699.96875	
0.12496	-1.13270959054687E-05	2.19262040353125E-06	0	-0.00792261778	9699.96875	
0.129056	-1.22059435935937E-05	2.19753650438437E-06	0	0.00152416803	9699.96875	
0.133152	-1.18531061790625E-05	2.19324756636562E-06	0	-0.00249062044	9699.96875	
0.137248	-9.23759255375E-06	2.03407440823125E-06	0	-0.00602027272	9699.96875	
0.141344	-8.1669198084375E-06	1.93634277519375E-06	0	0.00310181564	9699.96875	
0.14544	-7.37337849703125E-06	1.930853838375E-06	0	-0.00023683814	9699.96875	
0.149536	-4.78127155171875E-06	1.82981427595312E-06	0	-0.00616925155	9699.96875	
0.153632	-3.334354711875E-06	1.75852348185937E-06	0	-0.00202076413	9699.96875	
0.157728	-1.51018802171875E-06	1.73425547728125E-06	0	-0.00176482614	9699.96875	
0.161824	2.25947607875E-06	1.5889839879375E-06	0	-0.00929398701	9699.96875	
