Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00102"
"","0.02000","0.00181","0.08902"
"","0.04000","0.03287","0.24177"
"","0.06000","0.09950","0.43529"
"","0.07600","0.16631","0.69819"
"","0.09200","0.23967","0.95285"
"","0.10700","0.30993","1.22165"
"","0.12000","0.37015","1.47170"
"","0.13500","0.43844","1.73279"
"","0.14900","0.50134","1.99753"
"","0.16300","0.56381","2.25936"
"","0.17800","0.63052","2.52073"
"","0.19200","0.69270","2.78836"
"","0.20600","0.75481","3.04403"
"","0.22100","0.82133","3.30998"
"","0.23400","0.87895","3.56167"
"","0.24800","0.94095","3.81828"
"","0.26200","1.00293","4.07485"
"","0.27500","1.06048","4.33029"
"","0.28900","1.12244","4.59460"
"","0.30300","1.18444","4.86109"
"","0.31600","1.24203","5.12314"
"","0.32900","1.29962","5.37654"
"","0.34200","1.35720","5.63139"
"","0.35500","1.41476","5.89985"
"","0.36800","1.47232","6.16009"
"","0.38100","1.52987","6.42190"
"","0.39300","1.58297","6.67372"
"","0.40600","1.64049","6.93868"
"","0.41900","1.69800","7.19990"
"","0.43100","1.75106","7.45117"
"","0.44400","1.80851","7.72012"
"","0.45700","1.86599","7.98071"
"","0.46900","1.91910","8.23080"
"","0.48200","1.97666","8.49876"
"","0.49500","2.03425","8.75970"
"","0.50800","2.09183","9.02926"
"","0.52100","2.14937","9.29397"
"","0.53400","2.20689","9.55255"
"","0.54700","2.26440","9.81767"
"","0.56000","2.32190","10.07826"
"","0.57300","2.37938","10.33400"
"","0.58600","2.43685","10.59347"
"","0.59900","2.49436","10.85380"
"","0.61200","2.55186","11.10560"
"","0.62500","2.60936","11.35871"
"","0.63800","2.66686","11.61511"
"","0.65100","2.72439","11.86540"
"","0.66400","2.78193","12.11612"
"","0.67700","2.83946","12.37114"
"","0.69100","2.90144","12.63908"
"","0.70400","2.95899","12.89108"
"","0.71700","3.01652","13.14497"
"","0.73100","3.07849","13.41271"
"","0.74500","3.14046","13.68098"
"","0.75800","3.19800","13.93129"
"","0.77200","3.25996","14.19584"
"","0.78600","3.32188","14.46104"
"","0.80000","3.38379","14.72879"
"","0.81400","3.44569","14.98964"
"","0.82800","3.50762","15.25137"
"","0.84200","3.56959","15.51414"
"","0.85600","3.63161","15.77327"
"","0.87000","3.69361","16.03182"
"","0.88400","3.75558","16.28691"
"","0.89800","3.81756","16.53898"
"","0.91200","3.87953","16.79284"
"","0.92700","3.94587","17.06073"
"","0.94200","4.01219","17.32790"
"","0.95700","4.07852","17.59518"
"","0.97200","4.14483","17.85704"
"","0.98700","4.21118","18.11892"
"","1.00200","4.27758","18.37942"
"","1.01700","4.34396","18.63794"
"","1.03200","4.41033","18.89404"
"","1.04700","4.47673","19.15150"
"","1.06200","4.54316","19.40384"
"","1.07700","4.60960","19.65899"
"","1.09200","4.67598","19.90926"
"","1.10800","4.74673","20.17551"
"","1.12300","4.81306","20.42669"
"","1.13900","4.88384","20.68796"
"","1.15500","4.95465","20.95112"
"","1.17100","5.02544","21.20983"
"","1.18700","5.09622","21.46579"
"","1.20300","5.16701","21.72147"
"","1.21900","5.23779","21.97319"
"","1.23500","5.30861","22.22380"
"","1.25200","5.38389","22.48776"
"","1.26900","5.45917","22.75029"
"","1.28600","5.53443","23.00673"
"","1.30300","5.60963","23.25933"
"","1.32000","5.68478","23.51055"
"","1.33800","5.76439","23.77439"
"","1.35600","5.84403","24.03555"
"","1.37400","5.92377","24.29503"
"","1.39200","6.00352","24.54699"
"","1.41000","6.08322","24.79979"
"","1.42900","6.16726","25.06152"
"","1.44800","6.25122","25.32298"
"","1.46700","6.33520","25.58198"
"","1.48600","6.41926","25.83700"
"","1.50500","6.50341","26.08925"
"","1.52500","6.59202","26.35160"
"","1.54500","6.68068","26.61117"
"","1.56500","6.76921","26.86697"
"","1.58500","6.85760","27.11817"
"","1.60500","6.94583","27.36420"
"","1.62500","7.03417","27.61275"
"","1.64500","7.12269","27.85586"
"","1.66500","7.21133","28.10427"
"","1.68500","7.29999","28.34589"
"","1.70500","7.38865","28.58561"
"","1.72500","7.47721","28.81897"
"","1.74500","7.56561","29.05308"
"","1.76500","7.65397","29.28621"
"","1.78500","7.74226","29.51638"
"","1.80500","7.83069","29.74316"
"","1.82500","7.91920","29.96739"
"","1.84500","8.00781","30.18822"
"","1.86500","8.09646","30.40765"
"","1.88500","8.18506","30.62625"
"","1.90500","8.27361","30.83980"
"","1.92500","8.36209","31.05389"
"","1.94500","8.45052","31.26639"
"","1.96500","8.53897","31.47992"
"","1.98500","8.62740","31.69075"
"","2.00500","8.71589","31.89873"
"","2.02500","8.80440","32.10562"
"","2.04500","8.89294","32.31153"
"","2.06500","8.98149","32.51587"
"","2.08500","9.07003","32.71709"
"","2.10500","9.15856","32.91543"
"","2.12500","9.24701","33.11057"
"","2.14500","9.33546","33.30306"
"","2.16500","9.42387","33.49333"
"","2.18500","9.51231","33.68309"
"","2.20500","9.60090","33.87181"
"","2.22500","9.68957","34.05548"
"","2.24500","9.77812","34.24132"
"","2.26500","9.86652","34.42342"
"","2.28500","9.95492","34.60994"
"","2.30500","10.04335","34.79185"
"","2.32500","10.13183","34.97062"
"","2.34500","10.22035","35.14804"
"","2.36500","10.30886","35.32132"
"","2.38500","10.39739","35.49756"
"","2.40500","10.48590","35.66840"
"","2.42500","10.57430","35.82403"
"","2.43600","10.62002","35.79212"
"","2.43700","10.62375","35.78439"
"","2.43800","10.62738","35.77651"
"","2.45300","10.66588","35.51159"
"","2.46100","10.67082","35.22192"
"","2.46800","10.66435","34.93602"
"","2.47400","10.65185","34.65139"
"","2.47900","10.63777","34.38386"
"","2.48400","10.62126","34.09577"
"","2.48900","10.60295","33.79317"
"","2.49400","10.58326","33.48069"
"","2.49800","10.56669","33.22638"
"","2.50200","10.54952","32.97014"
"","2.50600","10.53186","32.71474"
"","2.51000","10.51379","32.46056"
"","2.51400","10.49541","32.21026"
"","2.51900","10.47211","31.90055"
"","2.52400","10.44861","31.59654"
"","2.52900","10.42504","31.29662"
"","2.53400","10.40151","31.00041"
"","2.53900","10.37807","30.70794"
"","2.54400","10.35477","30.42057"
