Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	0.000001608229161	0	0.04414739329	11799.9609375	
0.00208	1.84318461765625E-06	1.51646795468437E-06	0	0.03792084219	11799.9609375	
0.006176	0.000003063349245	1.41708848675625E-06	0	0.0477878247	11799.9609375	
0.010272	3.020558908125E-06	1.45019782864687E-06	0	0.05168801407	11799.9609375	
0.014368	5.30673323125E-06	1.39976085985312E-06	0	0.03689327026	11799.9609375	
0.018464	7.5938218778125E-06	1.30408715745E-06	0	0.04481970801	11799.9609375	
0.02256	9.46288184875E-06	1.26056244135937E-06	0	0.04549202273	11799.9609375	
0.026656	0.00001301996575	1.15917696582187E-06	0	0.04033506323	11799.9609375	
0.030752	1.48450467635937E-05	1.0921402540125E-06	0	0.04419323293	11799.9609375	
0.034848	1.48002449151562E-05	1.16412311472187E-06	0	0.04838374002	11799.9609375	
0.038944	1.74422739201563E-05	1.1504613495375E-06	0	0.03925019175	11799.9609375	
0.04304	2.05604825714062E-05	1.04343116810625E-06	0	0.04107995738	11799.9609375	
0.047136	2.2077253721875E-05	1.02554897445E-06	0	0.04765412575	11799.9609375	
0.051232	2.40147050859375E-05	1.01465451419062E-06	0	0.04051460182	11799.9609375	
0.055328	2.4584694316875E-05	1.03205930447812E-06	0	0.04261558532	11799.9609375	
0.059424	2.28857899376563E-05	1.16791541862187E-06	0	0.04748604707	11799.9609375	
0.06352	2.31297314307813E-05	1.24761533892187E-06	0	0.04002946563	11799.9609375	
0.067616	2.37842955796875E-05	1.22526680357812E-06	0	0.04104557765	11799.9609375	
0.071712	2.15061673028125E-05	1.31987896858125E-06	0	0.05220371002	11799.9609375	
0.075808	1.94989530604687E-05	1.445446631475E-06	0	0.0461452376	11799.9609375	
0.079904	1.71495075554687E-05	1.5323369292E-06	0	0.0401478847	11799.9609375	
0.084	1.35077573039063E-05	1.6727752503E-06	0	0.0465654343	11799.9609375	
0.088096	1.17082773465625E-05	1.74763791582187E-06	0	0.04103793771	11799.9609375	
