Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-1.50536157156E-05	0	0.05978635047	10199.9375	
0.00208	3.6673513078125E-07	-1.50609221986781E-05	0	0.06048922495	10199.9375	
0.006176	-1.168505353125E-07	-1.46891706473531E-05	0	0.07123862053	10199.9375	
0.010272	5.4054801625E-07	-1.47374001664312E-05	0	0.06003846849	10199.9375	
0.014368	-4.5688742171875E-07	-1.447141245165E-05	0	0.06708631314	10199.9375	
0.018464	-2.75878810796875E-06	-1.38468856723312E-05	0	0.06804512561	10199.9375	
0.02256	-1.29605347265625E-06	-1.43879002755469E-05	0	0.06059236414	10199.9375	
0.026656	5.0552942859375E-07	-1.49570307160312E-05	0	0.06428245516	10199.9375	
0.030752	-6.5465558125E-07	-1.45128256313906E-05	0	0.07257943	10199.9375	
0.034848	-1.130469498125E-06	-1.43085804029437E-05	0	0.06538260652	10199.9375	
0.038944	-0.000000547131145	-1.45463638190062E-05	0	0.05637893723	10199.9375	
0.04304	-1.31296845625E-06	-1.43416383025781E-05	0	0.07110874155	10199.9375	
0.047136	-4.694136528125E-07	-1.45360268101125E-05	0	0.05869765902	10199.9375	
0.051232	7.0942355515625E-07	-1.49077978325719E-05	0	0.06500060952	10199.9375	
0.055328	-2.75330216734375E-06	-1.39251702094312E-05	0	0.07775166938	10199.9375	
0.059424	-4.4580582165625E-06	-1.35815265626906E-05	0	0.05792220511	10199.9375	
0.06352	-3.79416796859375E-06	-1.41101351686969E-05	0	0.06026384672	10199.9375	
0.067616	-4.588075009375E-06	-1.40225189101594E-05	0	0.07207519396	10199.9375	
0.071712	-3.9635921015625E-06	-1.42456855139156E-05	0	0.06418695591	10199.9375	
0.075808	-2.67083019328125E-06	-1.46358259891594E-05	0	0.06418313594	10199.9375	
0.079904	-4.0301548478125E-06	-1.42254867360375E-05	0	0.07416471755	10199.9375	
0.084	-5.42550384578125E-06	-1.38166707987E-05	0	0.06292636581	10199.9375	
0.088096	-3.79398510390625E-06	-1.44028242990844E-05	0	0.05467905058	10199.9375	
0.092192	-3.9149500946875E-06	-1.43930312800312E-05	0	0.07179251618	10199.9375	
0.096288	-4.36104849984375E-06	-1.41759432759656E-05	0	0.06711305293	10199.9375	
0.100384	-3.64385319546875E-06	-1.44182495240437E-05	0	0.06318994374	10199.9375	
0.10448	-5.129354484375E-06	-1.40342652926437E-05	0	0.07033328764	10199.9375	
0.108576	-5.7340880059375E-06	-1.38880738522969E-05	0	0.06552776538	10199.9375	
0.112672	-2.758696675625E-06	-1.47526539973312E-05	0	0.05616883888	10199.9375	
0.116768	-1.68811536265625E-06	-1.49481328883906E-05	0	0.07347712295	10199.9375	
0.120864	-2.734558536875E-06	-1.4380845234525E-05	0	0.07071528464	10199.9375	
