Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00003","0.00299"
"","0.02000","0.00232","0.10832"
"","0.04000","0.03844","0.20475"
"","0.06000","0.11390","0.26579"
"","0.08000","0.20735","0.43473"
"","0.10000","0.30827","0.57297"
"","0.12000","0.40897","0.76751"
"","0.14000","0.50749","0.92205"
"","0.16000","0.60478","1.11167"
"","0.18000","0.70179","1.27087"
"","0.20000","0.79866","1.46197"
"","0.22000","0.89539","1.62965"
"","0.24000","0.99203","1.83012"
"","0.26000","1.08863","2.00903"
"","0.28000","1.18534","2.21711"
"","0.30000","1.28212","2.40726"
"","0.32000","1.37882","2.62416"
"","0.34000","1.47538","2.82790"
"","0.36000","1.57192","3.05374"
"","0.38000","1.66854","3.27087"
"","0.40000","1.76514","3.51110"
"","0.42000","1.86175","3.74478"
"","0.44000","1.95834","4.00342"
"","0.46000","2.05498","4.25934"
"","0.47900","2.14681","4.51782"
"","0.49800","2.23864","4.77431"
"","0.51600","2.32558","5.02899"
"","0.53400","2.41245","5.28071"
"","0.55100","2.49451","5.53120"
"","0.56900","2.58141","5.78931"
"","0.58600","2.66354","6.04453"
"","0.60300","2.74569","6.29620"
"","0.62000","2.82786","6.54907"
"","0.63700","2.90996","6.80744"
"","0.65400","2.99203","7.05860"
"","0.67100","3.07411","7.31404"
"","0.68800","3.15622","7.56479"
"","0.70500","3.23836","7.81955"
"","0.72300","3.32532","8.08359"
"","0.74000","3.40743","8.33440"
"","0.75700","3.48954","8.58534"
"","0.77500","3.57654","8.84586"
"","0.79200","3.65869","9.09587"
"","0.81000","3.74562","9.35303"
"","0.82800","3.83248","9.61222"
"","0.84600","3.91935","9.86961"
"","0.86400","4.00626","10.12627"
"","0.88200","4.09320","10.38517"
"","0.90000","4.18024","10.63965"
"","0.91800","4.26725","10.89655"
"","0.93600","4.35420","11.14679"
"","0.95400","4.44107","11.40232"
"","0.97200","4.52792","11.65387"
"","0.99000","4.61479","11.90805"
"","1.00800","4.70173","12.16097"
"","1.02600","4.78870","12.41459"
"","1.04400","4.87571","12.66621"
"","1.06200","4.96270","12.91932"
"","1.08000","5.04964","13.16988"
"","1.09800","5.13650","13.42321"
"","1.11600","5.22338","13.67813"
"","1.13400","5.31031","13.93166"
"","1.15200","5.39725","14.18934"
"","1.17000","5.48422","14.44651"
"","1.18800","5.57122","14.70530"
"","1.20600","5.65822","14.96636"
"","1.22400","5.74516","15.22540"
"","1.24100","5.82726","15.47575"
"","1.25900","5.91421","15.74005"
"","1.27600","5.99633","15.99327"
"","1.29300","6.07842","16.24731"
"","1.31000","6.16048","16.50540"
"","1.32700","6.24255","16.76520"
"","1.34400","6.32466","17.02899"
"","1.36000","6.40199","17.27905"
"","1.37600","6.47931","17.53114"
"","1.39200","6.55660","17.78683"
"","1.40800","6.63386","18.04438"
"","1.42400","6.71112","18.30682"
"","1.44000","6.78837","18.56876"
"","1.45500","6.86077","18.82071"
"","1.47000","6.93319","19.07432"
"","1.48500","7.00565","19.32979"
"","1.50000","7.07813","19.59110"
"","1.51500","7.15063","19.85689"
"","1.53000","7.22313","20.12366"
"","1.54400","7.29079","20.37656"
"","1.55800","7.35847","20.63602"
"","1.57200","7.42616","20.89514"
"","1.58600","7.49381","21.15877"
"","1.60000","7.56140","21.42754"
"","1.61400","7.62892","21.69674"
"","1.62700","7.69152","21.95500"
"","1.64000","7.75415","22.21364"
"","1.65300","7.81691","22.47980"
"","1.66600","7.87979","22.74603"
"","1.67800","7.93788","23.00024"
