Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00058"
"","0.02000","0.00190","0.09288"
"","0.04000","0.03270","0.25818"
"","0.06000","0.09718","0.48561"
"","0.07400","0.15229","0.73830"
"","0.08900","0.21653","0.99805"
"","0.10300","0.27816","1.25379"
"","0.11600","0.33505","1.51484"
"","0.13000","0.39538","1.76830"
"","0.14400","0.45491","2.02425"
"","0.15800","0.51392","2.29257"
"","0.17300","0.57687","2.55111"
"","0.18700","0.63554","2.80326"
"","0.20100","0.69414","3.05944"
"","0.21600","0.75688","3.31567"
"","0.23000","0.81541","3.57261"
"","0.24400","0.87393","3.82442"
"","0.25900","0.93664","4.08398"
"","0.27300","0.99518","4.34412"
"","0.28800","1.05792","4.60813"
"","0.30300","1.12066","4.87465"
"","0.31700","1.17920","5.13335"
"","0.33200","1.24189","5.39228"
"","0.34600","1.30040","5.64358"
"","0.36000","1.35892","5.89913"
"","0.37500","1.42157","6.15698"
"","0.38900","1.48001","6.41105"
"","0.40400","1.54262","6.67793"
"","0.41900","1.60523","6.93862"
"","0.43300","1.66370","7.19276"
"","0.44800","1.72640","7.45189"
"","0.46300","1.78909","7.71285"
"","0.47800","1.85177","7.97613"
"","0.49400","1.91864","8.24270"
"","0.50900","1.98132","8.49867"
"","0.52500","2.04817","8.76266"
"","0.54100","2.11503","9.02258"
"","0.55600","2.17770","9.27309"
"","0.57200","2.24456","9.53272"
"","0.58800","2.31141","9.79546"
"","0.60400","2.37821","10.05261"
"","0.62000","2.44502","10.31204"
"","0.63600","2.51185","10.56672"
"","0.65300","2.58291","10.83200"
"","0.66900","2.64977","11.08874"
"","0.68600","2.72074","11.34988"
"","0.70200","2.78752","11.60190"
"","0.71900","2.85850","11.86688"
"","0.73600","2.92949","12.12573"
"","0.75300","3.00052","12.39015"
"","0.77000","3.07154","12.64396"
"","0.78700","3.14253","12.90359"
"","0.80500","3.21771","13.16759"
"","0.82200","3.28868","13.42110"
"","0.83900","3.35966","13.67211"
"","0.85700","3.43488","13.93635"
"","0.87400","3.50593","14.18857"
"","0.89200","3.58117","14.45047"
"","0.91000","3.65639","14.71397"
"","0.92800","3.73158","14.97098"
"","0.94600","3.80675","15.22449"
"","0.96500","3.88609","15.48705"
"","0.98400","3.96545","15.74962"
"","1.00300","4.04480","16.00810"
"","1.02200","4.12418","16.26789"
"","1.04100","4.20359","16.52418"
"","1.06000","4.28300","16.77958"
"","1.07900","4.36241","17.03265"
"","1.09800","4.44176","17.28484"
"","1.11700","4.52108","17.53660"
"","1.13700","4.60461","17.79885"
"","1.15700","4.68813","18.05873"
"","1.17700","4.77173","18.31587"
"","1.19700","4.85530","18.57165"
"","1.21700","4.93891","18.82404"
"","1.23700","5.02250","19.07747"
"","1.25700","5.10610","19.32952"
"","1.27700","5.18964","19.57779"
"","1.29700","5.27311","19.82535"
"","1.31700","5.35661","20.06646"
"","1.33700","5.44015","20.30877"
"","1.35700","5.52374","20.54730"
"","1.37700","5.60732","20.78360"
"","1.39700","5.69090","21.01440"
"","1.41700","5.77450","21.24157"
"","1.43700","5.85811","21.46955"
"","1.45700","5.94167","21.69677"
"","1.47700","6.02518","21.92404"
"","1.49700","6.10865","22.14952"
"","1.51700","6.19216","22.37218"
"","1.53700","6.27572","22.59562"
"","1.55700","6.35926","22.81620"
"","1.57700","6.44290","23.03936"
"","1.59700","6.52651","23.25700"
"","1.61700","6.61007","23.47383"
"","1.63700","6.69357","23.68563"
"","1.65700","6.77704","23.90123"
"","1.67700","6.86051","24.11034"
"","1.69700","6.94405","24.32349"
"","1.71700","7.02764","24.53071"
"","1.73700","7.11123","24.74230"
"","1.75700","7.19483","24.94662"
"","1.77700","7.27844","25.15197"
"","1.79700","7.36202","25.34960"
"","1.81700","7.44562","25.54589"
"","1.83700","7.52919","25.73569"
"","1.85700","7.61268","25.92752"
"","1.87700","7.69600","26.11739"
"","1.89700","7.77930","26.31058"
"","1.91700","7.86286","26.50067"
"","1.93700","7.94655","26.69452"
"","1.95700","8.03021","26.88666"
"","1.97700","8.11382","27.07619"
"","1.99700","8.19741","27.25932"
"","2.01700","8.28098","27.44115"
"","2.03700","8.36140","27.48495"
"","2.03800","8.36489","27.48013"
"","2.03900","8.36827","27.47541"
"","2.05800","8.40767","27.21384"
"","2.06800","8.40358","26.94578"
"","2.07700","8.38528","26.66667"
"","2.08400","8.36469","26.40386"
"","2.09100","8.34057","26.11460"
"","2.09700","8.31791","25.85450"
"","2.10300","8.29386","25.58482"
"","2.10900","8.26873","25.31582"
"","2.11500","8.24282","25.05083"
"","2.12100","8.21641","24.79023"
"","2.12700","8.18975","24.53782"
"","2.13300","8.16305","24.28665"
"","2.14000","8.13204","23.99699"
"","2.14700","8.10128","23.71228"
"","2.15400","8.07082","23.43370"
