Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	8.1529456932E-06	0	-0.00229580197	8599.96484375	
0.00208	2.21266271875E-07	8.20601342859375E-06	0	0.01243018238	8599.96484375	
0.006176	1.21559301015625E-06	8.18481945940312E-06	0	-0.00398040874	8599.96484375	
0.010272	1.69872151453125E-06	8.17356249950625E-06	0	-0.00453430439	8599.96484375	
0.014368	1.00913877796875E-06	8.42925863804062E-06	0	0.00280767795	8599.96484375	
0.018464	3.57381602015625E-06	8.08870513244062E-06	0	-0.00196728455	8599.96484375	
0.02256	5.93587918859375E-06	7.7251740055875E-06	0	-0.00649776897	8599.96484375	
0.026656	4.87142384265625E-06	8.07852797915625E-06	0	0.00893490983	8599.96484375	
0.030752	3.927567758125E-06	8.40090049332187E-06	0	-0.00074107418	8599.96484375	
0.034848	3.8758170515625E-06	8.38336325124375E-06	0	-0.00721592333	8599.96484375	
0.038944	2.5687002653125E-06	8.58643925009062E-06	0	0.00591713353	8599.96484375	
0.04304	3.41079215125E-06	8.44355621989687E-06	0	-0.00182212569	8599.96484375	
0.047136	4.69934817171875E-06	8.12461062538125E-06	0	-0.00009931922	8599.96484375	
0.051232	2.251064303125E-06	8.56987844934375E-06	0	0.00547019704	8599.96484375	
0.055328	6.054649803125E-07	8.8599449862E-06	0	0.00319731489	8599.96484375	
0.059424	1.068295504375E-06	8.655554805975E-06	0	-0.01021459978	8599.96484375	
0.06352	1.07387287734375E-06	8.53286478443437E-06	0	0.00411792766	8599.96484375	
0.067616	1.0081330221875E-06	8.54098905515625E-06	0	0.00128350992	8599.96484375	
0.071712	1.63417027984375E-06	8.37847743882187E-06	0	-0.00252882014	8599.96484375	
0.075808	-8.753732590625E-07	8.76364940941875E-06	0	0.00365953126	8599.96484375	
0.079904	-2.515852370625E-06	9.05304166810312E-06	0	-0.00273891849	8599.96484375	
0.084	-9.5683947734375E-07	8.62216229129062E-06	0	-0.00333483381	8599.96484375	
0.088096	-8.3907461859375E-07	8.50826601095625E-06	0	0.00298721654	8599.96484375	
0.092192	-1.67714348140625E-06	8.66547330567187E-06	0	0.00936656644	8599.96484375	
0.096288	-1.6340788475E-06	8.63844376539375E-06	0	-0.00125295016	8599.96484375	
0.100384	-3.08520157515625E-06	8.801789275125E-06	0	-0.00110397133	8599.96484375	
0.10448	-4.3157894896875E-06	9.00750517517812E-06	0	0.00294901684	8599.96484375	
0.108576	-2.5888153809375E-06	8.6107981199625E-06	0	-0.00858347259	8599.96484375	
0.112672	-2.703105810625E-06	8.536908770775E-06	0	0.00219648275	8599.96484375	
0.116768	-4.3205439715625E-06	8.86541829803437E-06	0	0.00786531823	8599.96484375	
0.120864	-4.4763446853125E-06	8.8490824970625E-06	0	-0.0048513619	8599.96484375	
0.12496	-4.5418102434375E-06	8.76932560566562E-06	0	-0.00583309419	8599.96484375	
0.129056	-4.8471942715625E-06	8.80879455658125E-06	0	0.00789969796	8599.96484375	
0.133152	-2.20525669890625E-06	8.37595580672812E-06	0	-0.00379705018	8599.96484375	
0.137248	-7.777235159375E-07	8.114866885125E-06	0	0.00098937223	8599.96484375	
0.141344	-2.63645163203125E-06	8.59656784573125E-06	0	0.00875155127	8599.96484375	
0.14544	-2.2267432996875E-06	8.61927335187187E-06	0	-0.00891962995	8599.96484375	
0.149536	-1.1141945409375E-06	8.3871069975E-06	0	-0.00169224671	8599.96484375	
0.153632	-1.0286138671875E-06	8.437820408325E-06	0	0.00348381264	8599.96484375	
0.157728	2.203519484375E-07	8.30354626375312E-06	0	0.00237984131	8599.96484375	
0.161824	1.25710329421875E-06	8.16311755802812E-06	0	-0.0001527988	8599.96484375	
0.16592	-1.1191318875E-07	8.49752371400625E-06	0	0.00860639241	8599.96484375	
0.170016	8.8113349671875E-07	8.44592352522187E-06	0	-0.00428600634	8599.96484375	
0.174112	3.88761182390625E-06	7.9133238174375E-06	0	-0.01089837441	8599.96484375	
0.178208	4.20104189828125E-06	7.98145499930625E-06	0	0.01002360128	8599.96484375	
0.182304	4.54427891671875E-06	8.10933347719687E-06	0	-0.00010695916	8599.96484375	
0.1864	4.598315431875E-06	8.15482381632187E-06	0	-0.00600117287	8599.96484375	
0.190496	2.3931501653125E-06	8.5827962248875E-06	0	0.00303305618	8599.96484375	
0.194592	1.86915140328125E-06	8.69837327277187E-06	0	0.0001145991	8599.96484375	
0.198688	4.1398736603125E-06	8.20836895508437E-06	0	-0.00639462978	8599.96484375	
0.202784	3.515756481875E-06	8.26626841641563E-06	0	0.0112307118	8599.96484375	
0.20688	1.9231879184375E-06	8.62816396798125E-06	0	0.00251736023	8599.96484375	
0.210976	1.6953385178125E-06	8.58818035411875E-06	0	-0.00937038641	8599.96484375	
0.215072	7.3511604375E-08	8.77758232817812E-06	0	0.00132552959	8599.96484375	
0.219168	-4.6932222046875E-07	8.81969959375313E-06	0	0.00268161894	8599.96484375	
0.223264	7.433449546875E-07	8.48899199176875E-06	0	-0.0053097583	8599.96484375	
0.22736	-4.500299959375E-07	8.591231793375E-06	0	0.00539761761	8599.96484375	
0.231456	-3.3970772996875E-06	9.09907335284062E-06	0	0.00918320788	8599.96484375	
0.235552	-3.3370976821875E-06	8.97365689171875E-06	0	-0.01248366196	8599.96484375	
0.239648	-3.2701692065625E-06	8.76900349060312E-06	0	-0.00418668712	8599.96484375	
