Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00052"
"","0.02000","0.00145","0.07270"
"","0.04000","0.02860","0.20483"
"","0.06000","0.09058","0.33280"
"","0.08000","0.16900","0.58216"
"","0.10000","0.25508","0.80917"
"","0.11900","0.33737","1.06937"
"","0.13900","0.42221","1.30722"
"","0.15900","0.50568","1.56629"
"","0.17900","0.58864","1.79357"
"","0.19900","0.67152","2.04205"
"","0.21900","0.75435","2.26666"
"","0.23900","0.83714","2.51347"
"","0.25900","0.91989","2.73637"
"","0.27900","1.00260","2.98129"
"","0.29900","1.08523","3.20330"
"","0.31900","1.16782","3.44610"
"","0.33900","1.25041","3.67126"
"","0.35900","1.33304","3.91341"
"","0.37900","1.41571","4.14318"
"","0.39900","1.49837","4.38433"
"","0.41900","1.58103","4.61731"
"","0.43900","1.66368","4.86149"
"","0.45900","1.74633","5.09717"
"","0.47900","1.82889","5.34394"
"","0.49900","1.91152","5.58280"
"","0.51900","1.99416","5.82809"
"","0.53900","2.07677","6.07200"
"","0.55900","2.15940","6.32212"
"","0.57900","2.24206","6.57144"
"","0.59900","2.32468","6.82543"
"","0.61900","2.40725","7.07645"
"","0.63900","2.48984","7.33197"
"","0.65900","2.57243","7.58572"
"","0.67900","2.65501","7.84549"
"","0.69900","2.73754","8.10064"
"","0.71900","2.82012","8.36102"
"","0.73900","2.90280","8.62080"
"","0.75900","2.98549","8.88332"
"","0.77900","3.06810","9.14454"
"","0.79800","3.14656","9.39505"
"","0.81800","3.22918","9.65516"
"","0.83800","3.31177","9.91582"
"","0.85800","3.39436","10.17569"
"","0.87800","3.47696","10.43551"
"","0.89800","3.55959","10.69719"
"","0.91800","3.64223","10.95413"
"","0.93800","3.72481","11.21405"
"","0.95800","3.80753","11.47001"
"","0.97800","3.89032","11.72599"
"","0.99800","3.97298","11.98043"
"","1.01800","4.05547","12.23279"
"","1.03800","4.13798","12.48355"
"","1.05800","4.22058","12.73001"
"","1.07800","4.30315","12.97764"
"","1.09800","4.38579","13.22673"
"","1.11800","4.46857","13.47141"
"","1.13800","4.55130","13.71564"
"","1.15800","4.63389","13.95400"
"","1.17800","4.71649","14.19132"
"","1.19800","4.79910","14.42434"
"","1.21800","4.88167","14.65847"
"","1.23800","4.96084","14.76146"
"","1.23900","4.96424","14.76232"
"","1.24000","4.96753","14.76316"
"","1.26000","5.00562","14.63354"
"","1.27800","4.98232","14.37514"
"","1.29000","4.94508","14.10918"
"","1.30000","4.90775","13.83589"
"","1.30900","4.87111","13.57437"
"","1.31800","4.83263","13.31615"
"","1.32700","4.79322","13.06529"
"","1.33700","4.74925","12.78925"
"","1.34600","4.70998","12.53923"
"","1.35600","4.66689","12.26936"
"","1.36600","4.62435","12.01626"
"","1.37700","4.57803","11.74584"
"","1.38800","4.53204","11.47930"
"","1.39900","4.48625","11.22536"
"","1.41100","4.43641","10.95977"
"","1.42300","4.38660","10.69754"
"","1.43500","4.33681","10.44267"
"","1.44800","4.28291","10.17878"
"","1.46100","4.22906","9.91590"
"","1.47400","4.17527","9.65808"
