Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-3.27109980582E-05	0	0.00460306385	10499.98046875	
0.00208	9.933209825E-07	-3.35263323390187E-05	0	-0.00765139991	10499.98046875	
0.006176	2.53715610671875E-06	-3.44507210780906E-05	0	-0.00111543124	10499.98046875	
0.010272	2.6081990378125E-06	-3.41291377458281E-05	0	0.00153180797	10499.98046875	
0.014368	4.4306285134375E-06	-3.48801749755594E-05	0	-0.00036289715	10499.98046875	
0.018464	5.03901932875E-06	-3.47827601691281E-05	0	-0.00330427405	10499.98046875	
0.02256	2.7519306821875E-06	-3.33078388075125E-05	0	0.00545491716	10499.98046875	
0.026656	3.10440236734375E-06	-3.3826702711725E-05	0	-0.00452284448	10499.98046875	
0.030752	5.0251216125E-06	-3.49231453652812E-05	0	-0.00407972796	10499.98046875	
0.034848	4.397164275625E-06	-3.41852540358656E-05	0	0.0020627838	10499.98046875	
0.038944	4.0508185575E-06	-3.39667001678812E-05	0	-0.00166932689	10499.98046875	
0.04304	3.62392094453125E-06	-3.39003951861094E-05	0	-0.00161202734	10499.98046875	
0.047136	1.21797025109375E-06	-3.28411748511E-05	0	0.00328135423	10499.98046875	
0.051232	1.696618570625E-06	-3.36099060535219E-05	0	-0.00008403934	10499.98046875	
0.055328	4.212105211875E-06	-3.50122008050719E-05	0	-0.01001978131	10499.98046875	
0.059424	3.86310795578125E-06	-3.43145844353812E-05	0	0.00859875247	10499.98046875	
0.06352	2.681893506875E-06	-3.3550122219075E-05	0	0.00257465978	10499.98046875	
0.067616	3.00730121828125E-06	-3.39738321319031E-05	0	-0.00849179331	10499.98046875	
0.071712	2.01635747671875E-06	-3.35256662339156E-05	0	0.00209334356	10499.98046875	
0.075808	2.3317076303125E-06	-3.38578875363094E-05	0	-0.00104667178	10499.98046875	
0.079904	3.9606662665625E-06	-3.47297332990781E-05	0	-0.00460688382	10499.98046875	
0.084	0.000001863756895	-3.33411137742375E-05	0	0.0061883514	10499.98046875	
0.088096	1.142904296875E-07	-3.27391602896531E-05	0	-0.00031323754	10499.98046875	
0.092192	1.3603304103125E-06	-3.39215312226656E-05	0	-0.00441588532	10499.98046875	
0.096288	1.7600726171875E-06	-3.40628606486437E-05	0	0.0027503784	10499.98046875	
0.100384	2.125253398125E-06	-3.4061975553375E-05	0	0.00114981097	10499.98046875	
0.10448	3.8377811965625E-06	-3.48233923400344E-05	0	-0.00483990199	10499.98046875	
0.108576	1.9890192059375E-06	-3.35030511123E-05	0	0.00340359327	10499.98046875	
0.112672	-8.6997875078125E-07	-3.22748528212687E-05	0	0.00276565828	10499.98046875	
0.116768	1.02038495625E-07	-3.35164385989125E-05	0	-0.01379391167	10499.98046875	
0.120864	4.80202669375E-07	-3.38292505457156E-05	0	0.00069141457	10499.98046875	
0.12496	-2.5537053609375E-07	-3.33479940558188E-05	0	0.00532885815	10499.98046875	
0.129056	4.9931202921875E-07	-3.38758401625875E-05	0	-0.0025593799	10499.98046875	
0.133152	-1.2389082578125E-07	-3.34937705927344E-05	0	0.00374739057	10499.98046875	
0.137248	-1.18852903640625E-06	-3.29891915300063E-05	0	-0.00027121787	10499.98046875	
0.141344	1.84611045265625E-06	-3.47346438710906E-05	0	-0.00491630139	10499.98046875	
0.14544	4.350350915625E-06	-3.54496599829969E-05	0	0.00218502284	10499.98046875	
0.149536	3.08666449265625E-06	-3.39915027873094E-05	0	0.0064175496	10499.98046875	
0.153632	2.72861543453125E-06	-3.37799082873656E-05	0	-0.00505000034	10499.98046875	
0.157728	2.729438325625E-06	-3.39305836174594E-05	0	-0.00146686848	10499.98046875	
0.161824	2.05841635484375E-06	-3.35953524623062E-05	0	0.00119565061	10499.98046875	
0.16592	4.3055490671875E-06	-3.48418916003812E-05	0	-0.00479406235	10499.98046875	
0.170016	5.77422680484375E-06	-3.51749393442562E-05	0	-0.00307889582	10499.98046875	
0.174112	3.670825736875E-06	-3.35937495792937E-05	0	0.00791879781	10499.98046875	
0.178208	0.000003455411135	-3.37274109840937E-05	0	0.00071433439	10499.98046875	
0.182304	4.6094701778125E-06	-3.45398029601625E-05	0	-0.00824731523	10499.98046875	
0.1864	4.23267748921875E-06	-3.41430307607812E-05	0	0.00358695183	10499.98046875	
0.190496	4.74707585515625E-06	-3.43708901483062E-05	0	-0.00081747358	10499.98046875	
0.194592	5.02887033859375E-06	-3.44456785350562E-05	0	-0.00678426672	10499.98046875	
0.198688	1.95418348296875E-06	-3.28221664566469E-05	0	0.00629913053	10499.98046875	
0.202784	3.7916992953125E-07	-3.26481351402937E-05	0	-0.0002291982	10499.98046875	
0.20688	0.000002004196975	-3.411800049735E-05	0	-0.00850325322	10499.98046875	
0.210976	1.8899065453125E-06	-3.39427242303188E-05	0	0.00413320754	10499.98046875	
0.215072	2.03574113359375E-06	-3.39207420407625E-05	0	0.00180684581	10499.98046875	
0.219168	2.83650560015625E-06	-3.43212250537406E-05	0	-0.00134080947	10499.98046875	
0.223264	1.186791821875E-06	-3.32990049221156E-05	0	0.00469092316	10499.98046875	
0.22736	9.0527163546875E-07	-3.33795928222969E-05	0	-0.00208570362	10499.98046875	
0.231456	3.4080491809375E-06	-3.485236899375E-05	0	-0.01013056044	10499.98046875	
0.235552	2.92464637953125E-06	-3.41468170550719E-05	0	0.00561917587	10499.98046875	
0.239648	1.317722938125E-06	-3.32201162990813E-05	0	0.00468328322	10499.98046875	
0.243744	1.48623274765625E-06	-3.36737492589094E-05	0	-0.01006180098	10499.98046875	
