Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	0	0	0.00740310186	9399.94921875	
0.00208	9.055459325E-07	0	0	-0.00679572663	9399.94921875	
0.006176	1.0300767846875E-06	0	0	-0.00146686848	9399.94921875	
0.010272	1.1606421715625E-06	0	0	0.0023301817	9399.94921875	
0.014368	3.79014494546875E-06	0	0	-0.01040177831	9399.94921875	
0.018464	5.81646854765625E-06	0	0	0.00432802601	9399.94921875	
0.02256	5.9019577890625E-06	0	0	0.01069973597	9399.94921875	
0.026656	6.70957968140625E-06	0	0	-0.00440442541	9399.94921875	
0.030752	7.252779235625E-06	0	0	-0.00383524988	9399.94921875	
0.034848	7.05738831703125E-06	0	0	0.00467946325	9399.94921875	
0.038944	8.69750169921875E-06	0	0	-0.0045457643	9399.94921875	
0.04304	9.0686255825E-06	0	0	-0.00048131622	9399.94921875	
0.047136	7.39824809453125E-06	0	0	0.00733052243	9399.94921875	
0.051232	6.7339921171875E-06	0	0	-0.00560389599	9399.94921875	
0.055328	6.58559742328125E-06	0	0	-0.008021937	9399.94921875	
0.059424	0.00000554153149	0	0	0.00371301084	9399.94921875	
0.06352	4.82424475328125E-06	0	0	0.00004965961	9399.94921875	
0.067616	3.62291518875E-06	0	0	-0.00390782931	9399.94921875	
0.071712	-4.91906009375E-08	0	0	0.00541671746	9399.94921875	
0.075808	-2.204982401875E-06	0	0	-0.00188324521	9399.94921875	
0.079904	-3.13987811671875E-06	0	0	-0.00654360861	9399.94921875	
0.084	-5.3208138121875E-06	0	0	0.0050805601	9399.94921875	
0.088096	-7.29913543390625E-06	0	0	0.00837337424	9399.94921875	
0.092192	-9.1053813846875E-06	0	0	-0.00623801101	9399.94921875	
0.096288	-1.1950207328125E-05	0	0	0.00359459177	9399.94921875	
0.100384	-1.34898365645312E-05	0	0	0.00021391832	9399.94921875	
0.10448	-1.30073480865625E-05	0	0	-0.01102061345	9399.94921875	
0.108576	-1.42665543246875E-05	0	0	0.00674988699	9399.94921875	
0.112672	-1.58409278517188E-05	0	0	0.00610049209	9399.94921875	
0.116768	-1.59842937667188E-05	0	0	-0.01073029573	9399.94921875	
0.120864	-1.68249227351562E-05	0	0	-0.00105813169	9399.94921875	
0.12496	-1.7060178155625E-05	0	0	0.00655124855	9399.94921875	
0.129056	-1.52931566803125E-05	0	0	-0.00745658144	9399.94921875	
0.133152	-1.46409697723437E-05	0	0	0.0044311652	9399.96875	
0.137248	-1.49353819192187E-05	0	0	0.00727704285	9399.96875	
0.141344	-1.3391181065625E-05	0	0	-0.00966070413	9399.96875	
0.14544	-1.1880718746875E-05	0	0	0.00116509085	9399.96875	
0.149536	-1.06251698025E-05	0	0	0.00458014403	9399.96875	
0.153632	-7.6174114225E-06	0	0	-0.00459542391	9399.96875	
0.157728	-6.4772500959375E-06	0	0	0.00166550692	9399.96875	
0.161824	-6.7775139128125E-06	0	0	0.00726940291	9399.96875	
0.16592	-5.1035705634375E-06	0	0	-0.01134149093	9399.96875	
0.170016	-2.60765044375E-06	0	0	-0.0050423604	9399.96875	
0.174112	-1.554715573125E-06	0	0	0.00862931223	9399.96875	
0.178208	2.94412146875E-08	0	0	-0.00281149792	9399.96875	
0.182304	6.4505518515625E-07	0	0	-0.00259375963	9399.96875	
0.1864	-1.0084987515625E-07	0	0	0.00265487915	9399.96875	
0.190496	1.561298701875E-06	0	0	-0.00435858577	9399.96875	
0.194592	3.32694869203125E-06	0	0	-0.00423634673	9399.96875	
0.198688	2.98352880890625E-06	0	0	0.00804867679	9399.96875	
0.202784	2.61085057578125E-06	0	0	0.0005347958	9399.96875	
0.20688	2.91568600984375E-06	0	0	-0.00629149059	9399.96875	
0.210976	2.524629875625E-06	0	0	0.00483990199	9399.96875	
0.215072	3.49335555765625E-06	0	0	0.00072961427	9399.96875	
0.219168	4.97071936796875E-06	0	0	-0.0071433439	9399.96875	
0.223264	0.00000377432715	0	0	0.00375503051	9399.96875	
0.22736	2.55937416625E-06	0	0	0.00120329055	9399.96875	
0.231456	2.67741332203125E-06	0	0	-0.01167764829	9399.96875	
0.235552	2.072588368125E-06	0	0	-0.00105813169	9399.96875	
0.239648	1.7911596140625E-06	0	0	0.00690650576	9399.96875	
0.243744	2.139151114375E-06	0	0	-0.00617689149	9399.96875	
0.24784	5.3771361359375E-07	0	0	0.00620745125	9399.96875	
0.251936	-8.479435559375E-07	0	0	0.00328899417	9399.96875	
0.256032	-7.69860334375E-08	0	0	-0.01154012937	9399.96875	
0.260128	-0.00000012873674	0	0	0.0031705751	9399.96875	
0.264224	-1.01608763609375E-06	0	0	0.00660472813	9399.96875	
0.26832	-9.978925996875E-07	0	0	-0.0062647508	9399.96875	
0.272416	-2.5489508790625E-06	0	0	0.00020245841	9399.96875	
0.276512	-4.0830027425E-06	0	0	0.00101993199	9399.96875	
0.280608	-3.29668458625E-06	0	0	-0.00937802635	9399.96875	
0.284704	-3.3301488240625E-06	0	0	0.00021009835	9399.96875	
0.2888	-4.6782273003125E-06	0	0	0.00851089316	9399.96875	
0.292896	-4.86282920234375E-06	0	0	-0.00404534823	9399.96875	
0.296992	-5.53796562859375E-06	0	0	-0.00214682314	9399.96875	
0.301088	-6.79113733203125E-06	0	0	0.00435858577	9399.96875	
0.305184	-5.87151081859375E-06	0	0	-0.00441970529	9399.96875	
0.30928	-5.67127398578125E-06	0	0	0.00022537823	9399.96875	
0.313376	-7.57718119125E-06	0	0	0.00943150593	9399.96875	
0.317472	-8.65123693328125E-06	0	0	-0.00307507585	9399.96875	
0.321568	-0.000008610732405	0	0	-0.00708222438	9399.96875	
0.325664	-9.1697497546875E-06	0	0	0.00461452376	9399.96875	
0.32976	-8.38462021890625E-06	0	0	-0.00090915286	9399.96875	
0.333856	-7.86309013015625E-06	0	0	-0.00291081714	9399.96875	
0.337952	-9.23896403890625E-06	0	0	0.00562299584	9399.96875	
0.342048	-9.0212636284375E-06	0	0	-0.00401478847	9399.96875	
0.346144	-7.59921638609375E-06	0	0	-0.01049345759	9399.96875	
0.35024	-7.31376460890625E-06	0	0	0.00434330589	9399.96875	
0.354336	-7.09926433046875E-06	0	0	0.00237220137	9399.96875	
0.358432	-6.351622055625E-06	0	0	-0.00504618037	9399.96875	
0.362528	-7.517567303125E-06	0	0	0.00352965228	9399.96875	
0.366624	-7.1776218490625E-06	0	0	0.00303305618	9399.96875	
0.37072	-4.83393658171875E-06	0	0	-0.00854909286	9399.96875	
0.374816	-0.00000437119749	0	0	0.00589803368	9399.96875	
0.378912	-4.732172383125E-06	0	0	0.00941622605	9399.96875	
0.383008	-4.20808218875E-06	0	0	-0.00990900218	9399.96875	
0.387104	-4.16355463734375E-06	0	0	0.00074107418	9399.96875	
0.3912	-3.814191651875E-06	0	0	0.00041637673	9399.96875	
0.395296	-1.7644613696875E-06	0	0	-0.00695616537	9399.96875	
0.399392	-1.78082775921875E-06	0	0	0.00755208069	9399.96875	
0.403488	-0.00000268591653	0	0	0.00464508352	9399.96875	
0.407584	-1.74260903953125E-06	0	0	-0.00893490983	9399.96875	
0.41168	-1.20535258765625E-06	0	0	-0.00083275346	9399.96875	
0.415776	-7.53768241875E-07	0	0	0.00936656644	9399.96875	
0.419872	6.358205184375E-07	0	0	-0.00490102151	9399.96875	
0.423968	6.5383269015625E-07	0	0	-0.00001909985	9399.96875	
0.428064	-9.9213236203125E-07	0	0	0.0050805601	9399.96875	
0.43216	-7.0119464421875E-07	0	0	-0.0082511352	9399.96875	
0.436256	-5.4886835953125E-07	0	0	-0.00229580197	9399.96875	
0.440352	-1.91212460484375E-06	0	0	0.00695616537	9399.96875	
0.444448	-2.04250712703125E-06	0	0	-0.00252882014	9399.96875	
0.448544	-2.87655296671875E-06	0	0	-0.00178774596	9399.96875	
0.45264	-5.10768501890625E-06	0	0	0.00339213336	9399.96875	
0.456736	-5.41855498765625E-06	0	0	-0.00610049209	9399.96875	
0.460832	-4.86484071390625E-06	0	0	-0.00501562061	9399.96875	
0.464928	-6.1181038496875E-06	0	0	0.01093657411	9399.96875	
0.469024	-6.86080877796875E-06	0	0	-0.00083275346	9399.96875	
0.47312	-7.5484714353125E-06	0	0	-0.00715480381	9399.96875	
0.477216	-8.87396612265625E-06	0	0	0.00280003801	9399.96875	
0.481312	-8.33945264109375E-06	0	0	-0.00069905451	9399.96875	
0.485408	-6.856328593125E-06	0	0	-0.00342651309	9399.96875	
0.489504	-7.614851316875E-06	0	0	0.00779655877	9399.96875	
0.4936	-7.8823823546875E-06	0	0	0.00298721654	9399.96875	
0.497696	-6.93102881796875E-06	0	0	-0.00934364662	9399.96875	
0.501792	-6.44588880203125E-06	0	0	0.00088241307	9399.96875	
0.505888	-5.13840628640625E-06	0	0	0.00402242841	9399.96875	
0.509984	-3.11244841359375E-06	0	0	-0.00654742858	9399.96875	
0.51408	-3.4705889040625E-06	0	0	0.00835809436	9399.96875	
0.518176	-3.98434724359375E-06	0	0	0.00438914553	9399.96875	
0.522272	-1.780736326875E-06	0	0	-0.00948880548	9399.96875	
0.526368	-2.90754853125E-07	0	0	0.00367863111	9399.96875	
0.530464	6.48438181875E-07	0	0	0.01060041675	9399.96875	
0.53456	2.1656664940625E-06	0	0	-0.0029795766	9399.96875	
0.538656	1.9381828228125E-06	0	0	0.0002291982	9399.98828125	
0.542752	1.72596835296875E-06	0	0	0.00218502284	9399.98828125	
0.546848	3.75576638421875E-06	0	0	-0.01188774664	9399.98828125	
0.550944	4.6537234321875E-06	0	0	0.00454194433	9399.98828125	
0.55504	3.89163484703125E-06	0	0	0.00816709586	9399.98828125	
0.559136	4.01616569921875E-06	0	0	-0.00771251943	9399.98828125	
0.563232	3.69121514953125E-06	0	0	-0.00046603634	9399.98828125	
0.567328	2.92940086140625E-06	0	0	0.00494686115	9399.98828125	
0.571424	4.29027986578125E-06	0	0	-0.00621509119	9399.98828125	
0.57552	4.609287313125E-06	0	0	0.00258611969	9399.98828125	
0.579616	0.000002870244135	0	0	0.00776599901	9399.98828125	
0.583712	2.16886662609375E-06	0	0	-0.00379705018	9399.98828125	
0.587808	1.67897212828125E-06	0	0	-0.00512257977	9399.98828125	
0.591904	4.6219049765625E-07	0	0	0.00223850242	9399.98828125	
0.596	6.109509209375E-07	0	0	0.00176482614	9399.98828125	
0.600096	2.4494724890625E-07	0	0	-0.00433566595	9399.98828125	
0.604192	-2.22445749109375E-06	0	0	0.00747186132	9399.98828125	
0.608288	-3.15743312671875E-06	0	0	-0.00278475813	9399.98828125	
0.612384	-3.06856088859375E-06	0	0	-0.00814799601	9399.98828125	
0.61648	-4.09223740921875E-06	0	0	0.00554659644	9399.98828125	
0.620576	-4.91613425875E-06	0	0	0.00455340424	9399.98828125	
0.624672	-5.60224256625E-06	0	0	-0.00549311686	9399.98828125	
0.628768	-8.31074288515625E-06	0	0	0.00538233773	9399.98828125	
0.632864	-9.910900333125E-06	0	0	0.00179156593	9399.98828125	
0.63696	-9.5047578621875E-06	0	0	-0.00704784465	9399.98828125	
0.641056	-1.06896296048438E-05	0	0	0.00403770829	9399.98828125	
0.645152	-1.20082668664062E-05	0	0	0.00797227739	9399.98828125	
0.649248	-1.2462228453125E-05	0	0	-0.00518751926	9399.98828125	
0.653344	-1.4127760026875E-05	0	0	0.00304451609	9399.98828125	
0.65744	-1.44870891378125E-05	0	0	0.00143630872	9399.98828125	
0.661536	-1.30665962453125E-05	0	0	-0.01056985699	9399.98828125	
0.665632	-1.31033520475E-05	0	0	0.00676516687	9399.98828125	
0.669728	-1.43705128995312E-05	0	0	0.00734962228	9399.98828125	
0.673824	-1.37897346520313E-05	0	0	-0.0089769295	9399.98828125	
0.67792	-1.31049063973438E-05	0	0	-0.00176864611	9399.98828125	
0.682016	-1.19635564503125E-05	0	0	0.00531357827	9399.98828125	
0.686112	-9.175784289375E-06	0	0	-0.00186414536	9399.98828125	
0.690208	-8.6200585040625E-06	0	0	0.00515313953	9399.98828125	
0.694304	-8.64008218734375E-06	0	0	0.00639844975	9399.98828125	
0.6984	-0.000006609461265	0	0	-0.01072647576	9399.98828125	
0.702496	-4.1504798121875E-06	0	0	-0.00181066578	9399.98828125	
0.706592	-3.088584571875E-06	0	0	0.00925960728	9399.98828125	
0.710688	-1.58004233234375E-06	0	0	-0.00371683081	9399.98828125	
0.714784	-9.177978665625E-07	0	0	0.00222322254	9399.98828125	
0.71888	-1.50049619328125E-06	0	0	0.00620745125	9399.98828125	
0.722976	3.9489629265625E-07	0	0	-0.00393838907	9399.98828125	
0.727072	2.1916332796875E-06	0	0	-0.00185650542	9399.98828125	
0.731168	2.23049202578125E-06	0	0	0.00715098384	9399.98828125	
0.735264	2.8788387753125E-06	0	0	0.00214300317	9399.98828125	
0.73936	3.52499114859375E-06	0	0	-0.00722738324	9399.98828125	
0.743456	2.6923167940625E-06	0	0	0.00136754926	9399.98828125	
0.747552	3.500395848125E-06	0	0	0.00171134656	9399.98828125	
0.751648	4.6891991815625E-06	0	0	-0.00670022738	9399.98828125	
0.755744	3.74808606734375E-06	0	0	0.01111993267	9399.98828125	
0.75984	3.18138840078125E-06	0	0	-0.00092443274	9399.98828125	
0.763936	3.69313522875E-06	0	0	-0.00638698984	9399.98828125	
0.768032	3.2346934571875E-06	0	0	0.00276565828	9399.98828125	
0.772128	3.33865203203125E-06	0	0	0.00487810169	9399.98828125	
0.776224	4.343767786875E-06	0	0	-0.00205514386	9399.98828125	
0.78032	2.732364160625E-06	0	0	0.00403006835	9399.98828125	
0.784416	1.13622973578125E-06	0	0	0.00697908519	9399.98828125	
0.788512	1.05796364953125E-06	0	0	-0.01351123389	9399.98828125	
0.792608	3.8008425296875E-07	0	0	0.0029413769	9399.98828125	
0.796704	-5.4118804265625E-07	0	0	0.00893490983	9399.98828125	
0.8008	-7.352989084375E-07	0	0	-0.00461070379	9399.98828125	
0.804896	-2.797463989375E-06	0	0	0.00492012136	9399.98828125	
0.808992	-4.7188232609375E-06	0	0	0.00284587765	9399.98828125	
0.813088	-3.77021269453125E-06	0	0	-0.00646338924	9399.98828125	
0.817184	-3.94667711796875E-06	0	0	0.00036289715	9399.98828125	
0.82128	-5.1533097584375E-06	0	0	0.00950026539	9399.98828125	
0.825376	-5.735002329375E-06	0	0	-0.00558097617	9399.98828125	
0.829472	-6.93706335265625E-06	0	0	-0.00173426638	9399.98828125	
0.833568	-8.27581572984375E-06	0	0	0.00112689115	9399.98828125	
0.837664	-6.9859796565625E-06	0	0	-0.00234164161	9399.98828125	
0.84176	-6.50550269015625E-06	0	0	0.00446172496	9399.98828125	
0.845856	-7.61219977890625E-06	0	0	0.00763230006	9399.98828125	
0.849952	-0.000007446250075	0	0	-0.00358313186	9399.98828125	
0.854048	-6.9300230621875E-06	0	0	-0.00472530289	9399.98828125	
0.858144	-6.6154957996875E-06	0	0	0.00510729989	9399.98828125	
0.86224	-5.1598928871875E-06	0	0	-0.00063029505	9399.98828125	
0.866336	-4.225271469375E-06	0	0	-0.00058445541	9399.98828125	
0.870432	-5.90442646234375E-06	0	0	0.00637170996	9399.98828125	
0.874528	-6.1096920740625E-06	0	0	-0.00074871412	9399.98828125	
0.878624	-5.34796921828125E-06	0	0	-0.0093207268	9399.98828125	
0.88272	-5.57856158921875E-06	0	0	0.00753298084	9399.98828125	
0.886816	-5.370735871875E-06	0	0	0.00680718654	9399.98828125	
0.890912	-5.43336702734375E-06	0	0	-0.00432802601	9399.98828125	
0.895008	-7.24720186265625E-06	0	0	0.00677662678	9399.98828125	
0.899104	-7.9482136421875E-06	0	0	0.00032087748	9399.98828125	
0.9032	-6.77632529234375E-06	0	0	-0.00854145292	9399.98828125	
0.907296	-7.696043238125E-06	0	0	0.00741456177	9399.98828125	
0.911392	-8.86390856484375E-06	0	0	0.00717008369	9399.98828125	
0.915488	-9.17587572171875E-06	0	0	-0.00612341191	9399.98828125	
0.919584	-1.04734835442187E-05	0	0	0.00162730722	9399.98828125	
0.92368	-1.04267616165625E-05	0	0	0.00626093083	9399.98828125	
0.927776	-8.65379703890625E-06	0	0	-0.00911444842	9399.98828125	
0.931872	-8.38059719578125E-06	0	0	0.00851089316	9399.98828125	
0.935968	-8.657180035625E-06	0	0	0.00860257244	9399.98828125	
0.940064	-7.47212542828125E-06	0	0	-0.0073725421	9399.98828125	
0.94416	-6.65472027515625E-06	0	0	-0.00064175496	9399.98828125	
0.948256	-5.76398638234375E-06	0	0	0.0041255676	9399.98828125	
0.952352	-3.00995275625E-06	0	0	-0.00386198967	9399.98828125	
0.956448	-2.10303533859375E-06	0	0	0.00483608202	9399.98828125	
0.960544	-2.27017366296875E-06	0	0	0.00735344225	9399.98828125	
0.96464	-3.6728372484375E-07	0	0	-0.00776217904	9399.98828125	
0.968736	0.000001758426835	0	0	-0.00108487148	9399.98828125	
0.972832	2.9918491521875E-06	0	0	0.00886997034	9399.98828125	
0.976928	5.08665557984375E-06	0	0	-0.0001909985	9399.98828125	
0.981024	5.75722038890625E-06	0	0	-0.00104667178	9399.98828125	
0.98512	4.904065189375E-06	0	0	0.0038581697	9399.98828125	
0.989216	5.76325492359375E-06	0	0	-0.00632587032	9399.98828125	
0.993312	7.2471104303125E-06	0	0	-0.00396894883	9399.98828125	
0.997408	6.68480151625E-06	0	0	0.00686448609	9399.98828125	
1.001504	6.23596014078125E-06	0	0	0.00401860844	9399.98828125	
1.0056	5.4630825390625E-06	0	0	-0.00628767062	9399.98828125	
1.009696	3.53962032359375E-06	0	0	0.00410646775	9399.98828125	
1.013792	3.8077913878125E-06	0	0	0.00024447808	9399.98828125	
1.017888	4.19482449890625E-06	0	0	-0.00487428172	9399.98828125	
1.021984	2.2512471678125E-06	0	0	0.01087927456	9399.98828125	
1.02608	2.444900871875E-07	0	0	0.0036289715	9399.98828125	
1.030176	-7.39870525625E-07	0	0	-0.00820529556	9399.98828125	
1.034272	-2.20927972203125E-06	0	0	0.0036289715	9399.98828125	
1.038368	-2.68235066859375E-06	0	0	0.00520279914	9399.98828125	
