Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00058"
"","0.02000","0.00190","0.09390"
"","0.04000","0.03566","0.29200"
"","0.06000","0.11065","0.55588"
"","0.07200","0.16610","0.81162"
"","0.08400","0.22642","1.06866"
"","0.09700","0.29446","1.33870"
"","0.10800","0.35236","1.59865"
"","0.11900","0.40967","1.85981"
"","0.13100","0.47130","2.11809"
"","0.14300","0.53222","2.38169"
"","0.15400","0.58766","2.63554"
"","0.16600","0.64789","2.89321"
"","0.17900","0.71300","3.16365"
"","0.19100","0.77303","3.43167"
"","0.20300","0.83301","3.68943"
"","0.21600","0.89795","3.95644"
"","0.22800","0.95791","4.21855"
"","0.24000","1.01787","4.47754"
"","0.25300","1.08281","4.74030"
"","0.26500","1.14273","4.99508"
"","0.27700","1.20261","5.25477"
"","0.29000","1.26743","5.52186"
"","0.30200","1.32724","5.77708"
"","0.31400","1.38707","6.04703"
"","0.32600","1.44695","6.30161"
"","0.33800","1.50687","6.56142"
"","0.34900","1.56179","6.81156"
"","0.36100","1.62168","7.07806"
"","0.37300","1.68156","7.33891"
"","0.38400","1.73644","7.59013"
"","0.39500","1.79130","7.84494"
"","0.40700","1.85113","8.11326"
"","0.41800","1.90599","8.36380"
"","0.42900","1.96087","8.62595"
"","0.44000","2.01577","8.88190"
"","0.45100","2.07068","9.13591"
"","0.46200","2.12560","9.39880"
"","0.47300","2.18050","9.66627"
"","0.48400","2.23539","9.92701"
"","0.49500","2.29027","10.18851"
"","0.50600","2.34511","10.45965"
"","0.51700","2.39992","10.73144"
"","0.52800","2.45472","10.99668"
"","0.53900","2.50953","11.26831"
"","0.54900","2.55937","11.52000"
"","0.56000","2.61420","11.79221"
"","0.57100","2.66904","12.06457"
"","0.58100","2.71889","12.31875"
"","0.59100","2.76876","12.57298"
"","0.60100","2.81866","12.82414"
"","0.61200","2.87357","13.09818"
"","0.62200","2.92350","13.35576"
"","0.63200","2.97341","13.61410"
"","0.64200","3.02331","13.86780"
"","0.65200","3.07317","14.12216"
"","0.66200","3.12300","14.38041"
"","0.67200","3.17282","14.63891"
"","0.68200","3.22264","14.89531"
"","0.69200","3.27247","15.15134"
"","0.70200","3.32233","15.40941"
"","0.71200","3.37220","15.66876"
"","0.72200","3.42208","15.92559"
"","0.73200","3.47197","16.18154"
"","0.74200","3.52186","16.43962"
"","0.75200","3.57175","16.69876"
"","0.76200","3.62164","16.95515"
"","0.77200","3.67153","17.21054"
"","0.78200","3.72141","17.46875"
"","0.79200","3.77128","17.72687"
"","0.80200","3.82113","17.98146"
"","0.81200","3.87098","18.23444"
"","0.82200","3.92083","18.49148"
"","0.83200","3.97070","18.74757"
"","0.84200","4.02057","18.99989"
"","0.85200","4.07045","19.25147"
"","0.86200","4.12034","19.50489"
"","0.87200","4.17022","19.75869"
"","0.88200","4.22011","20.00993"
"","0.89300","4.27500","20.28312"
"","0.90400","4.32990","20.55793"
"","0.91500","4.38479","20.83062"
"","0.92600","4.43966","21.10059"
"","0.93700","4.49453","21.37505"
"","0.94800","4.54940","21.64347"
"","0.95900","4.60425","21.90920"
"","0.97000","4.65911","22.17679"
"","0.98100","4.71399","22.44498"
"","0.99200","4.76886","22.70942"
"","1.00300","4.82371","22.97219"
"","1.01400","4.87856","23.23668"
"","1.02500","4.93342","23.49968"
"","1.03600","4.98828","23.75886"
"","1.04700","5.04316","24.01915"
"","1.05800","5.09805","24.27691"
"","1.06900","5.15292","24.53168"
"","1.08000","5.20777","24.78471"
"","1.09100","5.26261","25.03969"
"","1.10200","5.31746","25.29059"
"","1.11400","5.37730","25.56186"
"","1.12500","5.43217","25.81199"
"","1.13700","5.49201","26.08280"
"","1.14900","5.55184","26.35049"
"","1.16100","5.61167","26.61766"
"","1.17300","5.67152","26.88498"
"","1.18500","5.73139","27.14840"
"","1.19700","5.79127","27.41174"
"","1.20900","5.85114","27.67376"
"","1.22100","5.91099","27.93063"
"","1.23700","5.98703","28.11418"
"","1.23800","5.99119","28.11825"
"","1.23900","5.99522","28.12198"
"","1.25900","6.04231","27.90103"
"","1.26800","6.03632","27.62615"
"","1.27500","6.01993","27.36117"
"","1.28100","6.00005","27.08413"
"","1.28600","5.98063","26.82743"
"","1.29100","5.95934","26.55222"
"","1.29600","5.93662","26.26264"
"","1.30100","5.91277","25.96508"
"","1.30600","5.88803","25.66244"
"","1.31100","5.86260","25.36258"
"","1.31600","5.83665","25.06581"
"","1.32100","5.81038","24.77371"
"","1.32600","5.78393","24.48922"
"","1.33100","5.75744","24.20612"
"","1.33600","5.73102","23.92467"
"","1.34100","5.70473","23.64685"
"","1.34600","5.67860","23.37025"
"","1.35100","5.65265","23.10093"
"","1.35600","5.62687","22.83937"
"","1.36100","5.60124","22.58529"
"","1.36700","5.57067","22.28998"
