Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	0.000001786767444	0	0.00761702018	8549.96875	
0.00208	4.697793821875E-07	1.7758568779875E-06	0	-0.00549693683	8549.96875	
0.006176	1.09124502265625E-06	1.71160333647187E-06	0	-0.00124149025	8549.96875	
0.010272	1.23771963734375E-06	1.68689302464375E-06	0	0.00692178564	8549.96875	
0.014368	0.00000291413166	1.61002675535625E-06	0	0.00070287448	8549.96875	
0.018464	3.57253596734375E-06	1.54403715788437E-06	0	-0.00000763994	8549.96875	
0.02256	2.22701759671875E-06	1.61177891706562E-06	0	0.00409500784	8549.96875	
0.026656	3.14188962828125E-06	1.62303852119062E-06	0	-0.00461070379	8549.96875	
0.030752	5.5563435296875E-06	1.49673359941875E-06	0	-0.00635261011	8549.96875	
0.034848	5.574812863125E-06	1.47971630874375E-06	0	0.00681482648	8549.96875	
0.038944	6.1137150971875E-06	1.49953576007812E-06	0	0.00503854043	8549.96875	
0.04304	6.513274439375E-06	1.48645452315937E-06	0	-0.00294901684	8549.96875	
0.047136	5.1902484253125E-06	1.56220060125937E-06	0	0.00311709552	8549.96875	
0.051232	5.7984563759375E-06	1.58857317104062E-06	0	0.00054243574	8549.96875	
0.055328	7.9919183025E-06	1.47955789544062E-06	0	-0.00364425138	8549.96875	
0.059424	6.99740869953125E-06	1.49254297860937E-06	0	0.01057367696	8549.96875	
0.06352	5.05977447078125E-06	1.62371400128437E-06	0	0.00331573396	8549.96875	
0.067616	4.27802793171875E-06	1.67822019677812E-06	0	-0.00551985665	8549.96875	
0.071712	2.71087755984375E-06	1.73545643761875E-06	0	0.00040109685	8549.96875	
0.075808	2.3591373334375E-06	1.76033045120625E-06	0	0.00359459177	8549.96875	
0.079904	3.1022994234375E-06	1.69290648016875E-06	0	-0.00403006835	8549.96875	
0.084	1.2725553603125E-06	1.72156029766875E-06	0	0.00723120321	8549.96875	
0.088096	-1.0245908440625E-06	1.84369743514687E-06	0	0.00475586265	8549.96875	
0.092192	-9.80154725E-08	1.80185925583125E-06	0	-0.00912590833	8549.96875	
0.096288	1.9100216609375E-07	1.7251338517875E-06	0	-0.00000381997	8549.96875	
0.100384	4.635619828125E-08	1.71858313718437E-06	0	0.00650540891	8549.96875	
0.10448	1.16603667984375E-06	1.65803728426875E-06	0	-0.00152034806	8549.96875	
0.108576	3.2504198203125E-07	1.654423345575E-06	0	0.00249444041	8549.96875	
0.112672	-1.16082503625E-06	1.7463876766875E-06	0	0.0033997733	8549.96875	
0.116768	6.6261019515625E-07	1.68818028297187E-06	0	-0.00529447842	8549.96875	
0.120864	2.46071866734375E-06	1.55959291155937E-06	0	0.0017189865	8549.96875	
0.12496	2.51137218578125E-06	1.55339195622187E-06	0	0.00926724722	8549.96875	
0.129056	4.02585752765625E-06	1.5195821342625E-06	0	0.00001145991	8549.96875	
0.133152	4.96175899828125E-06	1.469477376675E-06	0	-0.00193672479	8549.96875	
0.137248	4.79279202703125E-06	1.5059667632625E-06	0	0.00291463711	8549.96875	
0.141344	7.027489940625E-06	1.457708157675E-06	0	-0.00642900951	8549.96875	
0.14544	8.99045092859375E-06	1.35538926960937E-06	0	0.00254028005	8549.96875	
0.149536	8.12476949796875E-06	1.4118995496375E-06	0	0.00780037874	8549.96875	
0.153632	7.6464869078125E-06	1.49569586007187E-06	0	-0.0003055976	8549.96875	
0.157728	7.34064571796875E-06	1.5284628946125E-06	0	-0.003437973	8549.96875	
0.161824	6.37914319109375E-06	1.59231643652812E-06	0	0.00318967495	8549.96875	
0.16592	7.33607410078125E-06	1.57778616259687E-06	0	0.00353729222	8549.96875	
0.170016	8.00627318046875E-06	1.51755978051562E-06	0	-0.00027885781	8549.96875	
0.174112	5.3219110003125E-06	1.62090366755625E-06	0	0.00851471313	8549.96875	
0.178208	3.55296944578125E-06	1.75093839329062E-06	0	-0.00108487148	8549.96875	
0.182304	3.53596302984375E-06	1.73696052265312E-06	0	-0.00656270846	8549.96875	
0.1864	2.215222824375E-06	1.75625184951562E-06	0	0.00430510619	8549.96875	
0.190496	1.5724534478125E-06	1.781877064275E-06	0	0.00600499284	8549.96875	
0.194592	1.3678278625E-06	1.75150161388125E-06	0	-0.00004583964	8549.96875	
0.198688	-9.386444409375E-07	1.8135068403375E-06	0	0.00266633906	8549.96875	
0.202784	-2.34606250828125E-06	1.88946974514375E-06	0	0.00186414536	8549.96875	
0.20688	-6.07476491875E-07	1.79085181491562E-06	0	-0.00619217137	8549.96875	
0.210976	8.7409320625E-08	1.68710576481562E-06	0	0.00617689149	8549.96875	
0.215072	1.8899065453125E-07	1.6756983243E-06	0	0.00684538624	8549.96875	
0.219168	1.17975153140625E-06	1.62240270451875E-06	0	-0.00331955393	8549.96875	
0.223264	3.7057528921875E-07	1.63798466009062E-06	0	-0.0007257943	8549.96875	
0.22736	3.2778495234375E-07	1.67644207355625E-06	0	0.00100083214	8549.96875	
0.231456	2.58652957234375E-06	1.57958928579375E-06	0	-0.00482080214	8549.96875	
0.235552	0.00000343493029	1.50583479224062E-06	0	0.0060737523	8549.96875	
0.239648	2.15131161609375E-06	1.57998616039687E-06	0	0.00969508386	8549.96875	
0.243744	2.4597129115625E-06	1.61317002144375E-06	0	-0.00460306385	8549.96875	
0.24784	2.78091473515625E-06	1.59052605370312E-06	0	-0.00338067345	8549.96875	
0.251936	2.95939067015625E-06	1.60107460084687E-06	0	0.00359841174	8549.96875	
0.256032	5.12908018734375E-06	1.51975376870625E-06	0	-0.00285351759	8549.96875	
0.260128	0.00000557664151	1.46815766645625E-06	0	0.00474058277	8549.96875	
0.264224	3.80605417328125E-06	1.57407102208125E-06	0	0.00548165695	8549.96875	
0.26832	3.6625968259375E-06	1.63074981155625E-06	0	-0.00574523488	8549.96875	
0.272416	4.33471598484375E-06	1.59536306809687E-06	0	-0.00410646775	8549.96875	
0.276512	4.01653142859375E-06	1.60457171273437E-06	0	0.00831989466	8549.96875	
0.280608	5.08793563265625E-06	1.57685371160625E-06	0	0.00083657343	8549.96875	
0.284704	5.30243591109375E-06	1.53914221085625E-06	0	0.00127205001	8549.96875	
0.2888	3.49125261375E-06	1.63189187772187E-06	0	0.00540525755	8549.96875	
0.292896	4.1011063465625E-06	1.65026709973125E-06	0	-0.00482844208	8549.96875	
0.296992	5.8503899471875E-06	1.54786744251562E-06	0	-0.00379323021	8549.96875	
0.301088	5.51364462515625E-06	1.5405974978625E-06	0	0.0061501517	8549.96875	
0.305184	5.32017378578125E-06	1.5777984222E-06	0	0.00353347225	8549.96875	
0.30928	5.26586297359375E-06	1.57812654687187E-06	0	-0.0039727688	8549.96875	
0.313376	3.1118083871875E-06	1.67020578171562E-06	0	0.00145540857	8549.96875	
0.317472	3.01626158796875E-06	1.71961703038125E-06	0	-0.00143630872	8549.96875	
0.321568	4.74378429078125E-06	1.61541785573437E-06	0	-0.00310945558	8549.96875	
