Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00075"
"","0.02000","0.00137","0.06955"
"","0.04000","0.02733","0.18691"
"","0.06000","0.08596","0.31013"
"","0.08000","0.16193","0.53425"
"","0.10000","0.24636","0.74494"
"","0.12000","0.33125","0.99991"
"","0.14000","0.41413","1.22133"
"","0.16000","0.49560","1.46250"
"","0.18000","0.57641","1.67298"
"","0.20000","0.65704","1.90236"
"","0.22000","0.73764","2.10891"
"","0.24000","0.81822","2.33251"
"","0.26000","0.89880","2.53980"
"","0.28000","0.97931","2.75906"
"","0.30000","1.05980","2.96483"
"","0.32000","1.14021","3.18209"
"","0.34000","1.22058","3.38648"
"","0.36000","1.30092","3.60422"
"","0.38000","1.38129","3.81038"
"","0.40000","1.46176","4.02720"
"","0.42000","1.54223","4.23700"
"","0.44000","1.62268","4.45366"
"","0.46000","1.70312","4.66525"
"","0.48000","1.78355","4.88337"
"","0.50000","1.86390","5.09707"
"","0.52000","1.94424","5.31659"
"","0.54000","2.02466","5.53172"
"","0.56000","2.10507","5.75259"
"","0.58000","2.18549","5.97316"
"","0.60000","2.26591","6.19581"
"","0.62000","2.34634","6.41869"
"","0.64000","2.42672","6.64217"
"","0.66000","2.50704","6.86622"
"","0.68000","2.58736","7.09081"
"","0.70000","2.66774","7.31644"
"","0.72000","2.74814","7.54260"
"","0.74000","2.82848","7.76932"
"","0.76000","2.90889","7.99490"
"","0.78000","2.98933","8.22301"
"","0.80000","3.06976","8.44938"
"","0.82000","3.15012","8.67666"
"","0.84000","3.23049","8.90242"
"","0.86000","3.31092","9.12891"
"","0.88000","3.39129","9.35342"
"","0.90000","3.47156","9.57791"
"","0.92000","3.55180","9.80421"
"","0.94000","3.63242","10.02564"
"","0.96000","3.71302","10.24882"
"","0.98000","3.79347","10.47107"
"","1.00000","3.87391","10.69062"
"","1.02000","3.95430","10.90975"
"","1.04000","4.03467","11.12642"
"","1.06000","4.11498","11.34121"
"","1.08000","4.19535","11.55489"
"","1.10000","4.27573","11.76806"
"","1.12000","4.35614","11.97940"
"","1.14000","4.43654","12.18965"
"","1.16000","4.51694","12.39776"
"","1.18000","4.59738","12.60370"
"","1.20000","4.67779","12.81003"
"","1.22000","4.75825","13.01253"
"","1.23900","4.83165","13.08868"
"","1.24000","4.83500","13.08805"
"","1.24100","4.83826","13.08793"
"","1.26100","4.87653","12.96274"
"","1.28100","4.84942","12.71246"
"","1.29400","4.80827","12.44977"
"","1.30500","4.76697","12.17952"
"","1.31500","4.72630","11.92651"
"","1.32600","4.67970","11.65711"
"","1.33700","4.63256","11.39148"
"","1.34800","4.58577","11.12317"
"","1.35900","4.53969","10.86442"
"","1.37100","4.49014","10.60349"
"","1.38300","4.44110","10.34687"
"","1.39500","4.39236","10.09646"
"","1.40800","4.33976","9.84259"
"","1.42200","4.28323","9.57619"
"","1.43600","4.22675","9.31225"
"","1.45100","4.16628","9.04569"
"","1.46600","4.10584","8.77851"
"","1.48100","4.04547","8.51923"
"","1.49700","3.98110","8.25526"
"","1.51300","3.91672","7.99148"
"","1.53000","3.84832","7.72897"
"","1.54700","3.77993","7.46741"
"","1.56400","3.71153","7.21336"
"","1.58200","3.63914","6.95081"
"","1.60000","3.56675","6.69431"
"","1.61900","3.49035","6.43404"
"","1.63800","3.41398","6.17514"
"","1.65800","3.33361","5.91536"
"","1.67800","3.25323","5.65411"
"","1.69800","3.17289","5.40452"
"","1.71800","3.09255","5.15644"
"","1.73800","3.01214","4.91996"
"","1.75800","2.93169","4.68408"
"","1.77800","2.85125","4.45546"
"","1.79800","2.77083","4.22703"
"","1.81800","2.69047","4.00444"
"","1.83800","2.61014","3.78814"
"","1.85800","2.52978","3.57646"
"","1.87800","2.44936","3.36913"
"","1.89800","2.36894","3.16409"
"","1.91800","2.28854","2.96455"
"","1.93800","2.20812","2.77053"
"","1.95800","2.12765","2.58279"
"","1.97800","2.04721","2.39654"
"","1.99800","1.96682","2.21577"
"","2.01800","1.88642","2.03612"
"","2.03800","1.80605","1.86394"
"","2.05800","1.72574","1.69495"
"","2.07800","1.64539","1.53151"
"","2.09800","1.56496","1.37047"
"","2.11800","1.48451","1.21231"
"","2.13800","1.40408","1.05615"
"","2.15800","1.32367","0.90449"
"","2.17800","1.24329","0.75429"
"","2.19800","1.16291","0.60760"
"","2.21800","1.08253","0.46000"
"","2.23800","1.00214","0.31567"
"","2.25800","0.92170","0.17399"
"","2.27800","0.84127","0.03739"
"","2.29800","0.76084","-0.09876"
"","2.31800","0.68043","-0.23322"
"","2.33800","0.60002","-0.36964"
"","2.35800","0.51960","-0.50018"
"","2.37800","0.43918","-0.63174"
"","2.39800","0.35876","-0.76038"
"","2.41800","0.27833","-0.88699"
"","2.43800","0.19783","-1.01133"
"","2.45800","0.11740","-1.13263"
"","2.47800","0.03722","-1.23226"
"","2.48800","-0.00027","-1.20890"
"","2.48900","-0.00365","-1.20682"
"","2.49000","-0.00694","-1.20548"
"","2.51000","-0.04614","-1.14105"
"","2.53000","-0.01982","-1.16518"
"","2.55000","0.04641","-1.08703"
"","2.57000","0.12776","-0.94225"
"","2.59000","0.21346","-0.78885"
"","2.61000","0.29779","-0.61159"
"","2.63000","0.38013","-0.44445"
"","2.65000","0.46141","-0.27208"
"","2.67000","0.54221","-0.10938"
"","2.69000","0.62286","0.06125"
"","2.71000","0.70347","0.22684"
"","2.73000","0.78402","0.40238"
"","2.75000","0.86461","0.56935"
"","2.77000","0.94516","0.74381"
"","2.79000","1.02568","0.91115"
"","2.81000","1.10612","1.08729"
"","2.83000","1.18647","1.26223"
"","2.85000","1.26681","1.44146"
"","2.87000","1.34716","1.61884"
"","2.89000","1.42758","1.79748"
"","2.91000","1.50802","1.97796"
"","2.93000","1.58847","2.16358"
"","2.95000","1.66893","2.34893"
"","2.97000","1.74937","2.53675"
"","2.99000","1.82975","2.72771"
"","3.01000","1.91010","2.91886"
"","3.03000","1.99051","3.11741"
"","3.05000","2.07090","3.31733"
"","3.07000","2.15130","3.52313"
"","3.09000","2.23172","3.72933"
"","3.11000","2.31217","3.93768"
"","3.13000","2.39258","4.15037"
"","3.15000","2.47291","4.36891"
"","3.17000","2.55327","4.58961"
"","3.19000","2.63364","4.81374"
"","3.21000","2.71402","5.03874"
"","3.23000","2.79435","5.26942"
"","3.25000","2.87474","5.50342"
"","3.27000","2.95519","5.74208"
"","3.29000","3.03562","5.98360"
"","3.31000","3.11598","6.22695"
"","3.33000","3.19635","6.47363"
"","3.35000","3.27675","6.72601"
"","3.37000","3.35713","6.98302"
"","3.38900","3.43349","7.23349"
"","3.40800","3.50982","7.48419"
"","3.42700","3.58620","7.74184"
"","3.44600","3.66267","8.00448"
"","3.46400","3.73505","8.25855"
"","3.48200","3.80746","8.51955"
"","3.50000","3.87988","8.78231"
"","3.51700","3.94824","9.03688"
"","3.53400","4.01660","9.29362"
"","3.55100","4.08491","9.55643"
"","3.56700","4.14916","9.80883"
"","3.58300","4.21344","10.06628"
"","3.59900","4.27773","10.32854"
"","3.61500","4.34205","10.59473"
"","3.63000","4.40236","10.84608"
"","3.64500","4.46266","11.10266"
"","3.66000","4.52299","11.36204"
"","3.67500","4.58335","11.62323"
"","3.69000","4.64368","11.88889"
"","3.70500","4.70396","12.15507"
"","3.72000","4.76424","12.41884"
"","3.73800","4.83327","12.61123"
"","3.73900","4.83658","12.61790"
"","3.74000","4.83978","12.62478"
"","3.76000","4.87689","12.61532"
"","3.78000","4.84906","12.43388"
"","3.79400","4.80415","12.17235"
"","3.80500","4.76239","11.91194"
"","3.81600","4.71729","11.64042"
"","3.82700","4.67052","11.37661"
"","3.83800","4.62341","11.11549"
"","3.84900","4.57678","10.85165"
"","3.86000","4.53086","10.59875"
"","3.87200","4.48145","10.34154"
"","3.88400","4.43250","10.08946"
"","3.89700","4.37975","9.82701"
"","3.91100","4.32313","9.55785"
"","3.92500","4.26662","9.29494"
"","3.93900","4.21017","9.03847"
"","3.95400","4.14970","8.77431"
"","3.96900","4.08927","8.51272"
"","3.98400","4.02888","8.25939"
"","4.00000","3.96450","7.99928"
"","4.01600","3.90012","7.74264"
"","4.03300","3.83174","7.48213"
"","4.05000","3.76336","7.22410"
"","4.06800","3.69095","6.96191"
"","4.08600","3.61858","6.70150"
"","4.10500","3.54217","6.43884"
"","4.12400","3.46579","6.17893"
"","4.14400","3.38541","5.91678"
"","4.16400","3.30501","5.65701"
"","4.18400","3.22463","5.40551"
"","4.20400","3.14430","5.15598"
"","4.22400","3.06394","4.91665"
"","4.24400","2.98353","4.68066"
"","4.26400","2.90309","4.45027"
"","4.28400","2.82265","4.22114"
"","4.30400","2.74227","4.00088"
"","4.32400","2.66191","3.78174"
"","4.34400","2.58155","3.56969"
"","4.36400","2.50116","3.36043"
"","4.38400","2.42073","3.15644"
"","4.40400","2.34032","2.95487"
"","4.42400","2.25993","2.75865"
"","4.44400","2.17953","2.56825"
"","4.46400","2.09906","2.38449"
"","4.48400","2.01861","2.20166"
"","4.50400","1.93822","2.02377"
"","4.52400","1.85786","1.84830"
"","4.54400","1.77752","1.67939"
"","4.56400","1.69718","1.51433"
"","4.58400","1.61679","1.35287"
"","4.60400","1.53636","1.19390"
"","4.62400","1.45589","1.03847"
"","4.64400","1.37544","0.88608"
"","4.66400","1.29503","0.73577"
"","4.68400","1.21467","0.58818"
"","4.70400","1.13429","0.44439"
"","4.72400","1.05391","0.30074"
"","4.74400","0.97350","0.15935"
"","4.76400","0.89306","0.02270"
"","4.78400","0.81263","-0.11457"
"","4.80400","0.73221","-0.24670"
"","4.82400","0.65183","-0.37989"
"","4.84400","0.57143","-0.51167"
"","4.86400","0.49102","-0.64088"
"","4.88400","0.41059","-0.76689"
"","4.90400","0.33015","-0.89138"
"","4.92400","0.24970","-1.01474"
"","4.94400","0.16924","-1.13596"
"","4.96400","0.08885","-1.25491"
"","4.98400","0.00996","-1.29546"
"","4.98700","-0.00066","-1.28517"
"","4.98800","-0.00403","-1.28306"
"","4.98900","-0.00731","-1.28168"
"","5.00900","-0.04625","-1.21833"
"","5.02900","-0.01981","-1.24318"
"","5.04900","0.04643","-1.16842"
"","5.06900","0.12777","-1.02671"
"","5.08900","0.21348","-0.87834"
"","5.10900","0.29782","-0.70499"
"","5.12900","0.38016","-0.54227"
"","5.14900","0.46140","-0.37439"
"","5.16900","0.54220","-0.21782"
"","5.18900","0.62287","-0.05185"
"","5.20900","0.70351","0.10951"
"","5.22900","0.78409","0.28126"
"","5.24900","0.86465","0.44369"
"","5.26900","0.94516","0.61487"
"","5.28900","1.02567","0.77869"
"","5.30900","1.10613","0.95193"
"","5.32900","1.18652","1.12545"
"","5.34900","1.26689","1.30067"
"","5.36900","1.34726","1.47353"
