Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-2.40431913414E-05	0	-0.00529065845	10849.96484375	
0.00208	-7.0905782578125E-07	-2.37750132441937E-05	0	-0.0027121787	10849.96484375	
0.006176	-1.942388710625E-06	-2.32471443009094E-05	0	0.00464508352	10849.96484375	
0.010272	-4.94100385625E-07	-2.39510111451187E-05	0	-0.01058895684	10849.96484375	
0.014368	7.616314234375E-07	-2.43637217901E-05	0	-0.00095117253	10849.96484375	
0.018464	-1.05695789375E-06	-2.33956556908594E-05	0	0.00982878281	10849.96484375	
0.02256	-1.5369776984375E-06	-2.33043226091156E-05	0	-0.00497360094	10849.96484375	
0.026656	-3.161730446875E-07	-2.39665945429969E-05	0	-0.00559243608	10849.96484375	
0.030752	4.6767643828125E-07	-2.41323253868812E-05	0	0.00705548459	10849.96484375	
0.034848	3.140518143125E-06	-2.49143738836781E-05	0	-0.00480934223	10849.96484375	
0.038944	4.923814575625E-06	-2.51676488707875E-05	0	-0.00357931189	10849.96484375	
0.04304	2.92391492078125E-06	-2.38909931762906E-05	0	0.00337303351	10849.96484375	
0.047136	2.06591380703125E-06	-2.35692483057281E-05	0	-0.00200548425	10849.96484375	
0.051232	3.22948181359375E-06	-2.42518050750937E-05	0	-0.00726940291	10849.96484375	
0.055328	2.612404925625E-06	-2.39584277242406E-05	0	0.00458014403	10849.96484375	
0.059424	2.3375593003125E-06	-2.39020150402688E-05	0	0.00018717853	10849.96484375	
0.06352	2.4591643175E-06	-2.41050513756937E-05	0	-0.00490484148	10849.96484375	
0.067616	4.3457792984375E-07	-2.33821484928281E-05	0	0.00827787499	10849.96484375	
0.071712	-3.8557019359375E-07	-2.32859798389969E-05	0	-0.00307507585	10849.96484375	
0.075808	1.69049260359375E-06	-2.43307980249469E-05	0	-0.00880121088	10849.96484375	
0.079904	1.66562300609375E-06	-2.41610679062156E-05	0	0.00256701984	10849.96484375	
0.084	4.6292195640625E-07	-2.35443858305906E-05	0	0.00406444808	10849.96484375	
0.088096	0.000000301361005	-2.36514823581094E-05	0	-0.00864841208	10849.96484375	
0.092192	-1.34158677984375E-06	-2.31627362122406E-05	0	-0.00061501517	10849.96484375	
0.096288	-1.87061432078125E-06	-2.31768770634844E-05	0	0.00063411502	10849.96484375	
0.100384	2.501588925E-07	-2.42194512612937E-05	0	-0.01255242142	10849.96484375	
0.10448	3.531117115625E-07	-2.40883975461937E-05	0	0.00715862378	10849.96484375	
0.108576	-1.1569848778125E-06	-2.33189146618313E-05	0	0.00356403201	10849.96484375	
0.112672	-4.7901404890625E-07	-2.37516298541156E-05	0	-0.0040873679	10849.96484375	
0.116768	-3.291564375E-08	-2.39454178814812E-05	0	0.000763994	10849.96484375	
0.120864	2.65885255625E-07	-2.39260546796906E-05	0	0.0021009835	10849.96484375	
0.12496	2.176455510625E-06	-2.45630501965406E-05	0	-0.00631823038	10849.96484375	
0.129056	1.7681186634375E-06	-2.41508381087531E-05	0	0.00200548425	10849.96484375	
0.133152	-6.0573927734375E-07	-2.3094598059225E-05	0	0.00364425138	10849.96484375	
0.137248	-3.487229590625E-07	-2.34877664160562E-05	0	-0.00950790533	10849.96484375	
0.141344	7.715061165625E-07	-2.41098696401062E-05	0	0.00152034806	10849.96484375	
0.14544	1.020750685625E-06	-2.40405348536719E-05	0	0.00311327555	10849.96484375	
0.149536	2.6294113415625E-06	-2.45308271518406E-05	0	-0.00296047675	10849.96484375	
0.153632	2.8960280559375E-06	-2.43953669507625E-05	0	-0.00339595333	10849.96484375	
0.157728	1.079998844375E-06	-2.34880680984469E-05	0	0.0042401667	10849.96484375	
0.161824	1.788050914375E-06	-2.38987309089375E-05	0	-0.00924814737	10849.96484375	
0.16592	3.3645273853125E-06	-2.45662417798875E-05	0	-0.00591331356	10849.96484375	
0.170016	2.40659071984375E-06	-2.39667298794E-05	0	0.00927488716	10849.96484375	
0.174112	1.85689946921875E-06	-2.37932201971406E-05	0	-0.00040873679	10849.96484375	
0.178208	1.44325954609375E-06	-2.38339461179531E-05	0	-0.00399186865	10849.96484375	
0.182304	-3.6362643109375E-07	-2.32407993553313E-05	0	0.00246006068	10849.96484375	
0.1864	3.9654207484375E-07	-2.3754282014925E-05	0	-0.00428218637	10849.96484375	
0.190496	2.35282850171875E-06	-2.45707441792312E-05	0	-0.00438150559	10849.96484375	
0.194592	1.48348977734375E-06	-2.39494984062469E-05	0	0.00687212603	10849.96484375	
0.198688	8.09359106875E-07	-2.36650234503375E-05	0	-0.00161584731	10849.96484375	
0.202784	1.1474759140625E-06	-2.3939689521825E-05	0	-0.00655124855	10849.96484375	
0.20688	3.2120182359375E-07	-2.36122689357844E-05	0	0.00054625571	10849.96484375	
0.210976	7.8256943015625E-07	-2.38504456206844E-05	0	-0.00264723921	10849.96484375	
0.215072	2.130373609375E-06	-2.43950703164437E-05	0	-0.00706312453	10849.96484375	
0.219168	9.50896375E-08	-2.3466866917725E-05	0	0.00723884315	10849.96484375	
0.223264	-1.783662161875E-06	-2.29228686636469E-05	0	-0.00018717853	10849.96484375	
0.22736	-4.730709465625E-07	-2.37985697110219E-05	0	-0.00703638474	10849.96484375	
0.231456	2.338839353125E-07	-2.40790112575031E-05	0	0.00547019704	10849.96484375	
0.235552	7.8860396484375E-07	-2.40842304830531E-05	0	-0.0000763994	10849.96484375	
0.239648	2.38117252828125E-06	-2.4564611973825E-05	0	-0.00416758727	10849.96484375	
0.243744	1.3105912153125E-06	-2.38816720317656E-05	0	0.00464126355	10849.96484375	
0.24784	-5.02877890625E-07	-2.31495761292469E-05	0	-0.00328899417	10849.96484375	
0.251936	5.32867699375E-07	-2.3847458844825E-05	0	-0.00858347259	10849.96484375	
0.256032	8.1767945015625E-07	-2.40112755079312E-05	0	-0.00243714086	10849.96484375	
0.260128	-2.0435128828125E-07	-2.35184226354E-05	0	0.00585219404	10849.96484375	
0.264224	1.3504557171875E-07	-2.37718610838844E-05	0	-0.0058827538	10849.96484375	
0.26832	-0.000000277954325	-2.36594352347719E-05	0	-0.00042401667	10849.96484375	
0.272416	-7.6922030796875E-07	-2.34737346993187E-05	0	0.0048131622	10849.96484375	
0.276512	1.59448864265625E-06	-2.44593899636625E-05	0	-0.01010764062	10849.96484375	
0.280608	2.782103355625E-06	-2.4684634930725E-05	0	-0.00001909985	10849.96484375	
0.284704	9.1002611734375E-07	-2.36098920150844E-05	0	0.00555805635	10849.96484375	
0.2888	9.024372328125E-08	-2.34060217862625E-05	0	-0.00530593833	10849.96484375	
0.292896	-6.55021310625E-07	-2.33878713236437E-05	0	-0.0037817703	10849.96484375	
0.296992	-1.918982030625E-06	-2.30691812577187E-05	0	0.00299867645	10849.96484375	
0.301088	-3.7916992953125E-07	-2.39015809060875E-05	0	-0.00495068112	10849.96484375	
0.305184	1.02102498265625E-06	-2.44066239106594E-05	0	-0.00009167928	10849.96484375	
