Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","-0.00057"
"","0.02000","0.00146","0.07350"
"","0.04000","0.02822","0.23844"
"","0.06000","0.08812","0.46881"
"","0.07500","0.14488","0.73737"
"","0.09000","0.20768","1.00132"
"","0.10400","0.26815","1.26651"
"","0.11700","0.32401","1.52970"
"","0.13100","0.38318","1.78685"
"","0.14500","0.44143","2.04541"
"","0.15900","0.49911","2.31356"
"","0.17400","0.56062","2.57286"
"","0.18800","0.61789","2.82554"
"","0.20200","0.67511","3.07980"
"","0.21700","0.73640","3.33485"
"","0.23100","0.79359","3.58904"
"","0.24600","0.85482","3.85444"
"","0.26100","0.91604","4.11522"
"","0.27500","0.97319","4.37101"
"","0.29000","1.03439","4.63090"
"","0.30500","1.09557","4.89850"
"","0.31900","1.15263","5.15369"
"","0.33400","1.21373","5.41513"
"","0.34800","1.27076","5.67110"
"","0.36200","1.32777","5.92988"
"","0.37600","1.38479","6.18192"
"","0.39000","1.44181","6.44572"
"","0.40400","1.49886","6.70693"
"","0.41800","1.55593","6.96831"
"","0.43100","1.60894","7.22113"
"","0.44500","1.66604","7.48910"
"","0.45800","1.71905","7.74291"
"","0.47100","1.77203","8.00318"
"","0.48400","1.82502","8.25949"
"","0.49700","1.87800","8.51900"
"","0.51000","1.93097","8.78617"
"","0.52300","1.98395","9.05074"
"","0.53600","2.03693","9.31563"
"","0.54900","2.08989","9.58475"
"","0.56200","2.14285","9.84896"
"","0.57500","2.19584","10.10667"
"","0.58900","2.25292","10.37565"
"","0.60300","2.30997","10.63221"
"","0.61700","2.36702","10.88316"
"","0.63100","2.42407","11.13615"
"","0.64500","2.48113","11.39310"
"","0.65900","2.53817","11.66207"
"","0.67200","2.59114","11.92066"
"","0.68500","2.64411","12.18774"
"","0.69700","2.69300","12.44278"
"","0.70900","2.74189","12.70192"
"","0.72100","2.79077","12.96492"
"","0.73300","2.83964","13.22920"
"","0.74500","2.88853","13.49132"
"","0.75700","2.93745","13.75173"
"","0.76900","2.98639","14.01024"
"","0.78100","3.03533","14.26780"
"","0.79300","3.08427","14.52102"
"","0.80500","3.13317","14.77214"
"","0.81700","3.18205","15.02230"
"","0.83000","3.23499","15.29320"
"","0.84200","3.28386","15.54566"
"","0.85400","3.33275","15.79902"
"","0.86600","3.38165","16.05350"
"","0.87800","3.43055","16.30727"
"","0.89000","3.47944","16.55911"
"","0.90300","3.53239","16.82923"
"","0.91600","3.58534","17.09944"
"","0.92900","3.63830","17.36852"
"","0.94200","3.69128","17.63499"
"","0.95500","3.74428","17.90183"
"","0.96800","3.79728","18.17079"
"","0.98100","3.85027","18.43736"
"","0.99400","3.90325","18.70209"
"","1.00700","3.95622","18.96563"
"","1.02000","4.00915","19.22930"
"","1.03300","4.06203","19.48703"
"","1.04600","4.11496","19.74910"
"","1.05900","4.16795","20.00825"
"","1.07200","4.22095","20.26732"
"","1.08500","4.27394","20.52423"
"","1.09800","4.32691","20.77901"
"","1.11100","4.37989","21.03387"
"","1.12400","4.43287","21.28649"
"","1.13700","4.48582","21.54216"
"","1.15100","4.54281","21.81049"
"","1.16500","4.59979","22.07629"
"","1.17800","4.65272","22.32675"
"","1.19200","4.70983","22.59063"
"","1.20600","4.76700","22.85555"
"","1.22000","4.82416","23.12088"
"","1.23700","4.89060","23.30769"
"","1.23800","4.89403","23.31204"
"","1.23900","4.89736","23.31669"
"","1.25900","4.93690","23.16529"
"","1.27000","4.92990","22.89402"
"","1.27800","4.91273","22.62996"
"","1.28500","4.89230","22.34877"
"","1.29100","4.87211","22.07991"
"","1.29700","4.85011","21.79459"
"","1.30300","4.82671","21.49824"
"","1.30900","4.80222","21.19881"
"","1.31500","4.77694","20.90253"
"","1.32100","4.75115","20.61139"
"","1.32700","4.72509","20.32541"
"","1.33300","4.69899","20.03964"
"","1.33900","4.67297","19.75758"
"","1.34500","4.64714","19.47674"
"","1.35100","4.62153","19.20427"
"","1.35700","4.59613","18.93966"
"","1.36300","4.57093","18.68494"
"","1.37000","4.54174","18.39523"
"","1.37700","4.51271","18.11067"
"","1.38400","4.48381","17.83035"
"","1.39100","4.45501","17.55545"
"","1.39800","4.42628","17.28921"
"","1.40500","4.39758","17.03085"
"","1.41200","4.36892","16.77841"
"","1.41900","4.34028","16.52686"
"","1.42600","4.31165","16.27602"
"","1.43400","4.27895","15.99509"
"","1.44200","4.24626","15.72266"
"","1.45000","4.21358","15.45581"
"","1.45800","4.18090","15.19269"
"","1.46600","4.14824","14.92871"
"","1.47400","4.11558","14.67048"
"","1.48200","4.08295","14.42048"
"","1.49100","4.04625","14.14550"
"","1.50000","4.00956","13.87128"
"","1.50900","3.97286","13.60015"
"","1.51800","3.93617","13.33568"
"","1.52700","3.89947","13.08064"
"","1.53600","3.86277","12.82869"
"","1.54500","3.82605","12.57749"
"","1.55500","3.78525","12.30329"
"","1.56500","3.74446","12.03637"
"","1.57500","3.70369","11.77393"
"","1.58500","3.66293","11.51431"
"","1.59500","3.62218","11.25875"
"","1.60600","3.57736","10.98659"
"","1.61700","3.53254","10.72449"
"","1.62800","3.48773","10.47138"
"","1.64000","3.43886","10.20406"
"","1.65200","3.38998","9.94470"
"","1.66500","3.33704","9.67553"
"","1.67800","3.28408","9.41832"
"","1.69100","3.23112","9.16529"
"","1.70400","3.17816","8.90440"
"","1.71600","3.12926","8.64768"
"","1.72800","3.08036","8.37837"
"","1.74000","3.03143","8.10729"
"","1.75200","2.98250","7.84616"
"","1.76400","2.93358","7.59554"
"","1.77700","2.88059","7.32961"
"","1.79000","2.82761","7.06501"
"","1.80300","2.77463","6.80185"
"","1.81600","2.72167","6.54327"
"","1.82900","2.66873","6.28743"
"","1.84200","2.61578","6.03446"
"","1.85600","2.55875","5.76791"
"","1.87000","2.50169","5.50358"
"","1.88400","2.44461","5.24258"
"","1.89800","2.38754","4.98685"
"","1.91200","2.33045","4.73371"
"","1.92700","2.26928","4.46790"
"","1.94200","2.20812","4.21072"
"","1.95700","2.14697","3.95497"
"","1.97300","2.08176","3.69130"
"","1.98900","2.01658","3.43000"
"","2.00500","1.95142","3.17549"
