Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-3.32174590902E-05	0	-0.00460306385	8449.984375	
0.00208	7.1527522515625E-07	-3.35783325274031E-05	0	-0.00988226239	8449.984375	
0.006176	1.00383570203125E-06	-3.35057251480875E-05	0	0.00129496983	8449.984375	
0.010272	2.2764824946875E-06	-3.39365509191844E-05	0	0.00051951592	8449.984375	
0.014368	3.41289509515625E-06	-3.42030843064969E-05	0	-0.00040491682	8449.984375	
0.018464	1.5965915865625E-06	-3.29375257162875E-05	0	0.00298721654	8449.984375	
0.02256	1.4053151234375E-06	-3.30562426648781E-05	0	-0.00324315453	8449.984375	
0.026656	3.55424949859375E-06	-3.42836859085875E-05	0	-0.00626857077	8449.984375	
0.030752	3.5446491025E-06	-3.3879887273925E-05	0	0.00453430439	8449.984375	
0.034848	2.28288275875E-06	-3.30688306330594E-05	0	0.00362515153	8449.984375	
0.038944	1.6163409728125E-06	-3.29858905717687E-05	0	-0.00367099117	8449.984375	
0.04304	-3.7423258296875E-07	-3.22897237198594E-05	0	0.00196728455	8449.984375	
0.047136	-1.40101780328125E-06	-3.22850992052531E-05	0	-0.00125295016	8449.984375	
0.051232	-1.0606151875E-08	-3.34247949405562E-05	0	-0.00698290516	8449.984375	
0.055328	-6.764164790625E-07	-3.30016333444875E-05	0	0.0032469745	8449.984375	
0.059424	-2.64266903140625E-06	-3.20768277789094E-05	0	0.0043547658	8449.984375	
0.06352	-2.447826706875E-06	-3.26331750591E-05	0	-0.00501944058	8449.984375	
0.067616	-2.70685453671875E-06	-3.26816735682937E-05	0	-0.0004201967	8449.984375	
0.071712	-2.50021743984375E-06	-3.28394133144E-05	0	0.00127586998	8449.984375	
0.075808	-2.730169784375E-07	-3.39298547720344E-05	0	-0.0055007568	8449.984375	
0.079904	-3.783470384375E-07	-3.34408956456094E-05	0	0.00265487915	8449.984375	
0.084	-2.85351201609375E-06	-3.20214643727344E-05	0	0.00662382798	8449.984375	
