Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-4.6141953858E-06	0	0.12511038793	10299.96875	
0.00208	4.7334524359375E-07	-4.60172208096562E-06	0	0.12543845127	10299.96875	
0.006176	1.4118982521875E-06	-4.58756031628125E-06	0	0.12723135557	10299.96875	
0.010272	1.87427161453125E-06	-4.5483416055E-06	0	0.12760900988	10299.96875	
0.014368	1.92675377984375E-06	-4.476512831175E-06	0	0.12892126324	10299.96875	
0.018464	1.83349278921875E-06	-4.40957996541562E-06	0	0.12682699843	10299.96875	
0.02256	1.7862222675E-06	-4.36952375547187E-06	0	0.12701773293	10299.96875	
0.026656	1.60600911796875E-06	-4.3333812435375E-06	0	0.12725424371	10299.96875	
0.030752	9.8609782734375E-07	-4.27194596843438E-06	0	0.12698721541	10299.96875	
0.034848	-1.3029108984375E-07	-4.18084509799688E-06	0	0.12750982794	10299.96875	
0.038944	-1.439145090625E-06	-4.08672716326875E-06	0	0.12661337579	10299.96875	
0.04304	-2.53295021890625E-06	-4.0302575082E-06	0	0.12677740746	10299.96875	
0.047136	-3.59283394765625E-06	-3.99721667585625E-06	0	0.12747549573	10299.96875	
0.051232	-4.69843384828125E-06	-3.9548604682125E-06	0	0.12792181446	10299.96875	
0.055328	-5.49389523890625E-06	-3.9340547197875E-06	0	0.12401938659	10299.96875	
0.059424	-5.9037864359375E-06	-3.95923330037813E-06	0	0.12789129694	10299.96875	
0.06352	-6.0961600871875E-06	-3.997524848625E-06	0	0.12731909344	10299.96875	
0.067616	-6.35418216125E-06	-4.02478443675E-06	0	0.12723517026	10299.96875	
0.071712	-6.86647758328125E-06	-4.01229526654688E-06	0	0.12697577134	10299.96875	
0.075808	-7.40812278765625E-06	-3.99182221009687E-06	0	0.12587332593	10299.96875	
0.079904	-7.7481596740625E-06	-3.98859913639687E-06	0	0.12845205637	10299.96875	
0.084	-7.8860396484375E-06	-4.00927844264062E-06	0	0.12630820059	10299.96875	
0.088096	-8.108585973125E-06	-4.01897122140937E-06	0	0.12841390947	10299.96875	
0.092192	-8.52414597546875E-06	-4.00243421871562E-06	0	0.12788748225	10299.96875	
0.096288	-8.7965229275E-06	-3.99705057025313E-06	0	0.12804006985	10299.96875	
0.100384	-8.8215753896875E-06	-4.01572314773437E-06	0	0.12792944384	10299.96875	
0.10448	-8.83940469671875E-06	-4.03703490526875E-06	0	0.12689184816	10299.98828125	
0.108576	-9.15320050046875E-06	-4.0243488602625E-06	0	0.12679266622	10299.98828125	
0.112672	-9.71002347390625E-06	-3.9830892861375E-06	0	0.12648749102	10299.98828125	
0.116768	-1.02185701698438E-05	-3.9508883568E-06	0	0.12665533738	10299.98828125	
0.120864	-1.05387662376563E-05	-3.9431960568E-06	0	0.12847494451	10299.98828125	
0.12496	-1.05800022246875E-05	-3.96508377529687E-06	0	0.1281354371	10299.98828125	
0.129056	-1.05479094720313E-05	-3.9902113944E-06	0	0.12830709815	10299.98828125	
0.133152	-1.02083297473438E-05	-4.03398178332187E-06	0	0.12823080435	10299.98828125	
0.137248	-9.42438883203125E-06	-4.10681103741563E-06	0	0.1287076406	10299.98828125	
0.141344	-8.23558549859375E-06	-4.20816718605937E-06	0	0.12754034546	10299.98828125	
0.14544	-6.99740869953125E-06	-4.29612863655938E-06	0	0.12655234075	10299.98828125	
0.149536	-0.00000581655998	-4.35672857595938E-06	0	0.12757086298	10299.98828125	
0.153632	-4.57445159015625E-06	-4.40841530311875E-06	0	0.12772726527	10299.98828125	
0.157728	-3.07441255859375E-06	-4.47486115013438E-06	0	0.12723517026	10299.98828125	
0.161824	-1.42021859546875E-06	-4.5523425630375E-06	0	0.12613653954	10299.98828125	
0.16592	7.77174921875E-09	-4.59822544984687E-06	0	0.12682318374	10299.98828125	
0.170016	1.0898735375E-06	-4.60380236734687E-06	0	0.12805151392	10299.98828125	
0.174112	1.957017885625E-06	-4.58826896941875E-06	0	0.12727331716	10299.98828125	
0.178208	2.78402343484375E-06	-4.57921681500937E-06	0	0.12696814196	10299.98828125	
0.182304	3.321919913125E-06	-4.55778943259062E-06	0	0.12820410152	10299.98828125	
0.1864	3.31433102859375E-06	-4.496685887925E-06	0	0.12709021204	10299.98828125	
0.190496	2.59091832484375E-06	-4.38481941325312E-06	0	0.12760519519	10299.98828125	
0.194592	1.3398495653125E-06	-4.25240103605625E-06	0	0.12635016218	10299.98828125	
0.198688	-1.20324964375E-07	-4.12950091857187E-06	0	0.12654852606	10299.98828125	
0.202784	-1.6880239303125E-06	-4.02704717487187E-06	0	0.12774252403	10299.98828125	
0.20688	-3.4994815246875E-06	-3.9268989577125E-06	0	0.12863516149	10299.98828125	
0.210976	-5.46701412984375E-06	-3.82594641443437E-06	0	0.12907766553	10299.98828125	
0.215072	-7.04458778890625E-06	-3.7698260378625E-06	0	0.12469077203	10299.98828125	
0.219168	-0.000008095785445	-3.7700375761125E-06	0	0.12686514533	10299.98828125	
0.223264	-9.0139490409375E-06	-3.7860375601125E-06	0	0.12773489465	10299.98828125	
0.22736	-1.00643238059375E-05	-3.77984453745937E-06	0	0.12711310018	10299.98828125	
0.231456	-0.000011074285475	-3.7625962374E-06	0	0.12637305032	10299.98828125	
0.235552	-1.16304684220312E-05	-3.78402530250937E-06	0	0.12765478616	10299.98828125	
0.239648	-1.15681115635937E-05	-3.85626657642187E-06	0	0.12955450178	10299.98828125	
0.243744	-1.11936046835938E-05	-3.947497975575E-06	0	0.12813925179	10299.98828125	
0.24784	-0.00001075536946	-4.01908756744687E-06	0	0.12910055367	10299.98828125	
0.251936	-1.01382011396875E-05	-4.0809564959625E-06	0	0.1282498778	10299.98828125	
0.256032	-9.13930278421875E-06	-4.16481626787187E-06	0	0.12820410152	10299.98828125	
0.260128	-7.88283951640625E-06	-4.2568909354125E-06	0	0.12749075449	10299.98828125	
0.264224	-6.79954910765625E-06	-4.32382115694375E-06	0	0.12867712308	10299.98828125	
0.26832	-6.165831533125E-06	-4.32696033649688E-06	0	0.12692999506	10299.98828125	
0.272416	-5.81628568296875E-06	-4.30003247880937E-06	0	0.12565207391	10299.98828125	
0.276512	-5.53522265828125E-06	-4.27180702626562E-06	0	0.12669348428	10299.98828125	
0.280608	-5.24849082828125E-06	-4.25767314616875E-06	0	0.12658285827	10299.98828125	
0.284704	-5.142520741875E-06	-4.2352774954875E-06	0	0.12736868441	10299.98828125	
0.2888	-5.22544987765625E-06	-4.19967128109375E-06	0	0.12821554559	10299.98828125	
0.292896	-5.08372974484375E-06	-4.19016648290625E-06	0	0.12792181446	10299.98828125	
0.296992	-4.52233515421875E-06	-4.22786740674375E-06	0	0.12804769923	10299.98828125	
0.301088	-3.91028704515625E-06	-4.27397000487187E-06	0	0.1277539681	10299.98828125	
0.305184	-3.59758842953125E-06	-4.28325461097188E-06	0	0.12885259882	10299.98828125	
0.30928	-3.57692471984375E-06	-4.2571313197875E-06	0	0.12791418508	10299.96875	
0.313376	-3.5360544621875E-06	-4.23381523733437E-06	0	0.12624335086	10299.96875	
0.317472	-3.28379262578125E-06	-4.24120561455938E-06	0	0.12656378482	10299.96875	
0.321568	-3.20040632828125E-06	-4.24142989318125E-06	0	0.12794088791	10299.96875	
0.325664	-3.39040273859375E-06	-4.2106967508375E-06	0	0.12706350921	10299.96875	
0.32976	-3.39040273859375E-06	-4.19637248631562E-06	0	0.12678503684	10299.96875	
0.333856	-2.866952570625E-06	-4.23810561765938E-06	0	0.12730383468	10299.96875	
0.337952	-0.000002220708765	-4.29581084841562E-06	0	0.12819647214	10299.96875	
0.342048	-1.9473260571875E-06	-4.31040578574375E-06	0	0.12643790005	10299.96875	
0.346144	-2.188890309375E-06	-4.265759195775E-06	0	0.12643027067	10299.96875	
0.35024	-2.6937797115625E-06	-4.20052440524062E-06	0	0.12596487849	10299.96875	
0.354336	-3.1443583015625E-06	-4.154563153125E-06	0	0.12739157255	10299.96875	
0.358432	-3.78447614015625E-06	-4.109832428625E-06	0	0.12779592969	10299.96875	
0.362528	-4.6891991815625E-06	-4.04533802196563E-06	0	0.12815069586	10299.96875	
0.366624	-5.55241193890625E-06	-3.99197797917187E-06	0	0.12847112982	10299.96875	
0.37072	-6.1808264375E-06	-3.97440780443438E-06	0	0.12794851729	10299.96875	
0.374816	-6.7182657540625E-06	-3.9727421811E-06	0	0.12785315004	10299.96875	
0.378912	-7.3963280153125E-06	-3.95768666730937E-06	0	0.12812780772	10299.96875	
0.383008	-8.17780025734375E-06	-3.92966890686562E-06	0	0.12725042902	10299.96875	
0.387104	-9.00160567453125E-06	-3.8974182179625E-06	0	0.12625860962	10299.96875	
0.3912	-9.71587514390625E-06	-3.8808913114125E-06	0	0.12739920193	10299.96875	
0.395296	-1.02811098929688E-05	-3.8768028539625E-06	0	0.12786459411	10299.96875	
0.399392	-1.05415092079688E-05	-3.89901557213437E-06	0	0.12680792498	10299.96875	
0.403488	-1.06451934857812E-05	-3.93203837565E-06	0	0.12740301662	10299.96875	
0.407584	-1.04661689567187E-05	-3.98044000994062E-06	0	0.12731146406	10299.96875	
0.41168	-9.9257123728125E-06	-4.04770244267812E-06	0	0.12915014464	10299.96875	
0.415776	-9.0285782159375E-06	-4.13628432525E-06	0	0.12410330977	10299.96875	
0.419872	-7.99054681734375E-06	-4.21969553991562E-06	0	0.12921499437	10299.96875	
0.423968	-7.02282689109375E-06	-4.27819956795E-06	0	0.12807821675	10299.96875	
0.428064	-6.20249590296875E-06	-4.30908174860625E-06	0	0.12662863455	10299.96875	
0.43216	-5.37119303359375E-06	-4.33347667613437E-06	0	0.12729239061	10299.96875	
0.436256	-4.67521003296875E-06	-4.34690454732187E-06	0	0.12615942768	10299.96875	
0.440352	-4.121404326875E-06	-4.34374397355937E-06	0	0.12895178076	10299.96875	
0.444448	-3.70145557203125E-06	-4.33025696781563E-06	0	0.1278684088	10299.96875	
0.448544	-3.06709797109375E-06	-4.33908628590937E-06	0	0.12852835017	10299.96875	
0.45264	-2.322015801875E-06	-4.36700861375625E-06	0	0.12887548696	10299.96875	
0.456736	-1.61972396953125E-06	-4.39189320425625E-06	0	0.12768530368	10299.96875	
0.460832	-1.2696295253125E-06	-4.38185763736875E-06	0	0.12856649707	10299.96875	
0.464928	-1.2023353203125E-06	-4.34532041429062E-06	0	0.12710165611	10299.96875	
0.469024	-1.346249829375E-06	-4.29754401975937E-06	0	0.12758612174	10299.96875	
0.47312	-1.697350029375E-06	-4.24454719775625E-06	0	0.12762045395	10299.96875	
0.477216	-2.27163658046875E-06	-4.18441672904062E-06	0	0.12941717294	10299.96875	
0.481312	-2.99504928421875E-06	-4.12056967750312E-06	0	0.12488532122	10299.96875	
0.485408	-3.68097472703125E-06	-4.07632621213125E-06	0	0.12742971945	10299.96875	
0.489504	-4.17233214234375E-06	-4.05653969345625E-06	0	0.12969564531	10299.96875	
0.4936	-4.430811378125E-06	-4.07066924663437E-06	0	0.12868856715	10299.96875	
0.497696	-4.76938534703125E-06	-4.07288871556875E-06	0	0.12757849236	10299.96875	
0.501792	-5.31048195734375E-06	-4.05207359215312E-06	0	0.12673163118	10299.96875	
0.505888	-5.7951648115625E-06	-4.03415918699062E-06	0	0.12639212377	10299.96875	
0.509984	-6.3898407753125E-06	-4.01165728641563E-06	0	0.12680792498	10299.96875	
0.51408	-7.081617888125E-06	-3.98165996064375E-06	0	0.1282117309	10299.96875	
0.518176	-7.75209126484375E-06	-3.95402128635938E-06	0	0.12704062107	10299.96875	
0.522272	-8.18529770953125E-06	-3.95415037276875E-06	0	0.12807440206	10299.96875	
