Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00062"
"","0.02000","0.00203","0.09807"
"","0.04000","0.03397","0.23487"
"","0.06000","0.10008","0.42287"
"","0.07700","0.17078","0.67854"
"","0.09500","0.25299","0.93374"
"","0.11100","0.32703","1.19823"
"","0.12800","0.40432","1.45977"
"","0.14500","0.48021","1.72485"
"","0.16200","0.55526","1.98815"
"","0.18000","0.63431","2.24992"
"","0.19700","0.70882","2.51256"
"","0.21500","0.78760","2.76985"
"","0.23200","0.86202","3.03267"
"","0.24900","0.93641","3.28330"
"","0.26600","1.01078","3.54159"
"","0.28300","1.08516","3.79962"
"","0.30000","1.15951","4.05590"
"","0.31700","1.23385","4.32035"
"","0.33400","1.30819","4.57957"
"","0.35000","1.37813","4.83234"
"","0.36700","1.45244","5.09653"
"","0.38300","1.52237","5.35015"
"","0.39900","1.59229","5.60752"
"","0.41500","1.66218","5.86285"
"","0.43100","1.73204","6.12236"
"","0.44700","1.80195","6.38515"
"","0.46300","1.87188","6.65032"
"","0.47800","1.93747","6.90143"
"","0.49300","2.00307","7.15550"
"","0.50800","2.06865","7.40917"
"","0.52300","2.13424","7.66491"
"","0.53800","2.19980","7.92275"
"","0.55300","2.26530","8.18264"
"","0.56800","2.33079","8.44517"
"","0.58300","2.39633","8.70709"
"","0.59800","2.46186","8.97243"
"","0.61300","2.52741","9.23764"
"","0.62800","2.59296","9.50460"
"","0.64300","2.65853","9.77164"
"","0.65700","2.71976","10.02749"
"","0.67200","2.78537","10.29452"
"","0.68600","2.84657","10.55010"
"","0.70000","2.90777","10.80349"
"","0.71400","2.96894","11.05831"
"","0.72800","3.03009","11.31240"
"","0.74200","3.09122","11.56907"
"","0.75600","3.15235","11.82510"
"","0.77000","3.21348","12.08531"
"","0.78400","3.27462","12.34363"
"","0.79800","3.33578","12.60378"
"","0.81200","3.39695","12.86449"
"","0.82600","3.45815","13.12312"
"","0.84000","3.51934","13.38193"
"","0.85400","3.58054","13.64018"
"","0.86800","3.64174","13.89597"
"","0.88200","3.70294","14.15048"
"","0.89600","3.76411","14.40326"
"","0.91000","3.82527","14.65418"
"","0.92500","3.89079","14.91955"
"","0.94000","3.95628","15.18378"
"","0.95500","4.02179","15.44623"
"","0.97000","4.08733","15.70865"
"","0.98500","4.15289","15.96614"
"","1.00000","4.21847","16.22576"
"","1.01500","4.28407","16.48355"
"","1.03000","4.34968","16.73758"
"","1.04500","4.41530","16.99029"
"","1.06000","4.48087","17.24111"
"","1.07600","4.55076","17.50676"
"","1.09200","4.62058","17.77072"
"","1.10800","4.69032","18.03349"
"","1.12400","4.76013","18.29468"
"","1.14000","4.83006","18.55304"
"","1.15600","4.90004","18.81178"
"","1.17200","4.97007","19.06854"
"","1.18800","5.04007","19.32320"
"","1.20400","5.11002","19.57689"
"","1.22100","5.18428","19.83826"
"","1.23500","5.24204","19.92668"
"","1.23600","5.24567","19.92893"
"","1.23700","5.24919","19.93123"
"","1.25700","5.29039","19.79065"
"","1.27100","5.27624","19.52102"
"","1.28100","5.24802","19.24387"
"","1.28900","5.21942","18.97195"
"","1.29600","5.19160","18.71122"
"","1.30300","5.16190","18.43733"
"","1.31000","5.13081","18.16154"
"","1.31700","5.09883","17.89146"
"","1.32400","5.06636","17.62741"
"","1.33100","5.03378","17.36593"
"","1.33800","5.00132","17.10448"
"","1.34500","4.96912","16.84644"
"","1.35200","4.93722","16.59577"
"","1.36000","4.90111","16.32230"
"","1.36800","4.86530","16.06021"
"","1.37600","4.82974","15.80167"
"","1.38400","4.79436","15.54645"
"","1.39300","4.75471","15.26802"
"","1.40200","4.71516","15.00190"
"","1.41100","4.67569","14.74392"
"","1.42000","4.63627","14.48672"
"","1.42900","4.59689","14.23190"
"","1.43900","4.55315","13.95813"
"","1.44900","4.50940","13.69209"
"","1.45900","4.46563","13.42726"
"","1.46900","4.42185","13.16694"
"","1.47900","4.37804","12.91469"
"","1.49000","4.32985","12.64288"
"","1.50100","4.28166","12.37463"
"","1.51200","4.23349","12.11400"
"","1.52300","4.18535","11.86196"
"","1.53500","4.13287","11.59025"
"","1.54700","4.08041","11.32380"
"","1.55900","4.02796","11.06491"
"","1.57100","3.97550","10.80986"
"","1.58300","3.92304","10.55921"
"","1.59600","3.86623","10.29246"
"","1.60900","3.80942","10.03179"
"","1.62200","3.75263","9.77591"
"","1.63500","3.69584","9.52572"
"","1.64900","3.63468","9.25943"
"","1.66300","3.57349","8.99706"
"","1.67700","3.51232","8.74187"
"","1.69100","3.45114","8.48710"
"","1.70600","3.38560","8.22122"
"","1.72100","3.32004","7.96162"
"","1.73600","3.25448","7.70702"
"","1.75100","3.18894","7.45441"
"","1.76700","3.11908","7.19023"
"","1.78300","3.04921","6.92928"
"","1.79900","2.97928","6.66852"
"","1.81500","2.90933","6.41265"
"","1.83100","2.83938","6.16122"
"","1.84700","2.76948","5.91118"
"","1.86400","2.69520","5.65038"
"","1.88100","2.62088","5.39148"
"","1.89800","2.54652","5.13697"
"","1.91500","2.47216","4.88421"
"","1.93300","2.39350","4.62006"
"","1.95100","2.31488","4.35998"
"","1.96900","2.23627","4.10187"
"","1.98700","2.15765","3.84886"
"","2.00500","2.07902","3.59358"
"","2.02400","1.99600","3.33098"
"","2.04300","1.91292","3.07295"
"","2.06200","1.82982","2.82255"
"","2.08200","1.74241","2.56111"
"","2.10200","1.65504","2.30855"
"","2.12200","1.56762","2.05809"
"","2.14200","1.48021","1.81779"
"","2.16200","1.39283","1.58223"
"","2.18200","1.30543","1.35529"
"","2.20200","1.21802","1.13204"
"","2.22200","1.13060","0.91423"
"","2.24200","1.04320","0.70220"
"","2.26200","0.95577","0.49413"
"","2.28200","0.86834","0.29326"
"","2.30200","0.78094","0.09210"
"","2.32200","0.69357","-0.10535"
"","2.34200","0.60625","-0.29998"
"","2.36200","0.51891","-0.48969"
"","2.38200","0.43150","-0.67412"
"","2.40200","0.34404","-0.85445"
"","2.42200","0.25652","-1.03359"
"","2.44200","0.16903","-1.20576"
"","2.46200","0.08167","-1.37494"
"","2.48200","-0.00223","-1.41987"
"","2.48300","-0.00585","-1.41906"
"","2.48400","-0.00936","-1.41877"
"","2.50400","-0.05036","-1.36405"
"","2.52400","-0.02021","-1.36797"
"","2.54400","0.05275","-1.24550"
"","2.56400","0.14131","-1.03962"
"","2.58400","0.23422","-0.82163"
"","2.60400","0.32563","-0.57538"
"","2.62400","0.41497","-0.33875"
"","2.64400","0.50327","-0.09633"
"","2.66400","0.59114","0.13701"
"","2.68400","0.67886","0.37763"
"","2.70400","0.76644","0.62050"
"","2.72400","0.85397","0.86557"
"","2.74400","0.94147","1.11118"
"","2.76400","1.02896","1.35654"
"","2.78400","1.11645","1.60633"
"","2.80400","1.20390","1.85919"
"","2.82400","1.29134","2.11804"
"","2.84400","1.37874","2.37835"
"","2.86300","1.46179","2.62970"
"","2.88200","1.54483","2.88090"
"","2.90100","1.62785","3.14024"
"","2.91900","1.70649","3.39035"
"","2.93700","1.78514","3.64394"
"","2.95500","1.86380","3.90386"
"","2.97300","1.94248","4.16137"
"","2.99000","2.01681","4.41223"
"","3.00700","2.09113","4.66452"
"","3.02400","2.16543","4.92141"
"","3.04100","2.23967","5.18118"
"","3.05800","2.31392","5.44081"
"","3.07500","2.38819","5.70359"
"","3.09200","2.46245","5.96635"
"","3.10800","2.53235","6.21689"
"","3.12400","2.60228","6.47002"
"","3.14000","2.67225","6.72652"
"","3.15600","2.74224","6.98483"
"","3.17200","2.81219","7.24386"
"","3.18800","2.88212","7.50388"
"","3.20400","2.95206","7.76539"
"","3.21900","3.01760","8.01717"
"","3.23400","3.08311","8.26718"
"","3.24900","3.14862","8.52300"
"","3.26400","3.21410","8.78226"
"","3.27900","3.27961","9.04111"
"","3.29400","3.34516","9.30531"
"","3.30900","3.41071","9.57129"
"","3.32300","3.47191","9.82335"
"","3.33700","3.53311","10.07988"
"","3.35100","3.59431","10.33978"
"","3.36500","3.65552","10.60542"
"","3.37900","3.71671","10.87383"
"","3.39200","3.77351","11.12594"
"","3.40500","3.83029","11.38136"
"","3.41800","3.88707","11.63969"
"","3.43100","3.94384","11.90225"
"","3.44400","4.00062","12.16992"
"","3.45600","4.05305","12.42206"
"","3.46800","4.10548","12.67960"
"","3.48000","4.15790","12.93892"
"","3.49200","4.21034","13.20312"
"","3.50400","4.26281","13.47145"
"","3.51500","4.31092","13.72202"
"","3.52600","4.35904","13.97474"
"","3.53700","4.40716","14.23332"
"","3.54800","4.45526","14.49651"
"","3.55900","4.50333","14.76414"
"","3.57000","4.55137","15.03543"
"","3.58100","4.59938","15.30979"
"","3.59100","4.64298","15.56320"
"","3.60100","4.68658","15.82020"
"","3.61100","4.73020","16.07953"
"","3.62100","4.77387","16.34206"
"","3.63100","4.81757","16.60800"
"","3.64100","4.86129","16.87753"
"","3.65100","4.90503","17.14853"
"","3.66100","4.94880","17.42468"
"","3.67000","4.98820","17.67701"
"","3.67900","5.02758","17.93078"
"","3.68800","5.06694","18.18392"
"","3.69700","5.10628","18.43811"
"","3.70600","5.14561","18.69300"
"","3.71600","5.18925","18.96678"
"","3.72900","5.24256","19.19819"
"","3.73000","5.24617","19.21205"
"","3.73100","5.24968","19.22587"
"","3.75100","5.29052","19.27797"
"","3.76900","5.26616","19.01191"
"","3.77900","5.23409","18.73835"
"","3.78700","5.20365","18.46714"
"","3.79400","5.17469","18.20711"
"","3.80100","5.14415","17.93828"
"","3.80800","5.11250","17.67062"
"","3.81500","5.08019","17.40816"
"","3.82200","5.04763","17.15028"
"","3.82900","5.01509","16.89243"
"","3.83600","4.98277","16.63500"
"","3.84300","4.95073","16.38131"
"","3.85100","4.91448","16.10636"
"","3.85900","4.87857","15.84511"
"","3.86700","4.84293","15.58991"
"","3.87500","4.80749","15.33650"
"","3.88400","4.76780","15.05825"
"","3.89300","4.72822","14.79232"
"","3.90200","4.68873","14.53580"
"","3.91100","4.64929","14.28088"
"","3.92000","4.60990","14.02706"
"","3.93000","4.56615","13.75487"
"","3.94000","4.52239","13.49124"
"","3.95000","4.47863","13.22888"
"","3.96000","4.43484","12.96836"
"","3.97000","4.39105","12.71694"
"","3.98100","4.34286","12.44936"
"","3.99200","4.29468","12.18361"
"","4.00300","4.24651","11.92288"
"","4.01400","4.19836","11.67173"
"","4.02600","4.14585","11.40457"
"","4.03800","4.09337","11.13830"
"","4.05000","4.04090","10.87879"
"","4.06200","3.98845","10.62819"
"","4.07500","3.93164","10.35774"
"","4.08800","3.87483","10.09340"
"","4.10100","3.81802","9.83683"
"","4.11400","3.76121","9.58232"
"","4.12800","3.70004","9.31424"
"","4.14200","3.63887","9.05351"
"","4.15600","3.57770","8.79144"
"","4.17000","3.51654","8.53864"
"","4.18500","3.45100","8.27158"
"","4.20000","3.38546","8.00765"
"","4.21500","3.31991","7.75040"
"","4.23000","3.25437","7.49904"
"","4.24500","3.18883","7.24813"
"","4.26100","3.11894","6.98603"
"","4.27700","3.04905","6.72603"
"","4.29300","2.97914","6.46913"
"","4.30900","2.90921","6.21520"
"","4.32600","2.83488","5.95098"
"","4.34300","2.76058","5.68884"
"","4.36000","2.68631","5.42961"
"","4.37700","2.61201","5.17311"
"","4.39400","2.53767","4.91939"
"","4.41200","2.45894","4.65489"
"","4.43000","2.38026","4.39425"
"","4.44800","2.30164","4.13707"
"","4.46600","2.22304","3.88085"
"","4.48400","2.14443","3.62983"
"","4.50200","2.06579","3.37772"
"","4.52100","1.98276","3.11787"
"","4.54000","1.89968","2.86417"
"","4.56000","1.81220","2.60295"
"","4.58000","1.72479","2.34571"
"","4.60000","1.63741","2.09666"
"","4.62000","1.55002","1.85039"
"","4.64000","1.46263","1.61537"
"","4.66000","1.37523","1.38462"
"","4.68000","1.28783","1.15916"
"","4.70000","1.20041","0.94081"
"","4.72000","1.11300","0.72475"
"","4.74000","1.02560","0.51731"
"","4.76000","0.93815","0.31295"
"","4.78000","0.85073","0.11424"
"","4.80000","0.76333","-0.08155"
"","4.82000","0.67596","-0.27433"
"","4.84000","0.58865","-0.46554"
"","4.86000","0.50129","-0.65003"
"","4.88000","0.41388","-0.83109"
"","4.90000","0.32644","-1.00613"
"","4.92000","0.23895","-1.17921"
"","4.94000","0.15152","-1.34530"
"","4.96000","0.06413","-1.50819"
"","4.97600","-0.00235","-1.51837"
"","4.97700","-0.00597","-1.51759"
"","4.97800","-0.00949","-1.51732"
"","4.99800","-0.05043","-1.46134"
"","5.01800","-0.02024","-1.46832"
"","5.03800","0.05272","-1.35002"
"","5.05800","0.14129","-1.14853"
"","5.07800","0.23424","-0.93782"
"","5.09800","0.32567","-0.69830"
"","5.11800","0.41498","-0.46756"
"","5.13800","0.50326","-0.23341"
"","5.15800","0.59112","-0.00542"
"","5.17800","0.67883","0.22996"
"","5.19800","0.76639","0.46646"
"","5.21800","0.85393","0.70876"
"","5.23800","0.94144","0.94735"
"","5.25800","1.02893","1.19198"
"","5.27800","1.11644","1.43715"
"","5.29800","1.20391","1.68620"
"","5.31800","1.29136","1.94064"
"","5.33800","1.37876","2.19777"
"","5.35800","1.46615","2.45839"
"","5.37800","1.55355","2.72086"
"","5.39700","1.63658","2.97575"
