Time,Displacement,Force
(s),(mm),(N)
"0.00000","0.00000","0.00013"
"0.02000","0.00206","0.10144"
"0.04000","0.03556","0.26645"
"0.06000","0.10639","0.48874"
"0.07400","0.16738","0.73923"
"0.08900","0.23856","0.99446"
"0.10300","0.30679","1.24828"
"0.11600","0.36973","1.50820"
"0.13100","0.44112","1.77409"
"0.14500","0.50678","2.03163"
"0.15900","0.57196","2.29108"
"0.17400","0.64154","2.54648"
"0.18800","0.70641","2.80055"
"0.20300","0.77591","3.06452"
"0.21800","0.84538","3.32341"
"0.23200","0.91019","3.57807"
"0.24700","0.97962","3.83700"
"0.26200","1.04900","4.10123"
"0.27600","1.11374","4.35222"
"0.29100","1.18308","4.60974"
"0.30600","1.25238","4.87814"
"0.32100","1.32168","5.14418"
"0.33600","1.39094","5.40752"
"0.35000","1.45559","5.66187"
"0.36500","1.52491","5.92865"
"0.37900","1.58964","6.18149"
"0.39300","1.65440","6.43594"
"0.40700","1.71916","6.68950"
"0.42100","1.78387","6.94686"
"0.43500","1.84855","7.20513"
"0.44900","1.91321","7.46332"
"0.46300","1.97785","7.72209"
"0.47700","2.04248","7.98268"
"0.49100","2.10713","8.24303"
"0.50500","2.17182","8.50619"
"0.51900","2.23655","8.76949"
"0.53300","2.30130","9.03447"
"0.54700","2.36602","9.29916"
"0.56100","2.43072","9.56707"
"0.57500","2.49540","9.83209"
"0.58900","2.56006","10.09803"
"0.60300","2.62473","10.36239"
"0.61700","2.68939","10.62644"
"0.63100","2.75402","10.89173"
"0.64500","2.81865","11.15903"
"0.65900","2.88328","11.42262"
"0.67300","2.94790","11.68847"
"0.68700","3.01255","11.95622"
"0.70100","3.07723","12.21923"
"0.71500","3.14197","12.48540"
"0.72900","3.20671","12.75196"
"0.74300","3.27142","13.01471"
"0.75700","3.33610","13.27945"
"0.77100","3.40077","13.54352"
"0.78500","3.46539","13.80583"
"0.79900","3.53003","14.06759"
"0.81300","3.59468","14.32867"
"0.82700","3.65932","14.58759"
"0.84100","3.72395","14.84762"
"0.85500","3.78861","15.10675"
"0.86900","3.85330","15.36368"
"0.88300","3.91804","15.62236"
"0.89700","3.98281","15.88042"
"0.91100","4.04757","16.13550"
"0.92500","4.11233","16.39069"
"0.93900","4.17705","16.64593"
"0.95300","4.24174","16.89893"
"0.96700","4.30637","17.15168"
"0.98100","4.37092","17.40498"
"0.99600","4.44006","17.67255"
"1.01100","4.50929","17.93894"
"1.02600","4.57861","18.20608"
"1.04100","4.64798","18.47112"
"1.05600","4.71738","18.73419"
"1.07100","4.78673","18.99832"
"1.08600","4.85605","19.25806"
"1.10100","4.92533","19.51986"
"1.11600","4.99458","19.77640"
"1.13100","5.06386","20.03312"
"1.14600","5.13315","20.28956"
"1.16100","5.20246","20.54219"
"1.17600","5.27179","20.79534"
"1.19100","5.34110","21.05042"
"1.20600","5.41042","21.30113"
"1.22200","5.48437","21.55783"
"1.23500","5.54115","21.64324"
"1.23600","5.54502","21.64601"
"1.23700","5.54879","21.64863"
"1.25700","5.59316","21.50328"
"1.27000","5.58062","21.24469"
"1.28000","5.55183","20.96388"
"1.28800","5.52200","20.68376"
"1.29500","5.49280","20.40989"
"1.30200","5.46156","20.12117"
"1.30800","5.43357","19.87083"
"1.31500","5.39994","19.58387"
"1.32200","5.36570","19.30437"
"1.32900","5.33126","19.02966"
"1.33600","5.29691","18.75664"
"1.34300","5.26283","18.48071"
"1.35000","5.22909","18.21216"
"1.35700","5.19567","17.95706"
"1.36500","5.15783","17.67850"
"1.37300","5.12027","17.40652"
"1.38100","5.08290","17.13426"
"1.38900","5.04566","16.86626"
"1.39700","5.00851","16.61079"
"1.40600","4.96675","16.33419"
"1.41500","4.92502","16.05957"
"1.42400","4.88331","15.78263"
"1.43300","4.84160","15.51404"
"1.44200","4.79989","15.25745"
"1.45100","4.75820","15.00418"
"1.46000","4.71651","14.74899"
"1.46900","4.67484","14.49861"
"1.47900","4.62854","14.23119"
"1.48900","4.58224","13.97109"
"1.49900","4.53594","13.71064"
"1.50900","4.48967","13.45486"
"1.52000","4.43879","13.18388"
"1.53100","4.38794","12.91846"
