Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-1.50062773014E-05	0	0.13890812166	10549.984375	
0.00208	1.596408721875E-07	-1.50364080405E-05	0	0.14156696059	10549.984375	
0.006176	3.6728372484375E-07	-1.51128067621781E-05	0	0.14291354616	10549.984375	
0.010272	4.7499102578125E-07	-1.51301831871094E-05	0	0.14031192758	10549.984375	
0.014368	6.6846186515625E-07	-1.51574468617687E-05	0	0.14012882246	10549.984375	
0.018464	9.035344209375E-07	-1.51969525914937E-05	0	0.13846943231	10549.984375	
0.02256	1.0169105271875E-06	-1.51933239893531E-05	0	0.14006397273	10549.984375	
0.026656	6.848282546875E-07	-1.50912315433687E-05	0	0.14142963175	10549.984375	
0.030752	-1.1913634390625E-07	-1.48882579482656E-05	0	0.14056369712	10549.984375	
0.034848	-6.9150281578125E-07	-1.48143722048437E-05	0	0.14024326316	10549.984375	
0.038944	-9.2154659265625E-07	-1.48517502924656E-05	0	0.14120456504	10549.984375	
0.04304	-1.1555219603125E-06	-1.48789632460219E-05	0	0.14281817891	10549.984375	
0.047136	-1.734654425625E-06	-1.47924950632594E-05	0	0.1400372699	10549.984375	
0.051232	-2.5105492946875E-06	-1.46768961403969E-05	0	0.14245959805	10549.984375	
0.055328	-3.17736537765625E-06	-1.46118498112125E-05	0	0.13917896465	10549.9609375	
0.059424	-3.50981337953125E-06	-1.46530855872844E-05	0	0.14067432313	10549.9609375	
0.06352	-3.68874647625E-06	-1.47058763998781E-05	0	0.14228030762	10549.9609375	
0.067616	-3.9390882334375E-06	-1.47049612565625E-05	0	0.1399228292	10549.9609375	
0.071712	-0.000003829918015	-1.47781907506406E-05	0	0.1431653157	10549.9609375	
0.075808	-3.1571588296875E-06	-1.49744379101625E-05	0	0.14040729483	10549.9609375	
0.079904	-2.33618781515625E-06	-1.51414665892875E-05	0	0.14115115938	10549.9609375	
0.084	-1.72194532984375E-06	-1.52049259008281E-05	0	0.14096805426	10549.9609375	
0.088096	-1.4722435990625E-06	-1.51492170623062E-05	0	0.1407239141	10549.9609375	
0.092192	-1.28398440328125E-06	-1.51025969166187E-05	0	0.13991519982	10549.9609375	
0.096288	-9.2977550359375E-07	-1.51287242943375E-05	0	0.13848087638	10549.9609375	
0.100384	-6.153396734375E-07	-1.5153925230675E-05	0	0.14193317083	10549.9609375	
0.10448	-5.762066303125E-07	-1.51052601351094E-05	0	0.14179965668	10549.9609375	
0.108576	-7.1344657828125E-07	-1.50359486659594E-05	0	0.14207431436	10549.9609375	
0.112672	-0.0000006436837	-1.50378974620875E-05	0	0.14114353	10549.9609375	
0.116768	-2.50524621875E-07	-1.5134698326825E-05	0	0.14074680224	10549.9609375	
0.120864	1.01307036875E-07	-1.51837302489469E-05	0	0.1408383548	10549.9609375	
0.12496	5.879099703125E-08	-1.5130275254325E-05	0	0.14081928135	10549.9609375	
0.129056	-1.9081930140625E-07	-1.50237400243219E-05	0	0.14193317083	10549.9609375	
0.133152	-2.880118828125E-08	-1.50689839694625E-05	0	0.14107486558	10549.9609375	
0.137248	6.2000272296875E-07	-1.52376434161875E-05	0	0.14271136759	10549.9609375	
0.141344	1.158264930625E-06	-1.53278738548031E-05	0	0.14184924765	10549.9609375	
0.14544	1.3903202190625E-06	-1.52987065762781E-05	0	0.14009449025	10549.9609375	
0.149536	1.5998831509375E-06	-1.52671239155531E-05	0	0.13903782112	10549.9609375	
0.153632	1.90691296125E-06	-1.52958060984094E-05	0	0.13789341412	10549.9609375	
0.157728	2.11437294921875E-06	-1.52974234044844E-05	0	0.13990757044	10549.9609375	
0.161824	1.80094287484375E-06	-1.51795516473562E-05	0	0.14291736085	10549.9609375	
0.16592	0.000001155704825	-1.50089977313719E-05	0	0.13974353877	10549.9609375	
0.170016	5.9056150828125E-07	-1.49227521445406E-05	0	0.14006397273	10549.9609375	
0.174112	2.053570440625E-07	-1.49100860514375E-05	0	0.1413724114	10549.9609375	
0.178208	-3.9983363921875E-07	-1.48430015031375E-05	0	0.14170047474	10549.9609375	
0.182304	-1.2390911225E-06	-1.47268924846312E-05	0	0.14099475709	10549.9609375	
0.1864	-2.221074494375E-06	-1.45984387669312E-05	0	0.14128848822	10549.9609375	
0.190496	-3.0097698915625E-06	-1.45543772725312E-05	0	0.14194842959	10549.9609375	
0.194592	-3.4014660521875E-06	-1.46110127928187E-05	0	0.13998004955	10549.9609375	
0.198688	-3.56997586171875E-06	-1.46955552563531E-05	0	0.14068195251	10549.9609375	
0.202784	-3.6666198490625E-06	-1.47431148241781E-05	0	0.13959858055	10549.9609375	
0.20688	-3.6187093009375E-06	-1.47999061135406E-05	0	0.14028141006	10549.9609375	
0.210976	-3.36535027640625E-06	-1.48826656461656E-05	0	0.13803074296	10549.9609375	
0.215072	-2.9464987096875E-06	-1.49791153093312E-05	0	0.14056369712	10549.9609375	
0.219168	-2.64010892578125E-06	-1.50152633501062E-05	0	0.14329501516	10549.9609375	
0.223264	-2.43767771671875E-06	-1.50159054167719E-05	0	0.14209338781	10549.9609375	
0.22736	-2.0943492659375E-06	-1.50509743720875E-05	0	0.14121219442	10549.9609375	
0.231456	-1.70146448484375E-06	-1.50941745692719E-05	0	0.14153644307	10549.9609375	
0.235552	-1.26551506984375E-06	-1.51422747615562E-05	0	0.14298221058	10549.9609375	
0.239648	-9.433989228125E-07	-1.51479975923719E-05	0	0.14131137636	10549.9609375	
0.243744	-8.5681249328125E-07	-1.51033190312812E-05	0	0.14218494037	10549.9609375	
0.24784	-0.00000071390374	-1.50898510159031E-05	0	0.13921711155	10549.9609375	
0.251936	-4.449097846875E-07	-1.51245238177687E-05	0	0.14185306234	10549.9609375	
0.256032	4.48018484375E-09	-1.51976588407875E-05	0	0.1406094734	10549.9609375	
