Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","-0.00037"
"","0.02000","0.00180","0.08636"
"","0.04000","0.03093","0.21693"
"","0.06000","0.09256","0.38594"
"","0.07900","0.16682","0.64454"
"","0.09900","0.25287","0.90555"
"","0.11600","0.32647","1.16066"
"","0.13500","0.40701","1.41613"
"","0.15300","0.48195","1.67167"
"","0.17300","0.56447","1.93103"
"","0.19200","0.64259","2.19121"
"","0.21200","0.72477","2.45019"
"","0.23100","0.80283","2.70903"
"","0.25100","0.88495","2.97130"
"","0.27000","0.96292","3.23196"
"","0.28900","1.04094","3.48509"
"","0.30800","1.11889","3.74569"
"","0.32700","1.19677","4.00784"
"","0.34600","1.27467","4.27178"
"","0.36400","1.34844","4.53018"
"","0.38200","1.42224","4.78395"
"","0.39900","1.49199","5.03623"
"","0.41700","1.56588","5.29769"
"","0.43400","1.63565","5.55420"
"","0.45100","1.70539","5.81213"
"","0.46800","1.77510","6.06932"
"","0.48400","1.84064","6.31990"
"","0.50100","1.91022","6.58193"
"","0.51700","1.97576","6.83486"
"","0.53400","2.04547","7.09969"
"","0.55000","2.11112","7.35394"
"","0.56600","2.17679","7.61123"
"","0.58200","2.24244","7.86558"
"","0.59800","2.30810","8.12667"
"","0.61400","2.37372","8.38219"
"","0.63000","2.43930","8.63987"
"","0.64600","2.50485","8.89509"
"","0.66200","2.57037","9.15108"
"","0.67800","2.63588","9.40810"
"","0.69400","2.70145","9.66536"
"","0.71000","2.76707","9.92093"
"","0.72600","2.83271","10.17788"
"","0.74200","2.89835","10.43382"
"","0.75800","2.96393","10.69071"
"","0.77400","3.02950","10.94783"
"","0.79000","3.09512","11.20384"
"","0.80600","3.16074","11.45895"
"","0.82200","3.22633","11.71394"
"","0.83800","3.29191","11.96581"
"","0.85400","3.35748","12.21873"
"","0.87000","3.42308","12.46915"
"","0.88600","3.48868","12.72008"
"","0.90200","3.55424","12.97267"
"","0.91900","3.62391","13.23670"
"","0.93600","3.69361","13.50091"
"","0.95300","3.76337","13.76298"
"","0.97000","3.83312","14.02429"
"","0.98700","3.90284","14.28328"
"","1.00400","3.97258","14.54178"
"","1.02100","4.04230","14.79779"
"","1.03800","4.11197","15.04981"
"","1.05500","4.18163","15.30023"
"","1.07200","4.25130","15.55141"
"","1.09000","4.32508","15.81344"
"","1.10800","4.39890","16.07568"
"","1.12600","4.47274","16.33421"
"","1.14400","4.54659","16.58935"
"","1.16200","4.62044","16.84161"
"","1.18000","4.69427","17.09243"
"","1.19900","4.77220","17.35313"
"","1.21800","4.85007","17.61403"
"","1.23600","4.92082","17.73561"
"","1.23700","4.92425","17.73684"
"","1.23800","4.92759","17.73835"
"","1.25800","4.96715","17.61047"
"","1.27300","4.95235","17.35580"
"","1.28400","4.92201","17.08166"
"","1.29300","4.89075","16.80387"
"","1.30100","4.85992","16.53206"
"","1.30900","4.82710","16.25381"
"","1.31700","4.79298","15.97945"
"","1.32500","4.75818","15.71315"
"","1.33300","4.72321","15.44961"
"","1.34100","4.68842","15.18460"
"","1.34900","4.65399","14.92318"
"","1.35700","4.61994","14.67305"
"","1.36600","4.58206","14.40820"
"","1.37500","4.54450","14.14955"
"","1.38400","4.50715","13.89133"
"","1.39300","4.46993","13.63998"
"","1.40300","4.42866","13.37592"
"","1.41300","4.38744","13.11980"
"","1.42300","4.34623","12.86188"
"","1.43300","4.30504","12.60896"
"","1.44400","4.25977","12.34409"
"","1.45500","4.21455","12.08493"
"","1.46600","4.16937","11.82478"
"","1.47700","4.12422","11.57167"
"","1.48900","4.07501","11.30709"
"","1.50100","4.02580","11.04517"
"","1.51300","3.97660","10.78509"
"","1.52600","3.92329","10.51769"
"","1.53900","3.86997","10.25390"
"","1.55200","3.81664","9.99065"
"","1.56500","3.76328","9.73849"
"","1.57800","3.70991","9.48844"
"","1.59200","3.65245","9.22134"
"","1.60600","3.59501","8.96395"
"","1.62000","3.53761","8.71239"
"","1.63400","3.48022","8.46182"
"","1.64900","3.41875","8.20225"
"","1.66400","3.35726","7.94510"
"","1.67900","3.29578","7.69166"
"","1.69500","3.23021","7.42827"
"","1.71100","3.16462","7.16634"
"","1.72700","3.09901","6.91122"
"","1.74300","3.03337","6.66051"
"","1.76000","2.96362","6.39677"
"","1.77700","2.89389","6.13905"
"","1.79400","2.82417","5.87971"
"","1.81200","2.75038","5.61537"
"","1.82900","2.68069","5.36455"
"","1.84700","2.60691","5.10591"
"","1.86500","2.53316","4.84988"
"","1.88300","2.45942","4.59630"
"","1.90200","2.38156","4.33214"
"","1.92100","2.30365","4.07105"
"","1.94000","2.22567","3.81589"
"","1.95900","2.14771","3.56381"
"","1.97900","2.06567","3.30609"
"","1.99900","1.98367","3.05531"
"","2.01800","1.90579","2.80419"
"","2.03800","1.82381","2.57930"
"","2.05800","1.74185","2.33004"
"","2.07800","1.65988","2.11595"
"","2.09800","1.57792","1.88646"
"","2.11800","1.49592","1.68236"
"","2.13800","1.41386","1.46339"
"","2.15800","1.33179","1.27192"
"","2.17800","1.24980","1.07254"
"","2.19800","1.16787","0.88675"
"","2.21800","1.08584","0.69296"
"","2.23800","1.00381","0.51598"
"","2.25800","0.92177","0.32940"
"","2.27800","0.83976","0.16366"
"","2.29800","0.75774","-0.01420"
"","2.31800","0.67574","-0.17610"
"","2.33800","0.59374","-0.35156"
"","2.35800","0.51173","-0.51089"
"","2.37800","0.42972","-0.67736"
"","2.39800","0.34772","-0.82870"
"","2.41800","0.26569","-0.98884"
"","2.43800","0.18363","-1.13710"
"","2.45800","0.10165","-1.29107"
"","2.47800","0.02045","-1.37749"
"","2.48400","-0.00168","-1.36425"
"","2.48500","-0.00509","-1.36322"
