Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-1.16831113938E-05	0	0.08805830396	9949.9375	
0.00208	-2.4064992875E-07	-1.16393450914125E-05	0	0.08740217728	9949.9375	
0.006176	-1.02468227640625E-06	-1.15371884628E-05	0	0.08660490707	9949.9375	
0.010272	-1.581779546875E-06	-1.150160772915E-05	0	0.08695585855	9949.9375	
0.014368	-1.616158108125E-06	-1.1581736495175E-05	0	0.0862501409	9949.9375	
0.018464	-1.26679512265625E-06	-1.17222697681031E-05	0	0.08481963215	9949.9375	
0.02256	-1.01188174828125E-06	-1.17944523882281E-05	0	0.08381255399	9949.9375	
0.026656	-1.020750685625E-06	-1.17779257220625E-05	0	0.08462889765	9949.9375	
0.030752	-1.03949431609375E-06	-1.17576899249906E-05	0	0.08376296302	9949.9375	
0.034848	-9.9926408484375E-07	-1.17577519441594E-05	0	0.08535750344	9949.9375	
0.038944	-9.9396100890625E-07	-1.17543346398844E-05	0	0.08560545829	9949.9375	
0.04304	-1.0154476096875E-06	-1.17466211860594E-05	0	0.08862287808	9949.9375	
0.047136	-9.9085230921875E-07	-1.17490990681969E-05	0	0.08744413887	9949.9375	
0.051232	-8.6796723921875E-07	-1.17747834175125E-05	0	0.08713133429	9949.9375	
0.055328	-7.8695818265625E-07	-1.17893100856781E-05	0	0.086974932	9949.9375	
0.059424	-9.143234375E-07	-1.17520545940875E-05	0	0.08692152634	9949.9375	
0.06352	-1.1840488515625E-06	-1.16906373478125E-05	0	0.08657438955	9949.9375	
0.067616	-1.39937202109375E-06	-1.16594527636125E-05	0	0.08638746974	9949.9375	
0.071712	-1.33536938046875E-06	-1.16990950316625E-05	0	0.08619673524	9949.9375	
0.075808	-1.0428773128125E-06	-1.17742985622281E-05	0	0.08535368875	9949.9375	
0.079904	-8.4200045359375E-07	-1.18168312120031E-05	0	0.08482344684	9949.9375	
0.084	-9.4577616375E-07	-1.17702589028063E-05	0	0.08390410655	9949.9375	
0.088096	-1.06491250765625E-06	-1.17293935590562E-05	0	0.08513625142	9949.9375	
0.092192	-1.03931145140625E-06	-1.17420048445219E-05	0	0.08509428983	9949.9375	
0.096288	-9.836291540625E-07	-1.17545966588531E-05	0	0.08575804589	9949.9375	
0.100384	-1.00017840828125E-06	-1.17486101263781E-05	0	0.0876615762	9949.9375	
0.10448	-1.11392024390625E-06	-1.17244399582406E-05	0	0.08756239426	9949.9375	
0.108576	-1.06984985421875E-06	-1.17390949916625E-05	0	0.08816130059	9949.9375	
0.112672	-9.543708040625E-07	-1.17681831837281E-05	0	0.08870298657	9949.9375	
0.116768	-7.331045321875E-07	-1.18045946857781E-05	0	0.08809645086	9949.9375	
0.120864	-4.39972438125E-07	-1.18496374291969E-05	0	0.08477767056	9949.9375	
0.12496	-2.1477457546875E-07	-1.18627292430281E-05	0	0.08628447311	9949.9375	
0.129056	6.217399375E-09	-1.18754895668062E-05	0	0.08457930668	9949.95703125	
0.133152	3.794442265625E-07	-1.19208693291187E-05	0	0.08509428983	9949.95703125	
