Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.00106"
"","0.02000","0.00165","0.08215"
"","0.04000","0.03127","0.19281"
"","0.06000","0.09715","0.28619"
"","0.08000","0.18110","0.48596"
"","0.10000","0.27341","0.66549"
"","0.12000","0.36609","0.89000"
"","0.14000","0.45669","1.08577"
"","0.16000","0.54586","1.30114"
"","0.18000","0.63446","1.49000"
"","0.20000","0.72283","1.69572"
"","0.22000","0.81120","1.88343"
"","0.24000","0.89955","2.08463"
"","0.26000","0.98788","2.27055"
"","0.28000","1.07616","2.47059"
"","0.30000","1.16443","2.65942"
"","0.32000","1.25267","2.85491"
"","0.34000","1.34087","3.04322"
"","0.36000","1.42909","3.24029"
"","0.38000","1.51729","3.43319"
"","0.40000","1.60545","3.62930"
"","0.42000","1.69361","3.82368"
"","0.44000","1.78185","4.02153"
"","0.46000","1.87010","4.21978"
"","0.48000","1.95836","4.42080"
"","0.50000","2.04660","4.62407"
"","0.52000","2.13480","4.82796"
"","0.54000","2.22297","5.03545"
"","0.56000","2.31115","5.24301"
"","0.58000","2.39933","5.45512"
"","0.60000","2.48752","5.66688"
"","0.62000","2.57573","5.88571"
"","0.64000","2.66394","6.10365"
"","0.66000","2.75217","6.32345"
"","0.68000","2.84043","6.54302"
"","0.70000","2.92864","6.76763"
"","0.72000","3.01677","6.99159"
"","0.74000","3.10490","7.21769"
"","0.76000","3.19301","7.44387"
"","0.78000","3.28121","7.67017"
"","0.80000","3.36947","7.89947"
"","0.82000","3.45772","8.12872"
"","0.84000","3.54593","8.35866"
"","0.86000","3.63413","8.58788"
"","0.88000","3.72232","8.81530"
"","0.90000","3.81049","9.04475"
"","0.92000","3.89860","9.27308"
"","0.94000","3.98675","9.50143"
"","0.96000","4.07499","9.72954"
"","0.98000","4.16326","9.95734"
"","1.00000","4.25156","10.18639"
"","1.02000","4.33985","10.41302"
"","1.04000","4.42806","10.64111"
"","1.06000","4.51617","10.86445"
"","1.08000","4.60416","11.08841"
"","1.10000","4.69223","11.30956"
"","1.12000","4.78046","11.53161"
"","1.14000","4.86873","11.75234"
"","1.16000","4.95703","11.97102"
"","1.18000","5.04527","12.18850"
"","1.20000","5.13343","12.40484"
"","1.22000","5.22154","12.61757"
"","1.23700","5.29297","12.66833"
"","1.23800","5.29661","12.66808"
"","1.23900","5.30015","12.66815"
"","1.25900","5.34124","12.54196"
"","1.27900","5.31062","12.30667"
"","1.29200","5.26498","12.05089"
"","1.30300","5.21944","11.78395"
"","1.31300","5.17476","11.53319"
"","1.32400","5.12370","11.26757"
"","1.33500","5.07212","11.00626"
"","1.34600","5.02096","10.74078"
"","1.35700","4.97056","10.48643"
"","1.36900","4.91636","10.22907"
"","1.38100","4.86268","9.97668"
"","1.39400","4.80483","9.71058"
"","1.40800","4.74273","9.44575"
"","1.42200","4.68074","9.18273"
"","1.43600","4.61881","8.92626"
"","1.45100","4.55252","8.66769"
"","1.46600","4.48630","8.40981"
"","1.48200","4.41567","8.14489"
"","1.49800","4.34501","7.89125"
"","1.51400","4.27434","7.64085"
"","1.53100","4.19928","7.38681"
"","1.54900","4.11982","7.12249"
"","1.56700","4.04037","6.86848"
"","1.58600","3.95650","6.60753"
"","1.60500","3.87264","6.35286"
"","1.62500","3.78442","6.09268"
"","1.64500","3.69628","5.83889"
"","1.66500","3.60818","5.59168"
"","1.68500","3.52000","5.35006"
"","1.70500","3.43175","5.11339"
"","1.72500","3.34352","4.88424"
"","1.74500","3.25530","4.65843"
"","1.76500","3.16706","4.43991"
"","1.78500","3.07886","4.22187"
"","1.80500","2.99074","4.01009"
"","1.82500","2.90263","3.80215"
"","1.84500","2.81446","3.59747"
"","1.86500","2.72624","3.39660"
"","1.88500","2.63801","3.20290"
"","1.90500","2.54977","3.00918"
"","1.92500","2.46152","2.82493"
"","1.94500","2.37328","2.64045"
"","1.96500","2.28508","2.46598"
"","1.98500","2.19692","2.28943"
"","2.00500","2.10877","2.12206"
"","2.02500","2.02061","1.95491"
"","2.04500","1.93243","1.79234"
"","2.06500","1.84422","1.63711"
"","2.08500","1.75598","1.48304"
"","2.10500","1.66777","1.33581"
"","2.12500","1.57956","1.18862"
"","2.14500","1.49136","1.04703"
"","2.16500","1.40317","0.90337"
"","2.18500","1.31501","0.76806"
"","2.20500","1.22682","0.62885"
"","2.22500","1.13860","0.49909"
"","2.24500","1.05038","0.36574"
"","2.26500","0.96215","0.24156"
"","2.28500","0.87390","0.11604"
"","2.30500","0.78568","-0.00092"
"","2.32500","0.69750","-0.12350"
"","2.34500","0.60934","-0.23758"
"","2.36500","0.52124","-0.35631"
"","2.38500","0.43310","-0.46711"
"","2.40500","0.34484","-0.57857"
"","2.42500","0.25648","-0.68396"
"","2.44500","0.16814","-0.78628"
"","2.46500","0.07997","-0.88802"
"","2.48400","-0.00054","-0.86846"
"","2.48500","-0.00424","-0.86482"
"","2.48600","-0.00783","-0.86228"
"","2.50600","-0.05033","-0.77919"
"","2.52600","-0.02079","-0.82246"
"","2.54600","0.05246","-0.77646"
"","2.56600","0.14183","-0.65617"
"","2.58600","0.23573","-0.52975"
"","2.60600","0.32805","-0.37324"
"","2.62600","0.41824","-0.22514"
"","2.64600","0.50730","-0.06978"
"","2.66600","0.59592","0.07466"
"","2.68600","0.68435","0.22853"
"","2.70600","0.77275","0.37952"
"","2.72600","0.86111","0.53639"
"","2.74600","0.94943","0.69333"
"","2.76600","1.03772","0.85215"
"","2.78600","1.12599","1.01188"
"","2.80600","1.21422","1.17198"
"","2.82600","1.30240","1.33630"
"","2.84600","1.39062","1.50385"
"","2.86600","1.47881","1.67236"
"","2.88600","1.56698","1.83873"
"","2.90600","1.65515","2.00792"
"","2.92600","1.74340","2.17873"
"","2.94600","1.83165","2.35582"
"","2.96600","1.91992","2.53392"
"","2.98600","2.00817","2.71484"
"","3.00600","2.09638","2.89536"
"","3.02600","2.18454","3.08335"
"","3.04600","2.27272","3.27305"
"","3.06600","2.36094","3.46753"
"","3.08600","2.44915","3.66445"
"","3.10600","2.53736","3.86254"
"","3.12600","2.62557","4.06605"
"","3.14600","2.71382","4.27319"
"","3.16600","2.80206","4.48360"
"","3.18600","2.89027","4.69861"
"","3.20600","2.97844","4.91258"
"","3.22600","3.06657","5.12923"
"","3.24600","3.15467","5.35342"
"","3.26600","3.24284","5.57581"
"","3.28600","3.33109","5.80955"
"","3.30600","3.41934","6.03673"
"","3.32600","3.50753","6.27478"
"","3.34600","3.59576","6.50866"
"","3.36600","3.68397","6.75948"
"","3.38600","3.77214","7.00695"
"","3.40600","3.86030","7.26415"
"","3.42600","3.94846","7.51785"
"","3.44500","4.03225","7.76910"
"","3.46400","4.11605","8.02586"
"","3.48200","4.19549","8.27778"
"","3.50000","4.27497","8.53424"
"","3.51800","4.35442","8.79445"
"","3.53500","4.42936","9.04612"
"","3.55200","4.50426","9.30055"
"","3.56900","4.57914","9.56495"
"","3.58500","4.64960","9.81959"
"","3.60100","4.72012","10.08074"
"","3.61600","4.78629","10.33140"
"","3.63100","4.85250","10.58330"
"","3.64600","4.91874","10.84024"
"","3.66100","4.98494","11.10023"
"","3.67600","5.05109","11.36408"
"","3.69000","5.11281","11.61770"
"","3.70400","5.17449","11.87153"
"","3.71900","5.24054","12.13022"
"","3.73100","5.29043","12.23624"
"","3.73200","5.29414","12.24258"
"","3.73300","5.29775","12.24924"
"","3.75300","5.34049","12.23731"
"","3.77300","5.31054","12.07927"
"","3.78700","5.26093","11.82313"
"","3.79800","5.21485","11.56382"
"","3.80900","5.16527","11.29901"
"","3.82000","5.11398","11.04025"
"","3.83100","5.06243","10.77809"
"","3.84200","5.01142","10.51910"
"","3.85400","4.95665","10.25031"
"","3.86600","4.90263","9.99532"
"","3.87800","4.84907","9.74384"
"","3.89100","4.79126","9.48709"
"","3.90500","4.72918","9.22497"
"","3.91900","4.66720","8.96873"
"","3.93400","4.60091","8.70254"
"","3.94900","4.53470","8.44712"
"","3.96400","4.46852","8.19228"
"","3.98000","4.39790","7.93255"
"","3.99600","4.32724","7.67948"
"","4.01300","4.25217","7.42012"
"","4.03100","4.17270","7.15707"
"","4.04900","4.09324","6.89941"
"","4.06700","4.01377","6.64917"
"","4.08600","3.92988","6.38930"
"","4.10500","3.84602","6.13810"
"","4.12500","3.75784","5.88223"
"","4.14500","3.66969","5.63613"
"","4.16500","3.58156","5.39328"
"","4.18500","3.49339","5.15411"
"","4.20500","3.40516","4.92034"
"","4.22500","3.31691","4.69301"
"","4.24500","3.22870","4.47437"
"","4.26500","3.14050","4.25825"
"","4.28500","3.05232","4.04270"
"","4.30500","2.96419","3.83219"
"","4.32500","2.87607","3.62518"
"","4.34500","2.78788","3.42462"
