Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	-3.3962735268E-06	0	0.09629421967	9200	
0.00208	-2.5966785625E-08	-3.393956221425E-06	0	0.096511657	9200	
0.006176	1.8771060171875E-07	-3.41768336115937E-06	0	0.09802608893	9200	
0.010272	7.2341270375E-07	-3.46741720565625E-06	0	0.09831219068	9200	
0.014368	1.2908418290625E-06	-3.51242341065E-06	0	0.09730511252	9200	
0.018464	2.16356355015625E-06	-3.56434811834062E-06	0	0.09747295888	9200	
0.02256	3.084195819375E-06	-3.62127690756562E-06	0	0.09608822641	9200	
0.026656	3.844181460625E-06	-3.65237976107812E-06	0	0.09583264218	9200	
0.030752	4.36653444046875E-06	-3.65868432208125E-06	0	0.09695416104	9200	
0.034848	4.571251458125E-06	-3.63492016315312E-06	0	0.09644680727	9200	
0.038944	4.75969351859375E-06	-3.61335816548437E-06	0	0.09690075538	9200	
0.04304	5.06708905828125E-06	-3.60661634530312E-06	0	0.09794979513	9200	
0.047136	5.46335683609375E-06	-3.61786417059375E-06	0	0.09767132276	9199.9765625	
0.051232	5.56758970796875E-06	-3.607632930825E-06	0	0.09891109701	9199.9765625	
0.055328	5.43318416265625E-06	-3.5772858457875E-06	0	0.09988765765	9199.9765625	
0.059424	5.2835094159375E-06	-3.54720053933437E-06	0	0.09750729109	9199.9765625	
0.06352	5.2114607290625E-06	-3.53607506969062E-06	0	0.09820919405	9199.9765625	
0.067616	4.8852301265625E-06	-3.51181692087187E-06	0	0.0973508888	9199.9765625	
0.071712	0.00000397328393	-3.44726602388437E-06	0	0.09609967048	9199.9765625	
0.075808	2.7431531771875E-06	-3.366971633025E-06	0	0.09672527964	9199.9765625	
0.079904	1.59229426640625E-06	-3.30116857382812E-06	0	0.09599285916	9199.9765625	
0.084	0.000000670016215	-3.26158159418437E-06	0	0.09907894337	9199.9765625	
0.088096	1.37148515625E-08	-3.25676236823437E-06	0	0.09806805052	9199.9765625	
0.092192	-3.6892950703125E-07	-3.27110394043125E-06	0	0.09665661522	9199.9765625	
0.096288	-3.2577344078125E-07	-3.31691134654687E-06	0	0.09671383557	9199.9765625	
0.100384	-7.104293109375E-08	-3.37457186580937E-06	0	0.09676342654	9199.9765625	
0.10448	9.49067728125E-08	-3.4123590876375E-06	0	0.09587841846	9199.9765625	
0.108576	-2.569248859375E-08	-3.41381653810312E-06	0	0.09669857681	9199.9765625	
0.112672	-2.8389742734375E-07	-3.39741270835312E-06	0	0.09719448651	9199.9765625	
0.116768	-2.9669795546875E-07	-3.39838578430312E-06	0	0.09738522101	9199.9765625	
0.120864	-1.2297650234375E-07	-3.42185739544687E-06	0	0.09780483691	9199.9765625	
0.12496	-9.097518203125E-08	-3.43009416605625E-06	0	0.09859447774	9199.9765625	
0.129056	-1.3531986875E-08	-3.43217493320625E-06	0	0.09706478705	9199.9765625	
0.133152	3.688380746875E-07	-3.4595196174E-06	0	0.09871654782	9199.9765625	
0.137248	9.3846157625E-07	-3.5018551519875E-06	0	0.09825115564	9199.9765625	
0.141344	1.60765490015625E-06	-3.5449031858625E-06	0	0.09716778368	9199.9765625	
0.14544	2.05841635484375E-06	-3.56686951005E-06	0	0.09539395283	9199.9765625	
0.149536	2.26176188734375E-06	-3.55829860515937E-06	0	0.09561139016	9199.9765625	
0.153632	2.331524765625E-06	-3.53914045124062E-06	0	0.09634381064	9199.9765625	
0.157728	2.3070208975E-06	-3.51531499429687E-06	0	0.09797268327	9199.9765625	
0.161824	2.4180197628125E-06	-3.50814769377187E-06	0	0.09711819271	9199.9765625	
0.16592	2.62785699171875E-06	-3.51518230212187E-06	0	0.09996776614	9199.9765625	
0.170016	3.05082301390625E-06	-3.537009924525E-06	0	0.09822445281	9199.9765625	
0.174112	3.75558351953125E-06	-3.58119473610937E-06	0	0.09762554648	9199.9765625	
0.178208	4.487865160625E-06	-3.62499613461562E-06	0	0.09677487061	9199.9765625	
0.182304	4.8709666809375E-06	-3.63386391420937E-06	0	0.09655743328	9199.9765625	
0.1864	4.9433810971875E-06	-3.6097781209875E-06	0	0.09614544676	9199.9765625	
0.190496	4.66935836296875E-06	-3.56813152801875E-06	0	0.09503918666	9199.9765625	
0.194592	4.34221343703125E-06	-3.5308041615E-06	0	0.09663754177	9199.9765625	
0.198688	4.0638019503125E-06	-3.51019336480312E-06	0	0.09725933624	9199.9765625	
0.202784	3.8255292625E-06	-3.49915587584062E-06	0	0.09740047977	9199.9765625	
0.20688	3.4709546334375E-06	-3.48012993332812E-06	0	0.09743481198	9199.9765625	
0.210976	3.2533456553125E-06	-3.47444916977812E-06	0	0.09689694069	9199.9765625	
0.215072	3.20790378046875E-06	-3.4816551721875E-06	0	0.09669094743	9199.9765625	
0.219168	3.14938708046875E-06	-3.49539241806562E-06	0	0.09714108085	9199.9765625	
0.223264	2.80724725015625E-06	-3.47983426054687E-06	0	0.09740810915	9199.9765625	
0.22736	2.1195845928125E-06	-3.438279254025E-06	0	0.09551220822	9199.9765625	
0.231456	1.30483097765625E-06	-3.38542906649062E-06	0	0.0975034764	9199.9765625	
0.235552	5.491426565625E-07	-3.34609400967187E-06	0	0.09642773382	9199.9765625	
0.239648	-5.604802671875E-08	-3.32889114225937E-06	0	0.09708004581	9199.9765625	
