Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.14894"
"","0.02000","0.00179","0.23663"
"","0.04000","0.03179","0.35354"
"","0.06000","0.09560","0.48960"
"","0.08000","0.17629","0.72558"
"","0.10000","0.26462","0.95260"
"","0.11900","0.34857","1.20977"
"","0.13900","0.43492","1.45637"
"","0.15800","0.51568","1.71576"
"","0.17800","0.60017","1.95957"
"","0.19700","0.68036","2.21403"
"","0.21700","0.76477","2.45641"
"","0.23600","0.84498","2.70667"
"","0.25600","0.92928","2.95607"
"","0.27500","1.00924","3.21081"
"","0.29500","1.09336","3.46583"
"","0.31400","1.17330","3.72321"
"","0.33400","1.25748","3.98396"
"","0.35300","1.33741","4.24581"
"","0.37200","1.41736","4.50358"
"","0.39100","1.49731","4.76710"
"","0.40900","1.57306","5.02181"
"","0.42700","1.64882","5.27467"
"","0.44500","1.72457","5.53563"
"","0.46300","1.80033","5.79406"
"","0.48100","1.87608","6.05755"
"","0.49800","1.94761","6.30822"
"","0.51500","2.01912","6.56017"
"","0.53200","2.09059","6.81518"
"","0.54900","2.16208","7.06830"
"","0.56600","2.23364","7.32925"
"","0.58300","2.30528","7.58767"
"","0.60000","2.37694","7.84941"
"","0.61700","2.44849","8.11129"
"","0.63400","2.51996","8.37112"
"","0.65100","2.59138","8.63566"
"","0.66800","2.66280","8.89721"
"","0.68500","2.73427","9.16066"
"","0.70200","2.80578","9.42549"
"","0.71800","2.87314","9.67565"
"","0.73400","2.94052","9.92751"
"","0.75000","3.00789","10.17798"
"","0.76600","3.07524","10.43145"
"","0.78200","3.14261","10.68484"
"","0.79900","3.21419","10.95011"
"","0.81500","3.28154","11.20540"
"","0.83100","3.34883","11.45563"
"","0.84800","3.42026","11.72138"
"","0.86400","3.48750","11.97435"
"","0.88000","3.55475","12.22740"
"","0.89600","3.62203","12.48128"
"","0.91200","3.68937","12.73501"
"","0.92800","3.75672","12.98882"
"","0.94400","3.82407","13.24248"
"","0.96000","3.89140","13.49757"
"","0.97600","3.95870","13.75137"
"","0.99200","4.02601","14.00555"
"","1.00800","4.09331","14.25849"
"","1.02400","4.16061","14.51310"
"","1.04000","4.22791","14.76496"
"","1.05600","4.29519","15.01668"
"","1.07200","4.36250","15.27026"
"","1.08900","4.43405","15.53593"
"","1.10500","4.50141","15.78665"
"","1.12100","4.56876","16.04005"
"","1.13800","4.64033","16.30492"
"","1.15400","4.70765","16.55585"
"","1.17100","4.77916","16.82019"
"","1.18800","4.85067","17.08280"
"","1.20500","4.92218","17.34607"
"","1.22200","4.99365","17.60338"
