Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	5.1520410018E-06	0	0.09821300874	8399.9609375	
0.00208	4.39972438125E-07	5.10844897808437E-06	0	0.09854107208	8399.9609375	
0.006176	9.8701215078125E-07	5.05436946485625E-06	0	0.09796886858	8399.9609375	
0.010272	8.870765990625E-07	5.08945572784687E-06	0	0.09506588949	8399.9609375	
0.014368	5.645032903125E-07	5.15433498989062E-06	0	0.09787350133	8399.9609375	
0.018464	1.673211890625E-08	5.22075776000625E-06	0	0.09886913542	8399.9609375	
0.02256	-7.890611265625E-07	5.3013341217375E-06	0	0.09758358489	8399.9609375	
0.026656	-1.77387890109375E-06	5.38209293520937E-06	0	0.09862880995	8399.9609375	
0.030752	-0.000002700545705	5.44595873672812E-06	0	0.10424021894	8399.9609375	
0.034848	-3.15322723890625E-06	5.44550368910625E-06	0	0.09639340161	8399.9609375	
0.038944	-3.15103286265625E-06	5.38526528780625E-06	0	0.09951381803	8399.9609375	
0.04304	-3.054937469375E-06	5.32867039247812E-06	0	0.10297374186	8399.9609375	
0.047136	-2.99102626109375E-06	5.29308364921875E-06	0	0.09992961924	8399.9609375	
0.051232	-2.76299399578125E-06	5.26036829731875E-06	0	0.09676342654	8399.9609375	
0.055328	-2.36581189453125E-06	5.20993685736562E-06	0	0.09651928638	8399.9609375	
0.059424	-2.03720405109375E-06	5.17936333024688E-06	0	0.09859447774	8399.9609375	
0.06352	-2.1228761571875E-06	5.20057148211562E-06	0	0.0967786853	8399.9609375	
0.067616	-2.36050881859375E-06	5.2472264835375E-06	0	0.09517270081	8399.9609375	
0.071712	-2.24676698296875E-06	5.24621254224375E-06	0	0.09908275806	8399.9609375	
0.075808	-1.673211890625E-06	5.18080082880937E-06	0	0.10066585441	8399.9609375	
0.079904	-8.647671071875E-07	5.10063985127812E-06	0	0.0981901206	8399.9609375	
0.084	-1.3577703046875E-07	5.04542452187812E-06	0	0.09988002827	8399.9609375	
0.088096	2.2172343359375E-07	5.04426947495625E-06	0	0.09791927761	8399.9609375	
0.092192	1.7820163796875E-07	5.09129250485625E-06	0	0.09506588949	8399.9609375	
0.096288	-1.2425655515625E-07	5.15550277718437E-06	0	0.09980754916	8399.9609375	
0.100384	-9.181635959375E-07	5.2547668606125E-06	0	0.09850292518	8399.9609375	
0.10448	-1.94284587234375E-06	5.3609686774875E-06	0	0.09859447774	8399.9609375	
0.108576	-2.91148012203125E-06	5.43716427436875E-06	0	0.09987239889	8399.9609375	
0.112672	-3.59082243609375E-06	5.46570751505625E-06	0	0.09996395145	8399.9609375	
0.116768	-3.789322054375E-06	5.431365722475E-06	0	0.09865169809	8399.9609375	
0.120864	-3.650344891875E-06	5.36667708524062E-06	0	0.0983808551	8399.9609375	
0.12496	-3.45367392046875E-06	5.30721464470312E-06	0	0.09960918528	8399.9609375	
0.129056	-3.27099209765625E-06	5.27208318945E-06	0	0.09615307614	8399.9609375	
0.133152	-2.96835103984375E-06	5.23350630495E-06	0	0.0976179171	8399.9609375	
0.137248	-2.647514945625E-06	5.20369455591562E-06	0	0.09962825873	8399.9609375	
0.141344	-2.56440294515625E-06	5.20517796789375E-06	0	0.09585934501	8399.9609375	
0.14544	-2.731632701875E-06	5.24051134602188E-06	0	0.09875469472	8399.9609375	
0.149536	-2.7340099428125E-06	5.2554283984125E-06	0	0.10420207204	8399.9609375	
0.153632	-2.15551750390625E-06	5.20063590512812E-06	0	0.09997921021	8399.9609375	
0.157728	-1.22437051515625E-06	5.10233744573437E-06	0	0.09886150604	8399.9609375	
0.161824	-4.4024673515625E-07	5.0408459206875E-06	0	0.1016233416	8399.9609375	
0.16592	-1.654925421875E-08	5.03635722325312E-06	0	0.09714871023	8399.9609375	
0.170016	6.354547890625E-08	5.07599852976562E-06	0	0.09606915296	8399.9609375	
0.174112	-1.636638953125E-08	5.12427708725625E-06	0	0.0985334427	8399.9609375	
0.178208	-2.6122220609375E-07	5.17179098205E-06	0	0.09622555525	8399.9609375	
0.182304	-6.709305384375E-07	5.22738635914688E-06	0	0.0988386179	8399.9609375	
0.1864	-1.281881459375E-06	5.28892139376562E-06	0	0.10031108824	8399.9609375	
