Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.13500"
"","0.02000","0.00128","0.19785"
"","0.04000","0.02560","0.29748"
"","0.06000","0.08035","0.38693"
"","0.08000","0.15083","0.57033"
"","0.10000","0.22881","0.73755"
"","0.12000","0.30712","0.94971"
"","0.14000","0.38371","1.13018"
"","0.16000","0.45907","1.33756"
"","0.18000","0.53393","1.51629"
"","0.20000","0.60855","1.71537"
"","0.22000","0.68306","1.89568"
"","0.24000","0.75758","2.09531"
"","0.26000","0.83206","2.27951"
"","0.28000","0.90655","2.48064"
"","0.30000","0.98100","2.66803"
"","0.32000","1.05542","2.86815"
"","0.34000","1.12981","3.05826"
"","0.36000","1.20422","3.25897"
"","0.38000","1.27865","3.45648"
"","0.40000","1.35306","3.65953"
"","0.42000","1.42745","3.86058"
"","0.44000","1.50183","4.06440"
"","0.46000","1.57621","4.27049"
"","0.48000","1.65062","4.47961"
"","0.50000","1.72504","4.68654"
"","0.52000","1.79946","4.89840"
"","0.54000","1.87393","5.11212"
"","0.56000","1.94830","5.32017"
"","0.58000","2.02266","5.53557"
"","0.60000","2.09702","5.74305"
"","0.62000","2.17138","5.96358"
"","0.64000","2.24583","6.17483"
"","0.66000","2.32032","6.39177"
"","0.68000","2.39480","6.60476"
"","0.70000","2.46923","6.82068"
"","0.72000","2.54360","7.03379"
"","0.74000","2.61797","7.24972"
"","0.76000","2.69232","7.46031"
"","0.78000","2.76669","7.67450"
"","0.80000","2.84102","7.88433"
"","0.82000","2.91535","8.09723"
"","0.84000","2.98979","8.30932"
"","0.86000","3.06429","8.51929"
"","0.88000","3.13878","8.72962"
"","0.90000","3.21320","8.93864"
"","0.92000","3.28759","9.14906"
"","0.94000","3.36200","9.35666"
"","0.96000","3.43635","9.56304"
"","0.98000","3.51070","9.77092"
"","1.00000","3.58511","9.97568"
"","1.02000","3.65951","10.18030"
"","1.04000","3.73395","10.38859"
"","1.06000","3.80834","10.59081"
"","1.08000","3.88272","10.79484"
"","1.10000","3.95715","10.99713"
"","1.12000","4.03157","11.20004"
"","1.14000","4.10601","11.40026"
"","1.16000","4.18042","11.59961"
"","1.18000","4.25478","11.79867"
"","1.20000","4.32915","11.99618"
"","1.22000","4.40349","12.19049"
"","1.23800","4.46751","12.26152"
"","1.23900","4.47060","12.26186"
"","1.24000","4.47359","12.26265"
"","1.26000","4.50863","12.16897"
"","1.28000","4.48323","11.97070"
"","1.29500","4.43833","11.71087"
"","1.30700","4.39562","11.45368"
"","1.31900","4.34963","11.19759"
"","1.33200","4.29828","10.93187"
"","1.34400","4.25092","10.68067"
"","1.35700","4.20041","10.41360"
"","1.37100","4.14697","10.15113"
"","1.38500","4.09418","9.89087"
"","1.40000","4.03795","9.62388"
"","1.41500","3.98187","9.37371"
"","1.43000","3.92586","9.12088"
"","1.44600","3.86614","8.86668"
"","1.46200","3.80642","8.61653"
"","1.47900","3.74304","8.35533"
"","1.49700","3.67597","8.09417"
"","1.51400","3.61264","7.84344"
"","1.53300","3.54194","7.58404"
"","1.55200","3.47126","7.32311"
"","1.57100","3.40060","7.07176"
"","1.59100","3.32629","6.81048"
"","1.61100","3.25193","6.55308"
"","1.63100","3.17746","6.30280"
"","1.65100","3.10299","6.06084"
"","1.67100","3.02854","5.81927"
"","1.69100","2.95407","5.58361"
"","1.71100","2.87961","5.35371"
"","1.73100","2.80523","5.12496"
"","1.75100","2.73093","4.90552"
"","1.77100","2.65660","4.68542"
"","1.79100","2.58219","4.47157"
"","1.81100","2.50777","4.25866"
"","1.83100","2.43341","4.04661"
"","1.85100","2.35902","3.84161"
"","1.87100","2.28455","3.64144"
"","1.89100","2.21007","3.44353"
"","1.91100","2.13558","3.24830"
"","1.93100","2.06121","3.05401"
"","1.95100","1.98688","2.86587"
"","1.97100","1.91245","2.68096"
"","1.99100","1.83804","2.50204"
"","2.01100","1.76364","2.32452"
"","2.03100","1.68924","2.14857"
"","2.05100","1.61485","1.97948"
"","2.07100","1.54044","1.81392"
"","2.09100","1.46602","1.65488"
"","2.11100","1.39160","1.50026"
"","2.13100","1.31721","1.34657"
"","2.15100","1.24284","1.19664"
"","2.17100","1.16842","1.05480"
"","2.19100","1.09403","0.91477"
"","2.21100","1.01967","0.78189"
"","2.23100","0.94532","0.64779"
"","2.25100","0.87095","0.51855"
"","2.27100","0.79653","0.39332"
"","2.29100","0.72215","0.26835"
"","2.31100","0.64775","0.14874"
"","2.33100","0.57333","0.03299"
"","2.35100","0.49893","-0.08362"
"","2.37100","0.42451","-0.19702"
"","2.39100","0.35013","-0.30716"
"","2.41100","0.27572","-0.41332"
"","2.43100","0.20123","-0.51660"
"","2.45100","0.12681","-0.61652"
"","2.47100","0.05244","-0.71042"
"","2.48600","-0.00065","-0.69053"
"","2.48700","-0.00377","-0.68776"
"","2.48800","-0.00679","-0.68586"
"","2.50800","-0.04262","-0.61847"
"","2.52800","-0.01796","-0.64499"
"","2.54800","0.04347","-0.58550"
"","2.56800","0.11877","-0.46832"
"","2.58800","0.19808","-0.34488"
"","2.60800","0.27598","-0.19691"
"","2.62800","0.35211","-0.05109"
"","2.64800","0.42731","0.09349"
"","2.66800","0.50217","0.24365"
"","2.68800","0.57687","0.38789"
"","2.70800","0.65142","0.53647"
"","2.72800","0.72595","0.68745"
"","2.74800","0.80045","0.84028"
"","2.76800","0.87490","0.99732"
"","2.78800","0.94936","1.15356"
"","2.80800","1.02380","1.31094"
"","2.82800","1.09825","1.47520"
"","2.84800","1.17264","1.64114"
"","2.86800","1.24702","1.81526"
"","2.88800","1.32144","1.98859"
"","2.90800","1.39585","2.16351"
"","2.92800","1.47024","2.34373"
"","2.94800","1.54461","2.52674"
"","2.96800","1.61902","2.71560"
"","2.98800","1.69348","2.90769"
"","3.00800","1.76786","3.09779"
"","3.02800","1.84229","3.29564"
"","3.04800","1.91670","3.49209"
"","3.06800","1.99106","3.69600"
"","3.08800","2.06544","3.89882"
"","3.10800","2.13978","4.10419"
"","3.12800","2.21414","4.31392"
"","3.14800","2.28862","4.52309"
"","3.16800","2.36312","4.73564"
"","3.18800","2.43758","4.95408"
"","3.20800","2.51198","5.16711"
"","3.22800","2.58639","5.38550"
"","3.24800","2.66075","5.60285"
"","3.26800","2.73510","5.82569"
"","3.28800","2.80944","6.05090"
"","3.30800","2.88377","6.27507"
"","3.32800","2.95817","6.50346"
"","3.34800","3.03263","6.73476"
"","3.36800","3.10709","6.96948"
"","3.38800","3.18156","7.20706"
"","3.40800","3.25596","7.44685"
"","3.42800","3.33039","7.69141"
"","3.44800","3.40477","7.93627"
"","3.46800","3.47909","8.18559"
"","3.48800","3.55347","8.44191"
"","3.50800","3.62788","8.70084"
"","3.52700","3.69860","8.95100"
"","3.54600","3.76929","9.20584"
"","3.56500","3.83994","9.46364"
"","3.58300","3.90690","9.71404"
"","3.60100","3.97388","9.97102"
"","3.61900","4.04086","10.22541"
"","3.63700","4.10785","10.48951"
"","3.65500","4.17480","10.75030"
"","3.67200","4.23803","11.00279"
"","3.68900","4.30127","11.25804"
"","3.70600","4.36448","11.51265"
"","3.72400","4.43130","11.77073"
"","3.73600","4.47291","11.85063"
"","3.73700","4.47597","11.85616"
"","3.73800","4.47894","11.86185"
"","3.75800","4.51338","11.85376"
"","3.77800","4.48764","11.70549"
"","3.79400","4.43925","11.45171"
"","3.80700","4.39242","11.18553"
"","3.82000","4.34216","10.91619"
"","3.83300","4.29075","10.65442"
"","3.84600","4.23967","10.38915"
"","3.85900","4.18946","10.13194"
"","3.87300","4.13623","9.87428"
"","3.88700","4.08354","9.62125"
"","3.90200","4.02736","9.36337"
"","3.91800","3.96759","9.09939"
"","3.93400","3.90785","8.83693"
"","3.95100","3.84441","8.57460"
"","3.96800","3.78099","8.31128"
"","3.98500","3.71763","8.05992"
"","4.00300","3.65058","7.79930"
"","4.02100","3.58355","7.54825"
"","4.04000","3.51286","7.29072"
"","4.05900","3.44217","7.03568"
"","4.07900","3.36781","6.77372"
"","4.09900","3.29350","6.51800"
"","4.11900","3.21912","6.26635"
"","4.13900","3.14465","6.02299"
"","4.15900","3.07016","5.78293"
"","4.17900","2.99567","5.54579"
"","4.19900","2.92121","5.31514"
"","4.21900","2.84681","5.08733"
"","4.23900","2.77245","4.86520"
"","4.25900","2.69812","4.64905"
"","4.27900","2.62377","4.43054"
"","4.29900","2.54937","4.22085"
"","4.31900","2.47499","4.00884"
