Time (s)	Encoder (rad)	Torque (Nm)	Marker	Normal force (N)	Gap (um)
0	0	1.5864907212E-06	0	0.01115415356	9799.9609375	
0.00208	2.27117941875E-07	1.58393711798437E-06	0	0.01090619871	9799.9609375	
0.006176	0.000000336471025	1.595458019925E-06	0	0.01127622364	9799.9609375	
0.010272	4.3311501234375E-07	1.6116108883875E-06	0	0.01184079776	9799.9609375	
0.014368	7.5733410328125E-07	1.61402675135625E-06	0	0.01131818523	9799.9609375	
0.018464	1.42259583640625E-06	1.59696330688125E-06	0	0.01169202485	9799.9609375	
0.02256	2.16045485046875E-06	1.57107991930312E-06	0	0.01048658281	9799.9609375	
0.026656	2.8503118840625E-06	1.55212464979687E-06	0	0.01035688335	9799.9609375	
0.030752	3.33389755015625E-06	1.54387874458125E-06	0	0.00997159966	9799.9609375	
0.034848	3.45330819109375E-06	1.55532993505312E-06	0	0.0099563409	9799.9609375	
0.038944	3.30409060609375E-06	1.58008856414062E-06	0	0.01180265086	9799.9609375	
0.04304	2.865489653125E-06	1.61576424961875E-06	0	0.01332089748	9799.9609375	
0.047136	2.3445081584375E-06	1.65208704983437E-06	0	0.01324078899	9799.9609375	
0.051232	1.92053638046875E-06	1.67818077374062E-06	0	0.01288220813	9799.9609375	
0.055328	1.6887553890625E-06	1.6886492728875E-06	0	0.01306149856	9799.9609375	
0.059424	1.48851855625E-06	1.69148052005625E-06	0	0.01073072297	9799.9609375	
0.06352	1.07451290375E-06	1.70185959621562E-06	0	0.01120755922	9799.9609375	
0.067616	6.0098479546875E-07	1.718380973925E-06	0	0.01013181664	9799.9609375	
0.071712	2.3872984953125E-07	1.72732663805625E-06	0	0.00888059832	9799.9609375	
0.075808	-1.214221525E-07	1.7319703834125E-06	0	0.01043317715	9799.9609375	
0.079904	-8.4712066484375E-07	1.7511011335125E-06	0	0.01134488806	9799.9609375	
0.084	-1.99093928515625E-06	1.79153282385E-06	0	0.01036832742	9799.9609375	
0.088096	-3.1758110278125E-06	1.83559431825E-06	0	0.01242063064	9799.9609375	
0.092192	-4.10119777890625E-06	1.86174068633437E-06	0	0.01324460368	9799.9609375	
0.096288	-4.67923305609375E-06	1.86413395317187E-06	0	0.01400754168	9799.9609375	
0.100384	-5.1441665240625E-06	1.85577650960625E-06	0	0.01369092241	9799.9609375	
0.10448	-5.65152459953125E-06	1.85106185085937E-06	0	0.01233289277	9799.9609375	
0.108576	-6.13328161875E-06	1.850000073075E-06	0	0.01034162459	9799.9609375	
0.112672	-6.546190083125E-06	1.84664647065937E-06	0	0.01171872768	9799.9609375	
0.116768	-7.03288444890625E-06	1.84768012347187E-06	0	0.01025770141	9799.9609375	
0.120864	-7.64182385828125E-06	1.85668924907812E-06	0	0.01062009696	9799.9609375	
0.12496	-8.1116946728125E-06	1.86297457933125E-06	0	0.01104352755	9799.9609375	
0.129056	-8.1265067125E-06	1.84849454573437E-06	0	0.01050565626	9799.9609375	
0.133152	-7.73225044625E-06	1.81121189070937E-06	0	0.01063535572	9799.9609375	
0.137248	-7.06031415203125E-06	1.766407848975E-06	0	0.01187894466	9799.9609375	
0.141344	-6.2439147546875E-06	1.71883073309062E-06	0	0.0129317991	9799.9609375	
0.14544	-5.10293053703125E-06	1.66947381129375E-06	0	0.01227948711	9799.9609375	
