Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.00000","0.00000","0.11883"
"","0.02000","0.00151","0.18822"
"","0.04000","0.02907","0.27432"
"","0.06000","0.09089","0.30484"
"","0.08000","0.17021","0.42879"
"","0.10000","0.25782","0.53020"
"","0.12000","0.34581","0.68419"
"","0.14000","0.43177","0.81176"
"","0.16000","0.51640","0.97012"
"","0.18000","0.60050","1.10129"
"","0.20000","0.68444","1.25867"
"","0.22000","0.76830","1.39937"
"","0.24000","0.85210","1.55872"
"","0.26000","0.93578","1.71082"
"","0.28000","1.01939","1.87490"
"","0.30000","1.10298","2.03079"
"","0.32000","1.18663","2.20055"
"","0.34000","1.27033","2.36243"
"","0.36000","1.35405","2.53421"
"","0.38000","1.43776","2.70068"
"","0.40000","1.52142","2.87527"
"","0.42000","1.60503","3.04550"
"","0.44000","1.68860","3.22175"
"","0.46000","1.77221","3.39837"
"","0.48000","1.85579","3.57581"
"","0.50000","1.93941","3.75402"
"","0.52000","2.02308","3.93012"
"","0.54000","2.10673","4.11348"
"","0.56000","2.19040","4.29250"
"","0.58000","2.27406","4.47483"
"","0.60000","2.35771","4.65186"
"","0.62000","2.44130","4.83372"
"","0.64000","2.52490","5.01286"
"","0.66000","2.60845","5.19157"
"","0.68000","2.69199","5.37125"
"","0.70000","2.77559","5.54895"
"","0.72000","2.85933","5.72876"
"","0.74000","2.94308","5.90649"
"","0.76000","3.02675","6.08483"
"","0.78000","3.11035","6.26251"
"","0.80000","3.19384","6.43703"
"","0.82000","3.27733","6.61377"
"","0.84000","3.36092","6.79068"
"","0.86000","3.44462","6.96539"
"","0.88000","3.52836","7.14282"
"","0.90000","3.61204","7.31941"
"","0.92000","3.69568","7.49518"
"","0.94000","3.77931","7.67095"
"","0.96000","3.86297","7.84819"
"","0.98000","3.94656","8.02548"
"","1.00000","4.03010","8.20261"
"","1.02000","4.11363","8.38105"
"","1.04000","4.19722","8.56235"
"","1.06000","4.28087","8.73884"
"","1.08000","4.36454","8.92127"
"","1.10000","4.44820","9.10218"
"","1.12000","4.53184","9.28501"
"","1.14000","4.61546","9.46722"
"","1.16000","4.69903","9.65071"
"","1.18000","4.78263","9.83577"
"","1.20000","4.86619","10.02016"
"","1.22000","4.94976","10.20637"
"","1.23700","5.01791","10.25318"
"","1.23800","5.02143","10.25248"
"","1.23900","5.02485","10.25216"
"","1.25900","5.06536","10.16041"
"","1.27900","5.03686","10.01950"
"","1.29700","4.97431","9.76024"
"","1.31100","4.91630","9.50240"
"","1.32600","4.85033","9.23758"
"","1.34100","4.78382","8.97247"
"","1.35600","4.71844","8.70665"
"","1.37200","4.64999","8.45113"
"","1.38800","4.58234","8.19880"
"","1.40500","4.51086","7.94635"
"","1.42300","4.43534","7.69262"
"","1.44200","4.35567","7.43196"
"","1.46200","4.27185","7.17076"
"","1.48200","4.18806","6.91283"
"","1.50200","4.10432","6.66956"
"","1.52200","4.02069","6.43081"
"","1.54200","3.93712","6.20374"
"","1.56200","3.85353","5.97545"
"","1.58200","3.76987","5.75768"
"","1.60200","3.68621","5.54176"
"","1.62200","3.60254","5.33459"
"","1.64200","3.51881","5.13153"
"","1.66200","3.43511","4.93396"
"","1.68200","3.35142","4.73629"
"","1.70200","3.26781","4.54561"
"","1.72200","3.18428","4.35588"
"","1.74200","3.10082","4.17337"
"","1.76200","3.01728","3.99027"
"","1.78200","2.93360","3.81234"
"","1.80200","2.84989","3.63466"
"","1.82200","2.76620","3.45987"
"","1.84200","2.68253","3.28767"
"","1.86200","2.59888","3.12095"
"","1.88200","2.51529","2.95338"
"","1.90200","2.43171","2.78964"
"","1.92200","2.34815","2.62614"
"","1.94200","2.26451","2.46686"
"","1.96200","2.18082","2.31001"
"","1.98200","2.09716","2.15642"
"","2.00200","2.01351","2.00546"
"","2.02200","1.92987","1.85756"
"","2.04200","1.84621","1.71446"
"","2.06200","1.76257","1.57563"
"","2.08200","1.67897","1.43769"
"","2.10200","1.59540","1.30809"
"","2.12200","1.51185","1.17923"
"","2.14200","1.42828","1.05828"
"","2.16200","1.34465","0.93854"
"","2.18200","1.26091","0.82721"
"","2.20200","1.17719","0.71936"
"","2.22200","1.09358","0.61551"
"","2.24200","1.01002","0.51466"
"","2.26200","0.92643","0.42093"
"","2.28200","0.84285","0.32846"
"","2.30200","0.75925","0.24120"
"","2.32200","0.67560","0.15634"
"","2.34200","0.59197","0.07748"
"","2.36200","0.50833","-0.00002"
"","2.38200","0.42466","-0.07083"
"","2.40200","0.34096","-0.14307"
"","2.42200","0.25729","-0.20766"
"","2.44200","0.17359","-0.27175"
"","2.46200","0.08999","-0.32927"
"","2.48200","0.00821","-0.30643"
"","2.48500","-0.00269","-0.28799"
"","2.48600","-0.00613","-0.28307"
"","2.48700","-0.00948","-0.27908"
"","2.50700","-0.04822","-0.19193"
"","2.52700","-0.01895","-0.25952"
"","2.54700","0.05111","-0.25703"
"","2.56700","0.13589","-0.19535"
"","2.58700","0.22472","-0.12200"
"","2.60700","0.31209","-0.02150"
"","2.62700","0.39744","0.07349"
"","2.64700","0.48182","0.17945"
"","2.66700","0.56595","0.27884"
"","2.68700","0.64993","0.38782"
"","2.70700","0.73370","0.49664"
"","2.72700","0.81757","0.61243"
"","2.74700","0.90136","0.72893"
"","2.76700","0.98499","0.85108"
"","2.78700","1.06858","0.97427"
"","2.80700","1.15218","1.10605"
"","2.82700","1.23584","1.24170"
"","2.84700","1.31953","1.38343"
"","2.86700","1.40328","1.52797"
"","2.88700","1.48697","1.67826"
"","2.90700","1.57057","1.82790"
"","2.92700","1.65412","1.98693"
"","2.94700","1.73770","2.14474"
"","2.96700","1.82131","2.30780"
"","2.98700","1.90490","2.46846"
"","3.00700","1.98856","2.63556"
"","3.02700","2.07222","2.80295"
"","3.04700","2.15588","2.97614"
"","3.06700","2.23953","3.14787"
"","3.08700","2.32318","3.32340"
"","3.10700","2.40681","3.49530"
"","3.12700","2.49042","3.67405"
"","3.14700","2.57400","3.84899"
"","3.16700","2.65755","4.03018"
"","3.18700","2.74112","4.20502"
"","3.20700","2.82479","4.38823"
"","3.22700","2.90853","4.56697"
"","3.24700","2.99221","4.75158"
"","3.26700","3.07584","4.93478"
"","3.28700","3.15940","5.12215"
"","3.30700","3.24289","5.30701"
"","3.32700","3.32646","5.49662"
"","3.34700","3.41010","5.68507"
"","3.36700","3.49384","5.88084"
"","3.38700","3.57755","6.07563"
"","3.40700","3.66118","6.27617"
"","3.42700","3.74482","6.47566"
"","3.44700","3.82850","6.68046"
"","3.46700","3.91214","6.88750"
"","3.48700","3.99567","7.10052"
"","3.50700","4.07922","7.31549"
"","3.52700","4.16278","7.53494"
"","3.54700","4.24639","7.75924"
"","3.56700","4.33002","7.98805"
"","3.58700","4.41367","8.22408"
"","3.60700","4.49732","8.46437"
"","3.62700","4.58096","8.71021"
"","3.64700","4.66455","8.95965"
"","3.66700","4.74817","9.21451"
"","3.68700","4.83176","9.47467"
"","3.70600","4.91112","9.72479"
"","3.72600","4.99424","9.94185"
"","3.73300","5.02095","9.96404"
"","3.73400","5.02445","9.96691"
"","3.73500","5.02785","9.97012"
"","3.75500","5.06796","9.94429"
"","3.77500","5.03925","9.84265"
"","3.79400","4.97272","9.58681"
"","3.80800","4.91435","9.33517"
"","3.82300","4.84825","9.07698"
"","3.83800","4.78178","8.81517"
"","3.85300","4.71648","8.55485"
"","3.86900","4.64811","8.30225"
"","3.88600","4.57632","8.03695"
"","3.90400","4.50068","7.77798"
"","3.92200","4.42515","7.52497"
