,lambda_x,lambda_y,sigma_xx [MPa],sigma_yy [MPa]
0,1,1,-0.000460469,0.000277624
1,1.001110494,1.001933969,0.002304901,0.00027816
2,1.002220988,1.004006078,0.000461491,0.000278736
3,1.003331483,1.006354469,-0.000462003,0.000279388
4,1.004441977,1.008564719,0.002312571,0.001213339
5,1.005552471,1.010774969,-0.000463025,0.000280615
6,1.006662965,1.012985219,0.000463537,0.000281229
7,1.007773459,1.015195469,0.002320241,0.001221316
8,1.00860633,1.016853157,-0.000464432,0.000282302
9,1.009716824,1.019201547,0.001394829,0.001226135
10,1.010827318,1.021411797,0.002327272,0.001228794
11,1.011937812,1.023622047,-0.000465966,0.001231454
12,1.013048306,1.025832297,0.002332385,0.004082064
13,1.014158801,1.028180688,0.000466988,0.00599439
14,1.015269295,1.030390938,0.003272499,0.006007276
15,1.016102165,1.032463047,0.003275183,0.005063904
16,1.01721266,1.034397016,0.003278763,0.006987875
17,1.018323154,1.036745407,0.004220154,0.00700374
18,1.019433648,1.038955657,0.005163591,0.007980133
19,1.020544142,1.041304048,0.006109073,0.01291271
20,1.021654636,1.043652438,0.00329308,0.011976023
21,1.022903942,1.045862688,0.006123199,0.014904947
22,1.024014436,1.048211079,0.005186793,0.014938414
23,1.024847307,1.050006907,0.006134832,0.015935696
24,1.025957801,1.052355298,0.007086323,0.018990309
25,1.027068295,1.054565548,0.007093993,0.019030195
26,1.02817879,1.056913938,0.007953863,0.019072572
27,1.029289284,1.059262329,0.012702009,0.023035966
28,1.03053859,1.06161072,0.009870241,0.027999172
29,1.031649084,1.06382097,0.013681215,0.032093803
30,1.032481954,1.06603122,0.014643111,0.034133519
31,1.033592449,1.067965189,0.014658861,0.038148673
32,1.034702943,1.07045172,0.016580404,0.040317773
33,1.035952249,1.072800111,0.018508517,0.047355696
34,1.037062743,1.075148501,0.020342991,0.054523541
35,1.038173237,1.077496892,0.020364774,0.05663689
36,1.039422543,1.079983423,0.021346524,0.063863539
37,1.040533037,1.082331814,0.022327596,0.071013627
38,1.041365908,1.084127642,0.024263533,0.076248104
39,1.042476402,1.086476033,0.02812963,0.084557315
40,1.043586896,1.088962564,0.030081751,0.094928996
41,1.044836202,1.091310955,0.032908227,0.098163451
42,1.045946696,1.093659345,0.037759461,0.107584664
43,1.04705719,1.096145877,0.03779955,0.11807457
44,1.048167685,1.098494267,0.039770234,0.127578226
45,1.049139367,1.100704517,0.044638061,0.133946552
46,1.050249861,1.102776627,0.045555803,0.144505988
47,1.051360355,1.105263158,0.049476921,0.15618516
48,1.052609661,1.107611549,0.054382651,0.17004697
49,1.053720155,1.11009808,0.055410435,0.177619802
50,1.054969461,1.112584611,0.059265218,0.191608362
51,1.056079956,1.115071142,0.062245354,0.20761828
52,1.057329262,1.117419533,0.069135127,0.22056782
53,1.058162132,1.119353502,0.070164087,0.229340057
54,1.059272626,1.121840033,0.075993312,0.249782262
55,1.060521932,1.124326564,0.079012962,0.263965991
56,1.061632426,1.126813096,0.087797202,0.283528115
57,1.062742921,1.129299627,0.0908252,0.296799088
58,1.063992227,1.131786158,0.094851451,0.317562061
59,1.065102721,1.13427269,0.100737716,0.33515942
60,1.066074403,1.13662108,0.108683922,0.354996867
61,1.067184897,1.13869319,0.110664474,0.372714956
62,1.068434203,1.141179721,0.117681752,0.393699611
63,1.069544697,1.143804393,0.124600455,0.415986606
64,1.070794003,1.146290924,0.129676669,0.44266815
65,1.071904498,1.148777455,0.138596852,0.466165939
66,1.073153803,1.151263987,0.146664847,0.492957474
67,1.074264298,1.153750518,0.154632325,0.520928075
68,1.07523598,1.155684487,0.159723317,0.53912692
69,1.076485286,1.158309159,0.16674939,0.573902206
70,1.07759578,1.16079569,0.173868196,0.604460239
71,1.078845086,1.163420362,0.184899453,0.635111671
72,1,1,-0.000457247,0.000271998
73,1.002039984,1.000960219,0.002290901,0.000272259
74,1.004351965,1.002057613,-0.000459237,0.000272557
75,1.006527948,1.003155007,0.001380697,0.000272856
76,1.008839929,1.004252401,0.001383868,0.001183669
77,1.011015912,1.005349794,-0.000462284,0.000273453
78,1.013327893,1.006584362,0.001390025,0.001186418
79,1.015503876,1.007681756,0.000464336,0.001187711
80,1.017135863,1.008504801,0.000465083,0.000274311
81,1.019447844,1.009602195,0.002330699,0.003020706
82,1.021623827,1.010699588,0.002335674,0.003023989
83,1.023935809,1.011796982,0.00234096,0.004861983
84,1.026111791,1.012894376,0.001407561,0.003948906
85,1.028423773,1.01399177,0.004232197,0.00671122
86,1.030735754,1.015226337,0.002356506,0.004878462
87,1.03250374,1.016186557,0.004248987,0.005804411
88,1.034679723,1.017146776,0.00615036,0.006732102
89,1.036991704,1.01824417,0.004267456,0.007662565
90,1.039303686,1.019341564,0.006177845,0.007670824
91,1.041615667,1.020438957,0.006191588,0.012397554
92,1.043927649,1.021536351,0.006205331,0.012410886
